m,M,epsilon_of_M,NICV
0.1,0.1,0.25,0.4973207507165781
0.1,0.1,0.25,0.5492876086091373
0.1,0.1,0.25,0.6168108975367406
0.1,0.1,0.25,0.694431908489924
0.1,0.1,0.25,1.1267205686449386
0.1,0.1,0.25,0.4389907471739727
0.1,0.1,0.25,0.46481639977648276
0.1,0.1,0.25,1.6110226404191468
0.1,0.1,0.25,0.5683271530835611
0.1,0.1,0.25,0.935117087049143
0.1,0.1,0.25,0.49203884089931893
0.1,0.1,0.25,0.4901895129797713
0.1,0.1,0.25,1.218305217264852
0.1,0.1,0.25,0.7226038571536463
0.1,0.1,0.25,0.5948075668525207
0.1,0.1,0.25,1.0614358381087003
0.1,0.1,0.25,0.5034902791508126
0.1,0.1,0.25,0.5250360060971745
0.1,0.1,0.25,0.5262363609902422
0.1,0.1,0.25,0.4595912816849277
0.1,0.1,0.25,0.683660384558131
0.1,0.1,0.25,0.4195068066099042
0.1,0.1,0.25,0.6252683632192702
0.1,0.1,0.25,0.7790764179700729
0.1,0.1,0.25,0.5980080175885042
0.1,0.1,0.25,0.6697643698640356
0.1,0.1,0.25,0.6301601094791688
0.1,0.1,0.25,0.6412574861523246
0.1,0.1,0.25,0.5809192433871088
0.1,0.1,0.25,0.4204975619086284
0.1,0.1,0.25,0.7901488909355034
0.1,0.1,0.25,0.5256130648756758
0.1,0.1,0.25,0.8865207293650208
0.1,0.1,0.25,0.47048688578513476
0.1,0.1,0.25,0.6917599382703575
0.1,0.1,0.25,0.5952740331018422
0.1,0.1,0.25,0.47063801477067124
0.1,0.1,0.25,0.7090542245373164
0.1,0.1,0.25,0.7373266333608288
0.1,0.1,0.25,0.8380141144406531
0.1,0.1,0.25,0.5075080428523191
0.1,0.1,0.25,1.7735419939832973
0.1,0.1,0.25,0.46061823065187174
0.1,0.1,0.25,0.6189259395555833
0.1,0.1,0.25,0.8767623848384003
0.1,0.1,0.25,0.7964455517038723
0.1,0.1,0.25,0.8575245911353685
0.1,0.1,0.25,0.5937042376937651
0.1,0.1,0.25,0.5241348436261225
0.1,0.1,0.25,0.6921097052621896
0.1,0.1,0.25,0.6427172973369026
0.1,0.1,0.25,0.5538662940257644
0.1,0.1,0.25,0.48103097050308186
0.1,0.1,0.25,0.972474907925488
0.1,0.1,0.25,0.5179810424446875
0.1,0.1,0.25,0.39943085573463344
0.1,0.1,0.25,0.6454048255739524
0.1,0.1,0.25,0.6732933169650137
0.1,0.1,0.25,1.0510388594832853
