m,M,epsilon_of_M,stat_NICV
0.1,0.1,0.2276317642164649,0.1472665652569739
0.1,0.2,1.204751720390425,0.0008563209893840258
0.1,0.3,2.181335897592665,0.0016336311094088576
0.1,0.4,3.1573586003831196,0.0015390566123659054
0.1,0.5,4.132792239318897,0.0011329805782064246
0.1,0.6,5.1076071401137195,0.0010220072533811619
0.1,0.7,6.08177132813837,0.0007584460923658351
0.1,0.8,7.055250284336993,0.0005860860418139159
0.1,0.9,8.029507033393072,0.0005509059561099844
0.2,0.2,0.20475172039042486,0.1842730698884929
0.2,0.3,0.6813358975926657,0.0014998278191724862
0.2,0.4,1.1573586003831198,0.0007856276224104395
0.2,0.5,1.632792239318899,0.0016423458758353714
0.2,0.6,2.1076071401137213,0.0015788398329140466
0.2,0.7,2.5817713281383705,0.0016621129281712184
0.2,0.8,3.0573522448022388,0.0016006920979075242
0.2,0.9,4.184423931697394,0.001118768411900875
0.3,0.3,0.1813358975926658,0.27396534508937614
0.3,0.4,0.49069193371645264,0.005151420602442453
0.3,0.5,0.7994589059855651,0.0009164936260382496
0.3,0.6,1.107607140113722,0.00069248252226538
0.3,0.7,1.4170752389268555,0.0013746521154252632
0.3,0.8,1.8318256398571757,0.0016670427338547759
0.3,0.9,3.1680653810118526,0.0015078744933968438
0.4,0.4,0.1573586003831194,0.5212703202110193
0.4,0.5,0.3827922393188983,0.01292488179023096
0.4,0.6,0.608842815911888,0.0023438513540210175
0.4,0.7,0.8614405358423055,0.0007500113699427339
0.4,0.8,1.2587587916218517,0.0010352617636695742
0.4,0.9,2.5947726679531735,0.0016367229413595868
0.5,0.5,0.13279223931889822,0.5965396862570362
0.5,0.6,0.31363298754965957,0.0295346878086716
0.5,0.7,0.5281196739639038,0.003992624249733643
0.5,0.8,0.8877165533807067,0.0006490233364703549
0.5,0.9,2.0817713281383723,0.001639724317813167
0.6,0.6,0.10760714011372241,0.874846945313687
0.6,0.7,0.3186641024073341,0.026680413749391858
0.6,0.8,0.5900686112809056,0.0025692853280687633
0.6,0.9,1.5685987243816586,0.0014223760450731244
0.7,0.7,0.08177132813837003,0.9901923211952273
0.7,0.8,0.37858161294290865,0.011917186175809861
0.7,0.9,1.0552502843369957,0.0006245051573605821
0.8,0.8,0.055250284336995255,1.8116813090643817
0.8,0.9,0.5417212500717896,0.003397298022254385
0.9,0.9,0.028006667885320094,1.9288770486483937
0.01,0.01,0.2477855577623473,0.07924643325791005
0.02,0.02,0.24556620088507244,0.12068355530267505
0.03,0.03,0.2433419075049566,0.1258368673002771
0.04,0.04,0.2411126556125652,0.12713274169302927
0.05,0.05,0.23887842305094018,0.1302487010544246
0.06,0.06,0.23663918751428026,0.13760502954459725
0.07,0.07,0.23439492654660346,0.1406527994108317
0.08,0.08,0.2321456175403962,0.12856973122735807
0.09,0.09,0.229891237735247,0.14647526184707682
0.11,0.11,0.22536717391368066,0.13194980119498903
0.12,0.12,0.22309744359943545,0.15841653510404474
0.13,0.13,0.22082254988774924,0.15805207521912007
0.14,0.14,0.21854246923267656,0.1628886912010072
0.15,0.15,0.216257177926844,0.15788251909888976
0.16,0.16,0.21396665209996982,0.1671793589621205
