m,M,epsilon_of_M,stat_NICV
0.1,0.1,0.25,0.07086762371418788
0.1,0.2,0.25,0.07148808370336468
0.1,0.3,0.25,0.0719220119038431
0.1,0.4,0.25,0.07322999405182022
0.1,0.5,0.25,0.07367127593611784
0.1,0.6,0.25,0.07012408782856445
0.1,0.7,0.25,0.07098247705985702
0.1,0.8,0.25,0.07194082619325123
0.1,0.9,0.25,0.0740656908179109
0.2,0.2,0.25,0.07144421890520447
0.2,0.3,0.25,0.07006122808656196
0.2,0.4,0.25,0.073319330960546
0.2,0.5,0.25,0.07161099283282243
0.2,0.6,0.25,0.07271280777941938
0.2,0.7,0.25,0.07371716328227343
0.2,0.8,0.25,0.06774247466886645
0.2,0.9,0.25,0.07368831429402335
0.3,0.3,0.25,0.07254055126694074
0.3,0.4,0.25,0.07156629447910323
0.3,0.5,0.25,0.07114726160222017
0.3,0.6,0.25,0.07139737720830372
0.3,0.7,0.25,0.07145764364041773
0.3,0.8,0.25,0.0736377619846134
0.3,0.9,0.25,0.0735542701207109
0.4,0.4,0.25,0.07020168091887243
0.4,0.5,0.25,0.07091747158717403
0.4,0.6,0.25,0.0720932281601191
0.4,0.7,0.25,0.07391439473794162
0.4,0.8,0.25,0.06879857542481126
0.4,0.9,0.25,0.07181835518212884
0.5,0.5,0.25,0.07423600997739273
0.5,0.6,0.25,0.07165107298988535
0.5,0.7,0.25,0.07249578971880105
0.5,0.8,0.25,0.06968268340423746
0.5,0.9,0.25,0.061219958270168295
0.6,0.6,0.25,0.060637717954040674
0.6,0.7,0.25,0.06317007619497886
0.6,0.8,0.25,0.06237875216448535
0.6,0.9,0.25,0.06088997197995151
0.7,0.7,0.25,0.0625721873098397
0.7,0.8,0.25,0.06113419174282266
0.7,0.9,0.25,0.06386866566769239
0.8,0.8,0.25,0.06189446676268192
0.8,0.9,0.25,0.05927934254240398
0.9,0.9,0.25,0.062437356537132005
0.01,0.01,0.25,0.0617941805140995
0.02,0.02,0.25,0.062471140504124806
0.03,0.03,0.25,0.06133570850414038
0.04,0.04,0.25,0.061866935948779345
0.05,0.05,0.25,0.06288692839565298
0.06,0.06,0.25,0.06176934360136783
0.07,0.07,0.25,0.06220363633738826
0.08,0.08,0.25,0.05916165472733783
0.09,0.09,0.25,0.06365889814941733
0.11,0.11,0.25,0.060576799597555096
0.12,0.12,0.25,0.06297232933197647
0.13,0.13,0.25,0.06255187090496893
0.14,0.14,0.25,0.06008720894354359
0.15,0.15,0.25,0.06335559708510963
0.16,0.16,0.25,0.06115804663516269
0.17,0.17,0.25,0.06401887077418146
0.18,0.18,0.25,0.06154691248767233
0.19,0.19,0.25,0.0595120421666161
0.21,0.21,0.25,0.061700542939806306
0.22,0.22,0.25,0.06200185482380701
0.23,0.23,0.25,0.062368177957685685
0.24,0.24,0.25,0.06197136800328698
0.25,0.25,0.25,0.05872061605623219
0.26,0.26,0.25,0.07384853588903341
0.27,0.27,0.25,0.07204194938310783
0.28,0.28,0.25,0.07293903143183794
0.29,0.29,0.25,0.07303377738614321
0.31,0.31,0.25,0.07479524402487712
0.32,0.32,0.25,0.0750683190908855
0.33,0.33,0.25,0.07489977104796451
0.34,0.34,0.25,0.06928895168402499
0.35,0.35,0.25,0.06890617688029332
0.36,0.36,0.25,0.0728664835508979
0.37,0.37,0.25,0.07119823858875904
0.38,0.38,0.25,0.07472560219354672
0.39,0.39,0.25,0.07103967831733511
0.41,0.41,0.25,0.07480268892215695
0.42,0.42,0.25,0.07531909624888651
0.43,0.43,0.25,0.07524126971115908
0.44,0.44,0.25,0.07284610497606592
0.45,0.45,0.25,0.0648451411321223
0.46,0.46,0.25,0.07277380250870154
0.47,0.47,0.25,0.07145535446894945
0.48,0.48,0.25,0.07473168967773498
0.49,0.49,0.25,0.07300001037250022
0.51,0.51,0.25,0.07269845744356644
0.52,0.52,0.25,0.07521515404680615
0.53,0.53,0.25,0.07496891255712512
0.54,0.54,0.25,0.07414839989242136
0.55,0.55,0.25,0.07003538036908472
0.56,0.56,0.25,0.0671434090651303
0.57,0.57,0.25,0.07388709080161826
0.58,0.58,0.25,0.07209817441825705
0.59,0.59,0.25,0.07422458139467479
0.61,0.61,0.25,0.07138637358567995
0.62,0.62,0.25,0.0750076872141611
0.63,0.63,0.25,0.07811230416976404
0.64,0.64,0.25,0.07710198217504827
0.65,0.65,0.25,0.07637641144102846
0.66,0.66,0.25,0.07219154464372565
0.67,0.67,0.25,0.07816851194015031
0.68,0.68,0.25,0.07430760478372977
0.69,0.69,0.25,0.07548090181036084
0.71,0.71,0.25,0.07687010612532902
0.72,0.72,0.25,0.07554897415661206
0.73,0.73,0.25,0.07332831967046918
0.74,0.74,0.25,0.07709270562999716
0.75,0.75,0.25,0.07620577652704683
0.76,0.76,0.25,0.07400807785448343
0.77,0.77,0.25,0.07679241980073834
0.78,0.78,0.25,0.07400937240093382
0.79,0.79,0.25,0.07698400356987466
0.81,0.81,0.25,0.07672597190299152
0.82,0.82,0.25,0.0768386251449836
0.83,0.83,0.25,0.07384364110880874
0.84,0.84,0.25,0.07552800013856681
0.85,0.85,0.25,0.07667751868448547
0.86,0.86,0.25,0.07336066439377673
0.87,0.87,0.25,0.07543258119729422
0.88,0.88,0.25,0.0776795342473023
0.89,0.89,0.25,0.07370363191714771
0.91,0.91,0.25,0.0766453314009907
0.92,0.92,0.25,0.07698196633048922
0.93,0.93,0.25,0.07540481019064124
0.94,0.94,0.25,0.07345805551048411
0.95,0.95,0.25,0.0771670252155217
0.96,0.96,0.25,0.07608803334352807
0.97,0.97,0.25,0.07379416316692657
0.98,0.98,0.25,0.0767563597145639
0.99,0.99,0.25,0.0744391053991858
