m,M,epsilon_of_M,NICV
0.1,0.1,0.25,1.3274055799933677
0.1,0.1,0.25,0.6797200643701801
0.1,0.1,0.25,0.7789024321002307
0.1,0.1,0.25,0.6736353331502567
0.1,0.1,0.25,0.5392753996970753
0.1,0.1,0.25,0.5388206716299472
0.1,0.1,0.25,0.3916791214254469
0.1,0.1,0.25,0.6033228925996279
0.1,0.1,0.25,0.9119553033080539
0.1,0.1,0.25,0.5264985751554487
0.1,0.1,0.25,0.8949966039103368
0.1,0.1,0.25,0.5472518256738873
0.1,0.1,0.25,0.6545304434065077
0.1,0.1,0.25,0.711888918179415
0.1,0.1,0.25,0.5411507605266359
0.1,0.1,0.25,0.47758754002266524
0.1,0.1,0.25,0.4601315891118634
0.1,0.1,0.25,0.6451170747044807
0.1,0.1,0.25,0.9634458872586366
0.1,0.1,0.25,0.5820754249035932
0.1,0.1,0.25,0.9702758517451728
0.1,0.1,0.25,1.493808422385078
0.1,0.1,0.25,0.4780591976185108
0.1,0.1,0.25,0.9351935999262029
0.1,0.1,0.25,0.4318494135097462
0.1,0.1,0.25,0.9297728401445042
0.1,0.1,0.25,0.5356794873600096
0.1,0.1,0.25,1.413939188625727
0.1,0.1,0.25,2.345472724236714
0.1,0.1,0.25,0.6575443058229852
0.1,0.1,0.25,0.8306757802499312
0.1,0.1,0.25,0.4187521382750365
0.1,0.1,0.25,0.7034818355050823
0.1,0.1,0.25,0.7418641398565075
0.1,0.1,0.25,0.7111517575449199
0.1,0.1,0.25,0.45017423639517995
0.1,0.1,0.25,0.8085857276452592
0.1,0.1,0.25,0.6654908790085476
0.1,0.1,0.25,0.4599272765115201
0.1,0.1,0.25,0.5055460209136616
0.1,0.1,0.25,0.547957265882148
0.1,0.1,0.25,0.40721839609787275
0.1,0.1,0.25,0.5887752056331982
0.1,0.1,0.25,0.4280628758779971
0.1,0.1,0.25,0.44842500232206567
0.1,0.1,0.25,0.9188624543098783
0.1,0.1,0.25,0.6681911465764119
0.1,0.1,0.25,0.582861657491231
0.1,0.1,0.25,0.5985649426056628
0.1,0.1,0.25,0.5742882620081052
0.1,0.1,0.25,0.6075020645823251
0.1,0.1,0.25,0.5813567863654344
0.1,0.1,0.25,0.47191435162632484
0.1,0.1,0.25,0.8186903158372836
0.1,0.1,0.25,1.1256896785141899
0.1,0.1,0.25,0.658623798546299
0.1,0.1,0.25,0.6460719310250208
0.1,0.1,0.25,0.5734269610335888
0.1,0.1,0.25,1.1039522668010564
0.1,0.1,0.25,0.44443927784720405
0.1,0.1,0.25,0.7319158757263858
0.1,0.1,0.25,0.7745142996315177
0.1,0.1,0.25,0.5187729176538274
0.1,0.1,0.25,0.5502388055405023
0.1,0.1,0.25,0.4884855048328623
0.1,0.1,0.25,0.4860030030772374
0.1,0.1,0.25,0.4366249625400777
0.1,0.1,0.25,0.7913630872259534
0.1,0.1,0.25,0.44546181845737065
0.1,0.1,0.25,0.4486651365973713
0.1,0.1,0.25,0.5570996525321755
0.1,0.1,0.25,0.7379493270209064
0.1,0.1,0.25,0.6182526719753064
0.1,0.1,0.25,0.9280786145176702
0.1,0.1,0.25,1.2594729852012336
0.1,0.1,0.25,0.7317136844438776
0.1,0.1,0.25,0.7343443500353906
0.1,0.1,0.25,0.5783528707193493
0.1,0.1,0.25,0.8924471493465442
0.1,0.1,0.25,0.8024603673906902
