m,M,epsilon_of_M,stat_NICV
0.1,0.1,0.25,0.7178528703163588
0.1,0.2,0.25,0.7232358285412629
0.1,0.3,0.25,0.7307286753893841
0.1,0.4,0.25,0.7369536657512329
0.1,0.5,0.25,0.7493928831322619
0.1,0.6,0.25,0.757051195281258
0.1,0.7,0.25,0.7647386233532512
0.1,0.8,0.25,0.7868034034569945
0.1,0.9,0.25,0.788992545134254
0.2,0.2,0.25,0.7851913663003929
0.2,0.3,0.25,0.8074730431282099
0.2,0.4,0.25,0.8141091415144974
0.2,0.5,0.25,0.824356051477417
0.2,0.6,0.25,0.8478439211549671
0.2,0.7,0.25,0.8447785034240995
0.2,0.8,0.25,0.8653484811672638
0.2,0.9,0.25,0.8879980245986006
0.3,0.3,0.25,0.8859819764920773
0.3,0.4,0.25,0.9018435140092557
0.3,0.5,0.25,0.9098659977491111
0.3,0.6,0.25,0.932727262452383
0.3,0.7,0.25,0.9647395997915005
0.3,0.8,0.25,0.9963521946791367
0.3,0.9,0.25,1.0305164772227473
0.4,0.4,0.25,1.0674244948456777
0.4,0.5,0.25,1.0904555275387149
0.4,0.6,0.25,1.1306465176672555
0.4,0.7,0.25,1.1600773650915943
0.4,0.8,0.25,1.1991355719603984
0.4,0.9,0.25,1.2424730553441807
0.5,0.5,0.25,1.307100170612512
0.5,0.6,0.25,1.386279814132807
0.5,0.7,0.25,1.4419726078468693
0.5,0.8,0.25,1.4913931029609462
0.5,0.9,0.25,1.4480971982237338
0.6,0.6,0.25,1.6411093960841285
0.6,0.7,0.25,1.7041379337997637
0.6,0.8,0.25,1.7639466319886679
0.6,0.9,0.25,1.769913237841275
0.7,0.7,0.25,2.027090034824023
0.7,0.8,0.25,2.2190940510431147
0.7,0.9,0.25,2.3437324139201556
0.8,0.8,0.25,2.5718765714788243
0.8,0.9,0.25,2.628629996191211
0.9,0.9,0.25,3.102497402672506
0.01,0.01,0.25,0.6691988636827041
0.02,0.02,0.25,0.671545062346585
0.03,0.03,0.25,0.6908853607801746
0.04,0.04,0.25,0.6927848360139351
0.05,0.05,0.25,0.7023972136292561
0.06,0.06,0.25,0.7075640854318749
0.07,0.07,0.25,0.7090105013214455
0.08,0.08,0.25,0.7182446761105118
0.09,0.09,0.25,0.7219659277992945
0.11,0.11,0.25,0.7379610008013756
0.12,0.12,0.25,0.7291112385006802
0.13,0.13,0.25,0.7469199103892218
0.14,0.14,0.25,0.75344166282926
0.15,0.15,0.25,0.757701402454325
0.16,0.16,0.25,0.7639461442708045
0.17,0.17,0.25,0.7587924291594056
0.18,0.18,0.25,0.7787432506886368
0.19,0.19,0.25,0.7862172206143362
0.21,0.21,0.25,0.8021972200262631
0.22,0.22,0.25,0.8067018363592672
0.23,0.23,0.25,0.8271177807350762
0.24,0.24,0.25,0.8354011085551587
0.25,0.25,0.25,0.8477416991470798
0.26,0.26,0.25,0.8474578006412332
0.27,0.27,0.25,0.8609855497395241
0.28,0.28,0.25,0.8730757463126294
0.29,0.29,0.25,0.8829183196681931
0.31,0.31,0.25,0.9168664557459952
