m,M,epsilon_of_M,stat_NICV
0.1,0.1,0.25,0.08416607494058537
0.1,0.2,0.25,0.08945820942604805
0.1,0.3,0.25,0.09545244092094185
0.1,0.4,0.25,0.10281907473383202
0.1,0.5,0.25,0.10636977389509453
0.1,0.6,0.25,0.11506891469342642
0.1,0.7,0.25,0.11744234907338785
0.1,0.8,0.25,0.1268233501294711
0.1,0.9,0.25,0.12476881883505439
0.2,0.2,0.25,0.1245699490798077
0.2,0.3,0.25,0.12762904049053844
0.2,0.4,0.25,0.1331598462453288
0.2,0.5,0.25,0.14141743635118575
0.2,0.6,0.25,0.15966406278200782
0.2,0.7,0.25,0.138120881339091
0.2,0.8,0.25,0.16537819885622143
0.2,0.9,0.25,0.17720634264347143
0.3,0.3,0.25,0.1685719168877854
0.3,0.4,0.25,0.17781560285130033
0.3,0.5,0.25,0.16679976412571743
0.3,0.6,0.25,0.1775234547110606
0.3,0.7,0.25,0.2442572292938133
0.3,0.8,0.25,0.27474917788951936
0.3,0.9,0.25,0.33999627143987693
0.4,0.4,0.25,0.3394133946729329
0.4,0.5,0.25,0.3578843888695542
0.4,0.6,0.25,0.3958926180119531
0.4,0.7,0.25,0.4591070744143069
0.4,0.8,0.25,0.581752196146028
0.4,0.9,0.25,0.5686422315443805
0.5,0.5,0.25,0.6459513468077782
0.5,0.6,0.25,0.6390092744771798
0.5,0.7,0.25,0.7208582814437612
0.5,0.8,0.25,0.7879543896808774
0.5,0.9,0.25,0.8356027983825395
0.6,0.6,0.25,0.9870385315083892
0.6,0.7,0.25,1.0420253733139833
0.6,0.8,0.25,1.0796275089127518
0.6,0.9,0.25,1.0600798783965542
0.7,0.7,0.25,1.126961097625923
0.7,0.8,0.25,1.4974447218027622
0.7,0.9,0.25,1.511647121027285
0.8,0.8,0.25,1.5393321077074809
0.8,0.9,0.25,1.5400382950513363
0.9,0.9,0.25,1.74275915748803
0.01,0.01,0.25,0.08371444399237964
0.02,0.02,0.25,0.08109112231643602
0.03,0.03,0.25,0.08945978976778414
0.04,0.04,0.25,0.0902429070830402
0.05,0.05,0.25,0.09360743722904873
0.06,0.06,0.25,0.09481034698009616
0.07,0.07,0.25,0.08389006263496053
0.08,0.08,0.25,0.09938114215898564
0.09,0.09,0.25,0.10002268763799214
0.11,0.11,0.25,0.10869590560090772
0.12,0.12,0.25,0.0970518871908177
0.13,0.13,0.25,0.1093785886614286
0.14,0.14,0.25,0.11092865358620448
0.15,0.15,0.25,0.11592267331055717
0.16,0.16,0.25,0.11716352714338565
0.17,0.17,0.25,0.09937552038390864
0.18,0.18,0.25,0.12152290666998901
0.19,0.19,0.25,0.12225828985496486
0.21,0.21,0.25,0.12258498235754577
0.22,0.22,0.25,0.12678656791528486
0.23,0.23,0.25,0.12970288905646352
0.24,0.24,0.25,0.13124679813849885
0.25,0.25,0.25,0.13469430983035532
0.26,0.26,0.25,0.15860108235599932
0.27,0.27,0.25,0.15696283534638295
0.28,0.28,0.25,0.16397128645681466
0.29,0.29,0.25,0.17477046070417004
0.31,0.31,0.25,0.2398261305176147
0.32,0.32,0.25,0.23806314863991884
0.33,0.33,0.25,0.30156515362021885
0.34,0.34,0.25,0.3453623923497742
0.35,0.35,0.25,0.3569467113887533
0.36,0.36,0.25,0.37298723017832
0.37,0.37,0.25,0.4415745587310491
0.38,0.38,0.25,0.453907728139226
0.39,0.39,0.25,0.48683974529217644
0.41,0.41,0.25,0.5498177992375383
0.42,0.42,0.25,0.5067250915123961
0.43,0.43,0.25,0.5440381614565772
0.44,0.44,0.25,0.5119111162079015
0.45,0.45,0.25,0.520896246897767
0.46,0.46,0.25,0.5925932742202876
0.47,0.47,0.25,0.5751741927461024
0.48,0.48,0.25,0.6726831175747704
0.49,0.49,0.25,0.591456995518408
0.51,0.51,0.25,0.6019783033821215
0.52,0.52,0.25,0.6414523920953221
0.53,0.53,0.25,0.7284390008117665
0.54,0.54,0.25,0.7124160284424235
0.55,0.55,0.25,0.8099142015487344
0.56,0.56,0.25,0.7475644651570195
0.57,0.57,0.25,0.7490225510883668
0.58,0.58,0.25,0.8718756256005173
0.59,0.59,0.25,0.6934837438930279
0.61,0.61,0.25,0.9503172514071613
0.62,0.62,0.25,0.8741701110961926
0.63,0.63,0.25,0.8844194878155334
0.64,0.64,0.25,0.8674780234562437
0.65,0.65,0.25,0.8512987550717516
0.66,0.66,0.25,0.9411477071864535
0.67,0.67,0.25,0.9640792187982791
0.68,0.68,0.25,1.0459786557374677
0.69,0.69,0.25,1.0590108916002228
0.71,0.71,0.25,1.212123522924063
0.72,0.72,0.25,1.2770812308451824
0.73,0.73,0.25,1.4013827256120177
0.74,0.74,0.25,1.42117499972854
0.75,0.75,0.25,1.4784883803099205
0.76,0.76,0.25,1.4685000486366773
0.77,0.77,0.25,1.4673217216893275
0.78,0.78,0.25,1.4616261861165802
0.79,0.79,0.25,1.4674019223004517
0.81,0.81,0.25,1.5484871082561715
0.82,0.82,0.25,1.6473466640782048
0.83,0.83,0.25,1.66296757991501
0.84,0.84,0.25,1.6944288510220824
0.85,0.85,0.25,1.6520269159416743
0.86,0.86,0.25,1.5143893922976874
0.87,0.87,0.25,1.4644025615801146
0.88,0.88,0.25,1.592306885451402
0.89,0.89,0.25,1.4772796056553739
0.91,0.91,0.25,1.5336777624995266
0.92,0.92,0.25,1.5711066438851025
0.93,0.93,0.25,1.5245397424435305
0.94,0.94,0.25,1.5401094900308017
0.95,0.95,0.25,1.4872013147998822
0.96,0.96,0.25,1.5958002743579345
0.97,0.97,0.25,1.6432260007748642
0.98,0.98,0.25,1.531022413161193
0.99,0.99,0.25,1.544946076745747
