m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.041034932591643036,0.01900801448194389,0.02097615049985735
0.1,0.2,-0.05007648710978585,,-0.3307987679307293
0.1,0.3,-0.05017862762973235,,-0.39860078815604943
0.1,0.4,-0.06077862462530437,,-0.4327281428792927
0.1,0.5,-0.06763647930002226,,-0.46715361869935873
0.1,0.6,-0.079470831839487,,-0.48716977998908917
0.1,0.7,-0.08792188705867476,,-0.5063727390588004
0.1,0.8,-0.10909329251408795,,-0.538005900868865
0.1,0.9,-0.11016188040554764,,-0.5464274175687307
0.2,0.2,-0.10757049509316197,0.009332480154060852,0.029061795736278095
0.2,0.3,-0.13384570639714077,,-0.37771293609570417
0.2,0.4,-0.13673360185417482,,-0.41896089027581834
0.2,0.5,-0.14569386404105533,,-0.4623325617299875
0.2,0.6,-0.16880903151679494,,-0.5130414709136861
0.2,0.7,-0.16391680319411916,,-0.5265518677422916
0.2,0.8,-0.19177727711135617,,-0.5570758525698319
0.2,0.9,-0.20736020100980457,,-0.6059742705616165
0.3,0.3,-0.2087089932293813,-0.008267859896689322,0.07410027438552191
0.3,0.4,-0.2233351428929834,,-0.43504466535924025
0.3,0.5,-0.2344462052642593,,-0.4915952383328003
0.3,0.6,-0.2593637525307797,,-0.5342659811799242
0.3,0.7,-0.2859358413242442,,-0.5902459097972212
0.3,0.8,-0.31759857414603,,-0.6464406091783776
0.3,0.9,-0.3490275995884139,,-0.7263234373159768
0.4,0.4,-0.39030436702064786,-0.01158548349759958,0.0536599223551264
0.4,0.5,-0.4133934849394635,,-0.5797520408062431
0.4,0.6,-0.453739298536319,,-0.6908126217569306
0.4,0.7,-0.48070797957669253,,-0.7461520720704622
0.4,0.8,-0.5243255812266224,,-0.811852443265395
0.4,0.9,-0.5678572466686111,,-0.9248284443807437
0.5,0.5,-0.6270116317761605,-0.03367960729461761,0.030860638969812504
0.5,0.6,-0.7081427511792515,-1.949118748420893,-0.8203201761808064
0.5,0.7,-0.762975263862635,,-0.9851785814687823
0.5,0.8,-0.8157216864373675,,-1.0803721452415644
0.5,0.9,-0.7821201108080741,,-1.1117082555430928
0.6,0.6,-0.9773425855611185,-0.09917289088879888,-0.08812817417177987
0.6,0.7,-1.0372455134517642,,-1.1383971992481783
0.6,0.8,-1.0983979968002435,,-1.323041598531562
0.6,0.9,-1.107440035148154,,-1.4053512002774806
0.7,0.7,-1.3594756317154695,-0.16007238521482692,-0.10368955273041336
0.7,0.8,-1.5522453089375197,,-1.7108378415967156
0.7,0.9,-1.675494567741068,,-1.9432711142265884
0.8,0.8,-1.909282503097025,-0.2656597761424927,0.034074138956072364
0.8,0.9,-1.9688372811183192,,-2.178529046063616
0.9,0.9,-2.43589139278469,-0.5971858489061438,0.008472929599899093
0.01,0.01,-0.003933888103592409,-0.004853440685701815,-0.0018093387314817022
0.02,0.02,-0.007000479216173083,-0.01059283239018649,0.010574284099203246
0.03,0.03,-0.026815438851817364,-0.020032162486830707,-0.0027594549705957094
0.04,0.04,-0.025980879526405265,-0.01932873285425507,-0.0015933522622686436
0.05,0.05,-0.03474301705051919,-0.0029856797574814298,-0.010072516120987918
0.06,0.06,-0.040388999408589754,-0.014301197593356463,-0.007112372067563766
0.07,0.07,-0.04600158474640903,-0.020134072743517972,-0.0031452067198587397
0.08,0.08,-0.05817461155075332,-0.027366423347319868,-0.015499388523050772
0.09,0.09,-0.05342071167071738,-0.018487412083066035,-0.004893178100143447
0.11,0.11,-0.074039420514034,-0.02654851179685025,-0.01785159027848915
0.12,0.12,-0.06319445056780826,-0.0235530241094557,0.005498847862499434
0.13,0.13,-0.08142534418320113,-0.021139091009163002,-0.013067084429942644
0.14,0.14,-0.09174405606744185,-0.03299691387118242,-0.008032097735462984
0.15,0.15,-0.08812970357096117,-0.0271553060593126,-0.006839648494661343
0.16,0.16,-0.09706545869492267,-0.02533351542079132,-0.011972257448270684
0.17,0.17,-0.09133282198929482,-0.02272509170694459,0.0007504148597573534
0.18,0.18,-0.1170730290081764,-0.019593886923756965,-0.007957419333267102
0.19,0.19,-0.12495084453625116,-0.03121409803449715,-0.013977553272297438
0.21,0.21,-0.13718180531479895,-0.029972105718845787,-0.014708122180524752
0.22,0.22,-0.14193984796864734,-0.030686131344663137,-0.011194330078944437
0.23,0.23,-0.16138343131095922,-0.024268227536450193,-0.02276919034253322
0.24,0.24,-0.17035394751891397,-0.0386484863916573,-0.022231251445472666
0.25,0.25,-0.19173443935670165,-0.049175182882362445,-0.015703231481081437
0.26,0.26,-0.19215677535647735,-0.0396913185235811,-0.0018739205481174137
0.27,0.27,-0.20545614752090713,-0.04258444173369835,-0.014336544669002915
