m,M,epsilon_of_M,stat_NICV
0.1,0.1,0.5,0.4662015596611051
0.1,0.2,0.5,0.4656162079477135
0.1,0.3,0.5,0.46750518655354084
0.1,0.4,0.5,0.46508370474107347
0.1,0.5,0.5,0.46761829755010287
0.1,0.6,0.5,0.4663116894250898
0.1,0.7,0.5,0.4666424908664535
0.1,0.8,0.5,0.4668628882849067
0.1,0.9,0.5,0.46660581716040256
0.2,0.2,0.5,0.4658194636922309
0.2,0.3,0.5,0.4657177770248137
0.2,0.4,0.5,0.46671374432714047
0.2,0.5,0.5,0.4661920566897948
0.2,0.6,0.5,0.46623468896208725
0.2,0.7,0.5,0.4677617115116105
0.2,0.8,0.5,0.4652132014878812
0.2,0.9,0.5,0.46762589311261094
0.3,0.3,0.5,0.4664707316407899
0.3,0.4,0.5,0.46572997175329
0.3,0.5,0.5,0.4662740873390716
0.3,0.6,0.5,0.4655706805855999
0.3,0.7,0.5,0.46676940247725035
0.3,0.8,0.5,0.4658463788846139
0.3,0.9,0.5,0.4678242659617649
0.4,0.4,0.5,0.4661803052708169
0.4,0.5,0.5,0.4666853581928807
0.4,0.6,0.5,0.46659657988710235
0.4,0.7,0.5,0.46622046095952807
0.4,0.8,0.5,0.4655059973321152
0.4,0.9,0.5,0.4660635755539215
0.5,0.5,0.5,0.46717163396843714
0.5,0.6,0.5,0.4663138072871335
0.5,0.7,0.5,0.4663215159337375
0.5,0.8,0.5,0.466112394688107
0.5,0.9,0.5,0.46338849844128344
0.6,0.6,0.5,0.46190733185922905
0.6,0.7,0.5,0.46317118695480886
0.6,0.8,0.5,0.4620678127523921
0.6,0.9,0.5,0.4622485678315785
0.7,0.7,0.5,0.46354148258820393
0.7,0.8,0.5,0.46255394405723177
0.7,0.9,0.5,0.46385226312634154
0.8,0.8,0.5,0.4619629266159908
0.8,0.9,0.5,0.4614418095452632
0.9,0.9,0.5,0.46371961443923226
0.01,0.01,0.5,0.46150289053588583
0.02,0.02,0.5,0.4626968772748901
0.03,0.03,0.5,0.4619144566028011
0.04,0.04,0.5,0.46319665392272513
0.05,0.05,0.5,0.4634113926399485
0.06,0.06,0.5,0.4630637853177307
0.07,0.07,0.5,0.46225300754660115
0.08,0.08,0.5,0.46176325352943126
0.09,0.09,0.5,0.4632313310015943
0.11,0.11,0.5,0.46204467358556606
0.12,0.12,0.5,0.4628466851847936
0.13,0.13,0.5,0.4620623886934175
0.14,0.14,0.5,0.4621596076001231
0.15,0.15,0.5,0.46398231757367264
0.16,0.16,0.5,0.46251664738063075
0.17,0.17,0.5,0.4637217701190336
0.18,0.18,0.5,0.461316766289277
0.19,0.19,0.5,0.4622975555601205
0.21,0.21,0.5,0.4633225146963089
0.22,0.22,0.5,0.4614233630508848
0.23,0.23,0.5,0.4623725409827813
0.24,0.24,0.5,0.4627128410513708
0.25,0.25,0.5,0.46145646700484294
0.26,0.26,0.5,0.46157203740999636
0.27,0.27,0.5,0.4621542313957883
0.28,0.28,0.5,0.46249279238372465
0.29,0.29,0.5,0.4635912743529703
0.31,0.31,0.5,0.46365129846381187
0.32,0.32,0.5,0.4630371523307834
0.33,0.33,0.5,0.46180253329388743
0.34,0.34,0.5,0.4624701867480307
0.35,0.35,0.5,0.4608424711263008
0.36,0.36,0.5,0.46183630314596935
0.37,0.37,0.5,0.4621750138170024
