m,M,epsilon_of_M,stat_NICV
0.1,0.1,0.45985805124959506,0.47638231463332387
0.1,0.2,1.4180370928606563,0.3750715615671537
0.1,0.3,2.374390515085868,0.3258432013269478
0.1,0.4,3.328751625269407,0.3000950715114678
0.1,0.5,4.280929803620162,0.2802778399308437
0.1,0.6,5.230705692735597,0.2678561240213823
0.1,0.7,6.177825113937635,0.25828590105865334
0.1,0.8,7.121991283339271,0.2482307287649765
0.1,0.9,8.069960856551647,0.24194736558792096
0.2,0.2,0.4180370928606561,0.4920697288179285
0.2,0.3,0.8743905150858681,0.4127727481757841
0.2,0.4,1.3287516252694076,0.3829670247951742
0.2,0.5,1.7809298036201613,0.35294259882441575
0.2,0.6,2.230705692735597,0.3297353840172882
0.2,0.7,2.677825113937636,0.31596044041132726
0.2,0.8,3.1311913858301987,0.30554898900475985
0.2,0.9,4.284565468042477,0.280587328876137
0.3,0.3,0.37439051508586846,0.5144539402433314
0.3,0.4,0.6620849586027407,0.43189194883947
0.3,0.5,0.9475964702868284,0.4081237196081486
0.3,0.6,1.2307056927355975,0.39060624674023675
0.3,0.7,1.5192287736285799,0.3687910609664684
0.3,0.8,1.929887714963421,0.34533271752479716
0.3,0.9,3.2806469044451063,0.3020838286743141
0.4,0.4,0.3287516252694073,0.549348393461757
0.4,0.5,0.5309298036201614,0.4556525537990466
0.4,0.6,0.7354847533049613,0.42357854887316637
0.4,0.7,0.9724216723792499,0.40683208777620655
0.4,0.8,1.3625307643525733,0.3789069297124292
0.4,0.9,2.7046149070688505,0.31548157712534497
0.5,0.5,0.28092980362016146,0.6133434762142906
0.5,0.6,0.4410405561104139,0.4831499450522322
0.5,0.7,0.6388931431982581,0.43592031961092903
0.5,0.8,0.9886300258909754,0.40498668022183865
0.5,0.9,2.177825113937637,0.3315748040729411
0.6,0.6,0.2307056927355977,0.7059829015626137
0.6,0.7,0.3902683998635958,0.5061086855152991
0.6,0.8,0.6829925611006017,0.4281373356889278
0.6,0.9,1.6502978251128062,0.3595864967580697
0.7,0.7,0.1778251139376357,0.8803705967610974
0.7,0.8,0.4152962404726778,0.48921674551108263
0.7,0.9,1.1219912833392713,0.3958150670588823
0.8,0.8,0.12199128333927091,1.284554543560404
0.8,0.9,0.5928600813128483,0.44033556433171284
0.9,0.9,0.06285472347373035,2.304070457736511
0.01,0.01,0.49605754532553353,0.46194972774697624
0.02,0.02,0.4920994861619237,0.4628753324815415
0.03,0.03,0.48812569849099385,0.4647141260135674
0.04,0.04,0.4841360568101951,0.4656978950169493
0.05,0.05,0.48013043410882683,0.46477718669895035
0.06,0.06,0.4761087018437724,0.4675321448887516
0.07,0.07,0.4720707299147485,0.46908489544417276
0.08,0.08,0.4680163866390518,0.46925664639877424
0.09,0.09,0.46394553872579114,0.47286482818836617
0.11,0.11,0.45575378762377566,0.474627108976044
0.12,0.12,0.45163260957294576,0.477445470332759
0.13,0.13,0.44749437710506174,0.47729229638319953
0.14,0.14,0.44333894848289374,0.4800902702285899
0.15,0.15,0.43916618019489273,0.48023313435757675
0.16,0.16,0.43497592692545334,0.4816895002333351
0.17,0.17,0.43076804152454756,0.48473972893118167
0.18,0.18,0.4265423749767188,0.4863032212166781
0.19,0.19,0.4222987763694164,0.48789808631681253
0.21,0.21,0.4137571696459893,0.4934021110903602
0.22,0.22,0.4094588499247608,0.4958827262072917
0.23,0.23,0.40514197486564013,0.49724874679373204
0.24,0.24,0.40080638357140336,0.49995536700604143
0.25,0.25,0.3964519130429505,0.5002968355313511
0.26,0.26,0.3920783981425341,0.50198462519504
0.27,0.27,0.38768567155618155,0.5051227866292146
0.28,0.28,0.3832735637552874,0.5068709393401728
0.29,0.29,0.3788419029573562,0.5089025338377523
0.31,0.31,0.3699192237292539,0.5117193284302112
0.32,0.32,0.36542785009893863,0.5152612554650116
0.33,0.33,0.36091621298644966,0.5186985344910879
0.34,0.34,0.35638412871954467,0.5200922549426801
0.35,0.35,0.35183141111734534,0.5265289071859854
0.36,0.36,0.3472578714444431,0.5322327711235334
0.37,0.37,0.3426633183639511,0.5346384741853559
0.38,0.38,0.3380475578894727,0.5396661880277991
0.39,0.39,0.33341039333595685,0.544238122091082
0.41,0.41,0.324071051455416,0.5474308345639921
0.42,0.42,0.3193684668064857,0.554608557417318
0.43,0.43,0.3146436633281093,0.5592740649394049
0.44,0.44,0.30989643006356743,0.5579709395437683
0.45,0.45,0.30512655303741093,0.5686246224525301
0.46,0.46,0.3003338151975887,0.5783503438737024
0.47,0.47,0.29551799635618126,0.5811591275811627
0.48,0.48,0.2906788731287013,0.5905711760333808
0.49,0.49,0.2858162188719178,0.5981300423818702
0.51,0.51,0.2760193940200654,0.6052791977706027
0.52,0.52,0.27108475326369763,0.6179255759987232
0.53,0.53,0.2661256410200323,0.6218475924062604
0.54,0.54,0.26114181336471715,0.6319404305148675
0.55,0.55,0.2561330227080783,0.6359122774164114
0.56,0.56,0.2510990177213167,0.6560835411055362
0.57,0.57,0.24603954326083285,0.6622912242340263
0.58,0.58,0.24095434029063204,0.6710301760173726
0.59,0.59,0.23584314580274376,0.679235336284692
0.61,0.61,0.22554170989029212,0.7051552385804246
0.62,0.62,0.22035092184468896,0.7193155179468693
0.63,0.63,0.2151330488652684,0.7704256414767419
0.64,0.64,0.20988780681666974,0.7919613304964046
0.65,0.65,0.20461490706885055,0.828872477086478
0.66,0.66,0.19931405640178138,0.8474754426010477
0.67,0.67,0.19398495690760423,0.8626877798714515
0.68,0.68,0.1886273058901679,0.8623368578517703
0.69,0.69,0.18324079576185842,0.9175954832325638
0.71,0.71,0.17237994272618495,0.9724548877071592
0.72,0.72,0.16690495921808865,1.0007708044433825
0.73,0.73,0.16139983517091985,1.0557223359529457
0.74,0.74,0.15586423689115622,1.0812301768578314
0.75,0.75,0.1502978251128056,1.1382708496055103
0.76,0.76,0.14470025487263616,1.1683760931324014
0.77,0.77,0.13907117538189404,1.2056663049902148
0.78,0.78,0.13341022989439,1.2333050636629581
0.79,0.79,0.12771705557083193,1.3227676484997575
0.81,0.81,0.11623253775153193,1.4932509930071873
0.82,0.82,0.11044043683548455,1.5729540964685194
0.83,0.83,0.1046145919430111,1.6154460070393981
0.84,0.84,0.09875460759352044,1.684271095315089
0.85,0.85,0.09286008131284908,1.7470598787506346
0.86,0.86,0.08693060346738647,1.8543388531736176
0.87,0.87,0.08096575709325296,1.9134178560597594
0.88,0.88,0.0749651177203525,2.096766270256799
0.89,0.89,0.0689282531911143,2.225382306078855
0.91,0.91,0.05674408046968678,2.411253728459591
0.92,0.92,0.050595867815377144,2.532570977684386
0.93,0.93,0.0444096206775808,2.662837426747229
0.94,0.94,0.038184865542575934,2.8420247051368777
0.95,0.95,0.031921119998644706,2.9926596512454977
0.96,0.96,0.02561789251172882,3.0874896921508173
0.97,0.97,0.019274682193964544,3.1969971967829918
0.98,0.98,0.012890978564832786,3.293404121122758
0.99,0.99,0.00646626130463523,3.343577821293432
