m,M,epsilon_of_M,stat_NICV
0.1,0.1,0.5427901194551419,0.46179473261343323
0.1,0.2,,
0.1,0.3,,
0.1,0.4,,
0.1,0.5,,
0.1,0.6,,
0.1,0.7,,
0.1,0.8,,
0.1,0.9,,
0.2,0.2,0.5938248363839753,0.4651138421311865
0.2,0.3,0.0,
0.2,0.4,,
0.2,0.5,,
0.2,0.6,,
0.2,0.7,,
0.2,0.8,,
0.2,0.9,,
0.3,0.3,0.6558318806163518,0.47072291699730245
0.3,0.4,0.26410685686598384,0.852994420458744
0.3,0.5,,
0.3,0.6,,
0.3,0.7,,
0.3,0.8,,
0.3,0.9,,
0.4,0.4,0.7329456680356207,0.47736724258064045
0.4,0.5,0.44983333408021964,0.6226063189885088
0.4,0.6,0.0,
0.4,0.7,,
0.4,0.8,,
0.4,0.9,,
0.5,0.5,0.8317965657511863,0.4894650275437811
0.5,0.6,0.6059517194651037,0.5773041227213849
0.5,0.7,0.1797533801464694,2.009616931904421
0.5,0.8,,
0.5,0.9,,
0.6,0.6,0.9638623164485162,0.5166987134169303
0.6,0.7,0.7274341065221323,0.6259368346144261
0.6,0.8,,
0.6,0.9,,
0.7,0.7,1.151332572383167,0.54756346244723
0.7,0.8,0.5,1.2123934416501254
0.7,0.9,,
0.8,0.8,1.4454134627977873,0.6072450462788332
0.8,0.9,0.0,
0.9,0.9,2.013196593022799,0.7902577428164924
0.01,0.01,0.5039665605676084,0.4650130957989993
0.02,0.02,0.5079979177547899,0.46432510566983454
0.03,0.03,0.5120957059628882,0.4639077413526712
0.04,0.04,0.5162616161383375,0.4669938115137122
0.05,0.05,0.5204973982856399,0.46671773789384213
0.06,0.06,0.524804864117896,0.46619250258246586
0.07,0.07,0.5291858898538833,0.4663259076389691
0.08,0.08,0.5336424191713875,0.46761340733833895
0.09,0.09,0.5381764663272126,0.4678451842039945
0.11,0.11,0.5474855440539914,0.46696424571550055
0.12,0.12,0.5522649866788762,0.46505021143259795
0.13,0.13,0.5571307788498734,0.46692047020366395
0.14,0.14,0.5620853411934147,0.4699063319391649
