m,M,epsilon_of_M,stat_NICV
0.1,0.1,0.5427901194551419,0.005072277996062491
0.1,0.2,,
0.1,0.3,,
0.1,0.4,,
0.1,0.5,,
0.1,0.6,,
0.1,0.7,,
0.1,0.8,,
0.1,0.9,,
0.2,0.2,0.5938248363839753,0.005614412755704635
0.2,0.3,0.0,
0.2,0.4,,
0.2,0.5,,
0.2,0.6,,
0.2,0.7,,
0.2,0.8,,
0.2,0.9,,
0.3,0.3,0.6558318806163518,0.006685943654399583
0.3,0.4,0.26410685686598384,0.18894576268327423
0.3,0.5,,
0.3,0.6,,
0.3,0.7,,
0.3,0.8,,
0.3,0.9,,
0.4,0.4,0.7329456680356207,0.0073118770220405626
0.4,0.5,0.44983333408021964,0.051388472355916356
0.4,0.6,0.0,
0.4,0.7,,
0.4,0.8,,
0.4,0.9,,
0.5,0.5,0.8317965657511863,0.010184617609396292
0.5,0.6,0.6059517194651037,0.039696061043193724
0.5,0.7,0.1797533801464694,1.236199619340255
0.5,0.8,,
0.5,0.9,,
0.6,0.6,0.9638623164485162,0.015417437843083625
0.6,0.7,0.7274341065221323,0.06374003610694742
0.6,0.8,,
0.6,0.9,,
0.7,0.7,1.151332572383167,0.01728976281974644
0.7,0.8,0.5,0.39912797384997206
0.7,0.9,,
0.8,0.8,1.4454134627977873,0.034527726669534
0.8,0.9,0.0,
0.9,0.9,2.013196593022799,0.11284205498161996
0.01,0.01,0.5039665605676084,0.004349619100532125
0.02,0.02,0.5079979177547899,0.004082153831985533
0.03,0.03,0.5120957059628882,0.00418144793468236
0.04,0.04,0.5162616161383375,0.004352029892212301
0.05,0.05,0.5204973982856399,0.004450851256588388
0.06,0.06,0.524804864117896,0.004151053526928464
0.07,0.07,0.5291858898538833,0.004358729691634331
0.08,0.08,0.5336424191713875,0.004532119685941586
0.09,0.09,0.5381764663272126,0.004568823439617418
0.11,0.11,0.5474855440539914,0.004489568349931914
0.12,0.12,0.5522649866788762,0.004445285753946881
0.13,0.13,0.5571307788498734,0.004401641556162508
0.14,0.14,0.5620853411934147,0.005292694566066344
0.15,0.15,0.5671311878330225,0.004852337765395884
0.16,0.16,0.5722709310473791,0.004794829479855075
0.17,0.17,0.5775072862152558,0.004647877571700367
0.18,0.18,0.5828430770684829,0.004912407919539061
0.19,0.19,0.5882812412759918,0.005553491265847329
0.21,0.21,0.5994770461394302,0.007420887280148357
0.22,0.22,0.605241187226804,0.005942267722159872
0.23,0.23,0.6111207164501729,0.0051025722759381895
0.24,0.24,0.6171192383963631,0.005452150640958097
0.25,0.25,0.623240513617734,0.0053921929790402045
0.26,0.26,0.6294884673770176,0.005245502156162627
0.27,0.27,0.6358671990006552,0.005442057683816015
0.28,0.28,0.6423809918915998,0.005363615448490734
0.29,0.29,0.6490343242575735,0.005825164491671725
0.31,0.31,0.6627785641459,0.005971834646498687
0.32,0.32,0.6698795099541458,0.005608888554888487
0.33,0.33,0.6771400993509752,0.006000378814512781
0.34,0.34,0.6845659752137845,0.006204927131810702
0.35,0.35,0.6921630585477133,0.006149652022125171
0.36,0.36,0.6999375663527393,0.006241766013905144
0.37,0.37,0.7078960309222104,0.010565720507875548
0.38,0.38,0.7160453207114357,0.00873154598312653
0.39,0.39,0.7243926629307728,0.0067016490313587095
0.41,0.41,0.7417123563060677,0.007272737077210292
0.42,0.42,0.7507011867321132,0.00661715857271789
0.43,0.43,0.7599210884467501,0.007856483089228632
0.44,0.44,0.7693814949793284,0.008110615897656284
0.45,0.45,0.7790923816360812,0.00851821864546353
0.46,0.46,0.7890643063542454,0.007212607275850885
0.47,0.47,0.7993084544216629,0.009415014620062806
0.48,0.48,0.8098366875061591,0.00718789433385208
0.49,0.49,0.8206615974995355,0.01447802689041117
0.51,0.51,0.8432558283478445,0.012247405690444775
0.52,0.52,0.8550545481909494,0.009487735493335684
0.53,0.53,0.8672088947341141,0.009985280937154103
0.54,0.54,0.8797361323732651,0.010128746315713867
0.55,0.55,0.8926547186350446,0.009825075067994956
0.56,0.56,0.9059844134896071,0.010038940864457075
0.57,0.57,0.9197464013276998,0.010098635028128626
0.58,0.58,0.933963427395995,0.010312065226005964
0.59,0.59,0.9486599507877075,0.015148255957891286
0.61,0.61,0.9795989490944182,0.010186734831432108
0.62,0.62,0.9959005724654699,0.012549647645191106
0.63,0.63,1.012800457979408,0.012788703614261255
0.64,0.64,1.0303347076294318,0.012529532958903876
0.65,0.65,1.0485425769268546,0.013890490829448859
0.66,0.66,1.067466844867599,0.01416282605318332
0.67,0.67,1.087154239361446,0.0157757577921503
0.68,0.68,1.1076559283825544,0.01754391668702942
0.69,0.69,1.1290280893818594,0.014130603542037814
0.71,0.71,1.174637675848032,0.02035261350551709
0.72,0.72,1.1990190590869703,0.021058108977486164
0.73,0.73,1.2245608210535006,0.019909258963781006
0.74,0.74,1.2513567832473245,0.02345397400496165
0.75,0.75,1.2795120248207879,0.025110615675647447
0.76,0.76,1.3091447317397615,0.0306437941094241
0.77,0.77,1.3403884402961195,0.029393288679334856
0.78,0.78,1.3733947802821322,0.03696865803021334
0.79,0.79,1.4083368574706783,0.04760822080619191
0.81,0.81,1.4848543630202984,0.044808832854831074
0.82,0.82,1.5269270241871216,0.05088116535734456
0.83,0.83,1.5719452600623414,0.05071718280003694
0.84,0.84,1.6202805068592918,0.06249125282712567
0.85,0.85,1.6723767431240653,0.06610115884439492
0.86,0.86,1.7287705667477344,0.07514750162288372
0.87,0.87,1.7901187274087529,0.08163881994072794
0.88,0.88,1.8572367041933642,0.08846034283739217
0.89,0.89,1.9311541118777813,0.09776989125120965
0.91,0.91,2.105111008564644,0.20022150495432744
0.92,0.92,2.209264679503782,0.18502637479640044
0.93,0.93,2.328978378063511,0.2359500868051942
0.94,0.94,2.46911775683092,0.3066551358359691
0.95,0.95,2.6372289029188076,0.37113618133108617
0.96,0.96,2.8459571932510883,0.7092694751042563
0.97,0.97,3.1190131619132098,0.9712996344584527
0.98,0.98,3.509635064032687,1.26795383663256
0.99,0.99,4.187715394070089,1.7291465774848782
