m,M,epsilon_of_M,NICV
0.1,0.1,1,0.413916978877881
0.1,0.1,1,0.3906169217422972
0.1,0.1,1,0.4197935219716397
0.1,0.1,1,0.3936698555855489
0.1,0.1,1,0.4014458895438603
0.1,0.1,1,0.4357490510275718
0.1,0.1,1,0.4101912108852221
0.1,0.1,1,0.40137639675040687
0.1,0.1,1,0.404799663096054
0.1,0.1,1,0.39894424766919856
0.1,0.1,1,0.40461002505989674
0.1,0.1,1,0.40423044251998175
0.1,0.1,1,0.414250287074092
0.1,0.1,1,0.4082135850629252
0.1,0.1,1,0.4122273811773693
0.1,0.1,1,0.39735518708673934
0.1,0.1,1,0.3967444320728831
0.1,0.1,1,0.4022244877797665
0.1,0.1,1,0.34294150139051977
0.1,0.1,1,0.39807221163509704
0.1,0.1,1,0.39185373152000286
0.1,0.1,1,0.41955696093911016
0.1,0.1,1,0.31312731209229844
0.1,0.1,1,0.39879096293498884
0.1,0.1,1,0.4074180207732351
0.1,0.1,1,0.40373380016453697
0.1,0.1,1,0.3962796305735235
0.1,0.1,1,0.39273581383611816
0.1,0.1,1,0.39312995603102663
0.1,0.1,1,0.4339741847592343
0.1,0.1,1,0.3978875305179963
0.1,0.1,1,0.3974290063586987
0.1,0.1,1,0.4773315391701894
0.1,0.1,1,0.4149484543059929
0.1,0.1,1,0.3903642796712896
0.1,0.1,1,0.4113000044134264
0.1,0.1,1,0.41096904544563234
0.1,0.1,1,0.412475678344117
0.1,0.1,1,0.3872045446400399
0.1,0.1,1,0.39294199316260886
0.1,0.1,1,0.3778862115063832
0.1,0.1,1,0.40879220307309766
0.1,0.1,1,0.3348949125386561
0.1,0.1,1,0.4072432250046768
0.1,0.1,1,0.3990871744902355
0.1,0.1,1,0.4401472986273202
0.1,0.1,1,0.430815306588041
0.1,0.1,1,0.3859904971698537
0.1,0.1,1,0.4107200342519991
0.1,0.1,1,0.3934121654853212
0.1,0.1,1,0.40344988017055394
0.1,0.1,1,0.39050917724145107
0.1,0.1,1,0.39876734711436085
0.1,0.1,1,0.4067715156529668
0.1,0.1,1,0.4206809900973375
0.1,0.1,1,0.39772689639196485
0.1,0.1,1,0.39903537726175703
0.1,0.1,1,0.4227541483455364
0.1,0.1,1,0.3996697415927948
0.1,0.1,1,0.3933042955576786
0.1,0.1,1,0.41504302235616286
0.1,0.1,1,0.40036760415466255
0.1,0.1,1,0.39168342696208003
0.1,0.1,1,0.3859023968985698
0.1,0.1,1,0.392122727314747
0.1,0.1,1,0.42132748833802885
0.1,0.1,1,0.42232197971096064
0.1,0.1,1,0.4314673104938737
0.1,0.1,1,0.4134729931240337
0.1,0.1,1,0.40492079162663036
0.1,0.1,1,0.40652114239780274
0.1,0.1,1,0.31496952878070344
0.1,0.1,1,0.4151486879300935
0.1,0.1,1,0.4021271961983588
0.1,0.1,1,0.41586914217474064
0.1,0.1,1,0.4010867680469968
0.1,0.1,1,0.4700911342701647
0.1,0.1,1,0.4371422500784216
