m,M,epsilon_of_M,stat_NICV
0.1,0.1,1.0,0.0006536263421269432
0.1,0.2,1.0,0.000655308324604816
0.1,0.3,1.0,0.0006881909720264301
0.1,0.4,1.0,0.0006884738936007334
0.1,0.5,1.0,0.0006505319456524184
0.1,0.6,1.0,0.000659027979873894
0.1,0.7,1.0,0.0006314823871058634
0.1,0.8,1.0,0.00067919466538135
0.1,0.9,1.0,0.0006611653618164558
0.2,0.2,1.0,0.0006660092979303348
0.2,0.3,1.0,0.0006557622198135201
0.2,0.4,1.0,0.0006787403919886127
0.2,0.5,1.0,0.0006869712275732752
0.2,0.6,1.0,0.000688135546347781
0.2,0.7,1.0,0.000632658666420726
0.2,0.8,1.0,0.0006612386181950432
0.2,0.9,1.0,0.000648976039825009
0.3,0.3,1.0,0.000670023073658464
0.3,0.4,1.0,0.0006676718111416679
0.3,0.5,1.0,0.0006556910798364616
0.3,0.6,1.0,0.0006550939892622234
0.3,0.7,1.0,0.0006910307965047582
0.3,0.8,1.0,0.0006866322660258082
0.3,0.9,1.0,0.0006409575936643199
0.4,0.4,1.0,0.0006702700858818355
0.4,0.5,1.0,0.0006288532444354046
0.4,0.6,1.0,0.0006813582653905143
0.4,0.7,1.0,0.0006621451645029137
0.4,0.8,1.0,0.0006587687551046674
0.4,0.9,1.0,0.0006607932204791471
0.5,0.5,1.0,0.0006785459180230677
0.5,0.6,1.0,0.0006863600353316498
0.5,0.7,1.0,0.0006722228437114218
0.5,0.8,1.0,0.0005863512069077188
0.5,0.9,1.0,0.0005607683720035
0.6,0.6,1.0,0.0005495144265900385
0.6,0.7,1.0,0.0005537129864543435
0.6,0.8,1.0,0.0005539995584143101
0.6,0.9,1.0,0.000508189722260577
0.7,0.7,1.0,0.0005329999010200797
0.7,0.8,1.0,0.0005540155513505156
0.7,0.9,1.0,0.0005602930457537192
0.8,0.8,1.0,0.0005656395205201143
0.8,0.9,1.0,0.0005356313141252043
0.9,0.9,1.0,0.0005668372896348341
0.01,0.01,1.0,0.0005368915653889064
0.02,0.02,1.0,0.0005590955425940933
0.03,0.03,1.0,0.0005420426862878043
0.04,0.04,1.0,0.0004961223814590653
0.05,0.05,1.0,0.000557429158351528
0.06,0.06,1.0,0.0005560503649590026
0.07,0.07,1.0,0.0005638539807653155
0.08,0.08,1.0,0.0005374883280720693
0.09,0.09,1.0,0.0005663864256551326
0.11,0.11,1.0,0.0005507032235967985
0.12,0.12,1.0,0.0005424227076960173
0.13,0.13,1.0,0.0005645783990363825
0.14,0.14,1.0,0.0005038362738208573
0.15,0.15,1.0,0.0005335133362822107
0.16,0.16,1.0,0.0005505280115338368
0.17,0.17,1.0,0.000564371484882996
0.18,0.18,1.0,0.0005659618020921488
0.19,0.19,1.0,0.0005389559895795157
0.21,0.21,1.0,0.0005644712713944001
0.22,0.22,1.0,0.0005385118136672371
0.23,0.23,1.0,0.0005582288996067482
0.24,0.24,1.0,0.0005128373758504159
0.25,0.25,1.0,0.0005953798590852448
0.26,0.26,1.0,0.0006385488497461193
0.27,0.27,1.0,0.0006585694547398431
0.28,0.28,1.0,0.0006402766704964261
0.29,0.29,1.0,0.0006476987073964463
0.31,0.31,1.0,0.0006499089990222839
0.32,0.32,1.0,0.0006666582316155609
0.33,0.33,1.0,0.0006717427733384182
0.34,0.34,1.0,0.000640564559820953
0.35,0.35,1.0,0.0006278124190817434
0.36,0.36,1.0,0.000643358573272311
0.37,0.37,1.0,0.0006449335590988736
0.38,0.38,1.0,0.0006655489613011054
0.39,0.39,1.0,0.0006400765865702346
0.41,0.41,1.0,0.0006337466860570398
0.42,0.42,1.0,0.0006615064017335347
0.43,0.43,1.0,0.0006688108202098953
0.44,0.44,1.0,0.0006612004948857738
0.45,0.45,1.0,0.0006141346864429764
0.46,0.46,1.0,0.0006444282185781977
0.47,0.47,1.0,0.0006446984403609227
0.48,0.48,1.0,0.000663613630296102
0.49,0.49,1.0,0.0006376496856505167
0.51,0.51,1.0,0.0006499977717413036
0.52,0.52,1.0,0.0006506126506161326
0.53,0.53,1.0,0.0006610156006581214
0.54,0.54,1.0,0.000670765213046604
0.55,0.55,1.0,0.0006376588643121548
0.56,0.56,1.0,0.0006350455505666861
0.57,0.57,1.0,0.0006409916989195608
0.58,0.58,1.0,0.0006505390248647802
0.59,0.59,1.0,0.000662947211256234
0.61,0.61,1.0,0.0006364973271013886
0.62,0.62,1.0,0.0006392014094039415
0.63,0.63,1.0,0.0006261121239466684
0.64,0.64,1.0,0.0005782072872600872
0.65,0.65,1.0,0.0005464075965167878
0.66,0.66,1.0,0.000569520910320692
0.67,0.67,1.0,0.00055104522138444
0.68,0.68,1.0,0.0005615248728586829
0.69,0.69,1.0,0.0005411848921888835
0.71,0.71,1.0,0.0005571800003969056
0.72,0.72,1.0,0.0005543088272087386
0.73,0.73,1.0,0.0005738050373886249
0.74,0.74,1.0,0.0005750914446520665
0.75,0.75,1.0,0.0005664010992935264
0.76,0.76,1.0,0.0005441800533298152
0.77,0.77,1.0,0.0005683292152277397
0.78,0.78,1.0,0.0005600399923672508
0.79,0.79,1.0,0.0005284311803778905
0.81,0.81,1.0,0.0005622850258348635
0.82,0.82,1.0,0.0005589154889528871
0.83,0.83,1.0,0.0005627984056757475
0.84,0.84,1.0,0.0005722876886940236
0.85,0.85,1.0,0.0005744923719220513
0.86,0.86,1.0,0.0005487156273493959
