m,M,epsilon_of_M,stat_NICV
0.1,0.1,1.0,0.40829760163443884
0.1,0.2,1.0,0.4077826146304631
0.1,0.3,1.0,0.4067789693592639
0.1,0.4,1.0,0.4055659171797977
0.1,0.5,1.0,0.4044181190538036
0.1,0.6,1.0,0.40340081365496794
0.1,0.7,1.0,0.4013876915102206
0.1,0.8,1.0,0.4000158821999898
0.1,0.9,1.0,0.3980164488148191
0.2,0.2,1.0,0.41550554046790966
0.2,0.3,1.0,0.41447314190125645
0.2,0.4,1.0,0.4141909109675711
0.2,0.5,1.0,0.4121032765835979
0.2,0.6,1.0,0.4114052410479562
0.2,0.7,1.0,0.4100713747017109
0.2,0.8,1.0,0.40828545502815006
0.2,0.9,1.0,0.4062806226057593
0.3,0.3,1.0,0.42435851031101457
0.3,0.4,1.0,0.4228777055763078
0.3,0.5,1.0,0.42262186847949756
0.3,0.6,1.0,0.4224976085696871
0.3,0.7,1.0,0.42154906906376494
0.3,0.8,1.0,0.4206231590440534
0.3,0.9,1.0,0.4195387085583213
0.4,0.4,1.0,0.43797844598800156
0.4,0.5,1.0,0.43715608948251855
0.4,0.6,1.0,0.43702438539531446
0.4,0.7,1.0,0.4359030767752291
0.4,0.8,1.0,0.43662150170581593
0.4,0.9,1.0,0.43817634157962254
0.5,0.5,1.0,0.4610256598218203
0.5,0.6,1.0,0.4612001937948611
0.5,0.7,1.0,0.4631423720325674
0.5,0.8,1.0,0.46138041414324904
0.5,0.9,1.0,0.47253395487993227
0.6,0.6,1.0,0.5089212322409238
0.6,0.7,1.0,0.5090722554090168
0.6,0.8,1.0,0.518549561081102
0.6,0.9,1.0,0.5222590170654978
0.7,0.7,1.0,0.5871149961342872
0.7,0.8,1.0,0.608988095341086
0.7,0.9,1.0,0.6315139598491617
0.8,0.8,1.0,0.8055357828706997
0.8,0.9,1.0,0.8690208773493585
0.9,0.9,1.0,1.5788438663833144
0.01,0.01,1.0,0.40734533025928205
0.02,0.02,1.0,0.408144255189641
0.03,0.03,1.0,0.4087957265814828
0.04,0.04,1.0,0.4082965063358606
0.05,0.05,1.0,0.4094574682237683
0.06,0.06,1.0,0.4104742042477768
0.07,0.07,1.0,0.4112078006480156
0.08,0.08,1.0,0.4117568143480629
0.09,0.09,1.0,0.41239222419001625
0.11,0.11,1.0,0.4130673708456602
0.12,0.12,1.0,0.41374492165645754
0.13,0.13,1.0,0.4147850279217918
0.14,0.14,1.0,0.41480703911001443
0.15,0.15,1.0,0.41535620143234975
0.16,0.16,1.0,0.4163296039283823
0.17,0.17,1.0,0.41752474925367933
0.18,0.18,1.0,0.4180710184736739
0.19,0.19,1.0,0.41842525484312004
0.21,0.21,1.0,0.4195719229231943
0.22,0.22,1.0,0.42077450132388444
0.23,0.23,1.0,0.4233477310638739
0.24,0.24,1.0,0.4235494262050761
