m,M,epsilon_of_M,stat_NICV
0.1,0.1,2.0,0.3353328538869975
0.1,0.2,2.0,0.3354984558038509
0.1,0.3,2.0,0.33554475760064406
0.1,0.4,2.0,0.33564195513622613
0.1,0.5,2.0,0.3363831224941301
0.1,0.6,2.0,0.33544222275963287
0.1,0.7,2.0,0.3355231350713081
0.1,0.8,2.0,0.3356177840012019
0.1,0.9,2.0,0.3360268571751351
0.2,0.2,2.0,0.33556911131862516
0.2,0.3,2.0,0.33545560826584325
0.2,0.4,2.0,0.3355803731143854
0.2,0.5,2.0,0.3354980995348917
0.2,0.6,2.0,0.33608017274898005
0.2,0.7,2.0,0.33597612949391925
0.2,0.8,2.0,0.33552394233042776
0.2,0.9,2.0,0.3354214079706287
0.3,0.3,2.0,0.3354980297334301
0.3,0.4,2.0,0.33619794902065187
0.3,0.5,2.0,0.33554347571022436
0.3,0.6,2.0,0.33507565459195465
0.3,0.7,2.0,0.3357282081327535
0.3,0.8,2.0,0.33572400168415645
0.3,0.9,2.0,0.3361686004754073
0.4,0.4,2.0,0.33547674852244413
0.4,0.5,2.0,0.33556206466093136
0.4,0.6,2.0,0.33566446632146235
0.4,0.7,2.0,0.33620881031963434
0.4,0.8,2.0,0.33530711693366716
0.4,0.9,2.0,0.33569545562064956
0.5,0.5,2.0,0.33542246399617187
0.5,0.6,2.0,0.33540462358911133
0.5,0.7,2.0,0.33621267525253007
0.5,0.8,2.0,0.3369189977841956
0.5,0.9,2.0,0.3396930042297387
0.6,0.6,2.0,0.3399043000007981
0.6,0.7,2.0,0.34021223581575827
0.6,0.8,2.0,0.34029575701065373
0.6,0.9,2.0,0.3397904317410531
0.7,0.7,2.0,0.3406019147596458
0.7,0.8,2.0,0.3398745763822485
0.7,0.9,2.0,0.3390147665580432
0.8,0.8,2.0,0.34019544748907277
0.8,0.9,2.0,0.34024518948931864
0.9,0.9,2.0,0.34010364321042924
0.01,0.01,2.0,0.34002319079079724
0.02,0.02,2.0,0.33981322283122084
0.03,0.03,2.0,0.34025867361753165
0.04,0.04,2.0,0.3400205119343983
0.05,0.05,2.0,0.34038417538614707
0.06,0.06,2.0,0.3392920332816972
0.07,0.07,2.0,0.3393983566691038
0.08,0.08,2.0,0.340735717200846
0.09,0.09,2.0,0.339767261606034
0.11,0.11,2.0,0.33993733759283196
0.12,0.12,2.0,0.3404513605416844
0.13,0.13,2.0,0.33992825840118246
0.14,0.14,2.0,0.33983022135082486
0.15,0.15,2.0,0.34043873076067566
0.16,0.16,2.0,0.3399457436927661
0.17,0.17,2.0,0.3392173129480974
0.18,0.18,2.0,0.3401960724907949
0.19,0.19,2.0,0.340405484675094
0.21,0.21,2.0,0.33976535228515237
0.22,0.22,2.0,0.34006527416555504
0.23,0.23,2.0,0.33994947876196385
0.24,0.24,2.0,0.340280319628321
0.25,0.25,2.0,0.3412880105071788
0.26,0.26,2.0,0.3421359400113571
0.27,0.27,2.0,0.34250979232284523
0.28,0.28,2.0,0.34173821615489225
0.29,0.29,2.0,0.34222410075480925
0.31,0.31,2.0,0.34169384969902494
0.32,0.32,2.0,0.3421182606892487
0.33,0.33,2.0,0.3418257989853935
0.34,0.34,2.0,0.342309691498661
0.35,0.35,2.0,0.34239774172544346
0.36,0.36,2.0,0.34188411463005297
0.37,0.37,2.0,0.34254498905785885
0.38,0.38,2.0,0.34186581325470966
0.39,0.39,2.0,0.34215446823701007
0.41,0.41,2.0,0.34179094603124655
0.42,0.42,2.0,0.34202775123981416
0.43,0.43,2.0,0.3420500194307805
0.44,0.44,2.0,0.34168302086230173
0.45,0.45,2.0,0.342825336489831
0.46,0.46,2.0,0.3419415897942508
0.47,0.47,2.0,0.34233275151479947
0.48,0.48,2.0,0.34263903240624993
0.49,0.49,2.0,0.3416043944852638
0.51,0.51,2.0,0.3420940502025564
0.52,0.52,2.0,0.3417112657097185
0.53,0.53,2.0,0.34214305774637555
0.54,0.54,2.0,0.3419653209894791
0.55,0.55,2.0,0.34254824706388975
0.56,0.56,2.0,0.3420780789358097
0.57,0.57,2.0,0.3419171829571241
0.58,0.58,2.0,0.34248385322893804
0.59,0.59,2.0,0.3417220029575125
0.61,0.61,2.0,0.34232745371858203
0.62,0.62,2.0,0.3415270435705385
0.63,0.63,2.0,0.3370489144451395
0.64,0.64,2.0,0.33267243615179704
0.65,0.65,2.0,0.3328401841265975
0.66,0.66,2.0,0.3331587203779661
0.67,0.67,2.0,0.33315455433122015
0.68,0.68,2.0,0.3337366913166077
0.69,0.69,2.0,0.33358518658784014
0.71,0.71,2.0,0.3339791316309232
