m,M,epsilon_of_M,stat_NICV
0.1,0.1,1.9095647993081502,0.34559019560168575
0.1,0.2,2.8101304969712415,0.31244459794700563
0.1,0.3,3.699706179357965,0.29141230866543527
0.1,0.4,4.575557117651626,0.2769645782625673
0.1,0.5,5.433780830483028,0.26521741361572465
0.1,0.6,6.268530136416277,0.2572469315907132
0.1,0.7,7.07045861030067,0.2485443071190247
0.1,0.8,7.823214990557688,0.24315404008512748
0.1,0.9,8.68108832519859,0.2392219532184788
0.2,0.2,1.8101304969712413,0.35082287782315913
0.2,0.3,2.1997061793579644,0.33051408663358306
0.2,0.4,2.575557117651626,0.31891480905770186
0.2,0.5,2.9337808304830277,0.30941591320228296
0.2,0.6,3.268530136416277,0.3021024727309352
0.2,0.7,3.575836803801503,0.2944938460411574
0.2,0.8,3.9704599551232875,0.28513181667958154
0.2,0.9,5.230080940978918,0.2683441006684924
0.3,0.3,1.699706179357965,0.3591536121329091
0.3,0.4,1.9088904509849591,0.3460454468819006
0.3,0.5,2.101049174760391,0.3355367008049197
0.3,0.6,2.2850424732827324,0.32842132610899116
0.3,0.7,2.4985990964541287,0.32030221920455676
0.3,0.8,2.8771120023427614,0.3102598100794604
0.3,0.9,4.282067215305558,0.2803862634202683
0.4,0.4,1.5755571176516256,0.3661025752255091
0.4,0.5,1.6946183296263162,0.3596823029303837
0.4,0.6,1.8136258392169444,0.35091874781415167
0.4,0.7,1.9790049893762511,0.3425353227898106
0.4,0.8,2.3272746158823994,0.32649648953134164
0.4,0.9,3.67439041890566,0.2916098782400162
0.5,0.5,1.433780830483027,0.3745326773318827
0.5,0.6,1.5124860248224745,0.3687163453822824
0.5,0.7,1.6326197279579056,0.36265582719988115
0.5,0.8,1.9294518950676753,0.34574910441622864
0.5,0.9,3.07045861030067,0.30132941711631794
0.6,0.6,1.268530136416278,0.3869664381323388
0.6,0.7,1.3448557771330518,0.3811059921776669
0.6,0.8,1.5704586103006695,0.36400265581967023
0.6,0.9,2.454458592793241,0.3205959848973089
0.7,0.7,1.0704586103006692,0.3991684316328883
0.7,0.8,1.204458592793241,0.389625021162425
0.7,0.9,1.823214990557691,0.34903766377522505
0.8,0.8,0.823214990557691,0.4160507913136317
0.8,0.9,1.1721065788577625,0.39316117720154625
0.9,0.9,0.4940287080441789,0.4625372969459413
0.01,0.01,1.9913157536841377,0.34179600670448085
0.02,0.02,1.9825554300779649,0.3412556418627
0.03,0.03,1.9737176844607265,0.3426085027307088
0.04,0.04,1.964801136140164,0.34218015906084676
