m,M,epsilon_of_M,stat_NICV
0.1,0.1,2.0,0.001559232025542781
0.1,0.2,2.0,0.001523137128116718
0.1,0.3,2.0,0.0014842583436208419
0.1,0.4,2.0,0.001414115157622655
0.1,0.5,2.0,0.0013799414587754165
0.1,0.6,2.0,0.001342159994521958
0.1,0.7,2.0,0.0012947600350768735
0.1,0.8,2.0,0.0012231701703489901
0.1,0.9,2.0,0.0011504351596387265
0.2,0.2,2.0,0.0013887911494281765
0.2,0.3,2.0,0.0013200187750249744
0.2,0.4,2.0,0.0012230755411892264
0.2,0.5,2.0,0.0011380324087859129
0.2,0.6,2.0,0.001068718347098928
0.2,0.7,2.0,0.0009607429475607443
0.2,0.8,2.0,0.0009276685799916837
0.2,0.9,2.0,0.0008328208262732325
0.3,0.3,2.0,0.0009885098060196053
0.3,0.4,2.0,0.0009424538096933613
0.3,0.5,2.0,0.0008552765001343198
0.3,0.6,2.0,0.000804207515770644
0.3,0.7,2.0,0.0006807040735883434
0.3,0.8,2.0,0.0006428788186596006
0.3,0.9,2.0,0.0006100143013491276
0.4,0.4,2.0,0.0006460561470050197
0.4,0.5,2.0,0.0006394249589694604
0.4,0.6,2.0,0.0006789475772686976
0.4,0.7,2.0,0.0005509536324908302
0.4,0.8,2.0,0.000565498658314484
0.4,0.9,2.0,0.0005391379480501886
0.5,0.5,2.0,0.0005642843550736083
0.5,0.6,2.0,0.0005144732798646557
0.5,0.7,2.0,0.0005398905191073495
0.5,0.8,2.0,0.0006792803260663341
0.5,0.9,2.0,0.000805325476011405
0.6,0.6,2.0,0.0011057249414538188
0.6,0.7,2.0,0.0011387919406487018
0.6,0.8,2.0,0.0014233107483882796
0.6,0.9,2.0,0.0016263970457170518
0.7,0.7,2.0,0.002770339063478832
0.7,0.8,2.0,0.003261076641933372
0.7,0.9,2.0,0.003947621339755027
0.8,0.8,2.0,0.01184890967550819
0.8,0.9,2.0,0.016037044988016957
0.9,0.9,2.0,0.1241758987962111
0.01,0.01,2.0,0.0016032304292710798
0.02,0.02,2.0,0.001605557890622063
0.03,0.03,2.0,0.001584667764352031
0.04,0.04,2.0,0.0015583402694155416
0.05,0.05,2.0,0.0015639254734030736
0.06,0.06,2.0,0.001572166200333479
0.07,0.07,2.0,0.001613160243626547
0.08,0.08,2.0,0.0015926200261577623
0.09,0.09,2.0,0.0015951515149699115
0.11,0.11,2.0,0.0015812583568918027
0.12,0.12,2.0,0.0015360081390417136
0.13,0.13,2.0,0.0015280713958003677
0.14,0.14,2.0,0.001534115974420127
0.15,0.15,2.0,0.0015473604525528403
0.16,0.16,2.0,0.0015194495228659593
0.17,0.17,2.0,0.001573032123686006
0.18,0.18,2.0,0.0015696957889978806
0.19,0.19,2.0,0.0015012651713861294
0.21,0.21,2.0,0.0015134621493207733
0.22,0.22,2.0,0.0014737958923072823
0.23,0.23,2.0,0.0015032433931405583
0.24,0.24,2.0,0.0015109522717862804
0.25,0.25,2.0,0.0014133674409810752
0.26,0.26,2.0,0.0013582743236376673
0.27,0.27,2.0,0.0013051937496454638
0.28,0.28,2.0,0.001361587382837525
0.29,0.29,2.0,0.0012875576259735965
0.31,0.31,2.0,0.0012449327175886578
0.32,0.32,2.0,0.0011751204733111988
0.33,0.33,2.0,0.0011489152679412242
0.34,0.34,2.0,0.0011304997634531834
0.35,0.35,2.0,0.0010578283879172925
0.36,0.36,2.0,0.0010316195523132495
0.37,0.37,2.0,0.0009610534171124831
0.38,0.38,2.0,0.0008915937088376643
0.39,0.39,2.0,0.0008798565281113122
0.41,0.41,2.0,0.0008204090565054273
0.42,0.42,2.0,0.000813638383292266
0.43,0.43,2.0,0.000760447053352682
0.44,0.44,2.0,0.0007253355073719712
0.45,0.45,2.0,0.00068472998583409
0.46,0.46,2.0,0.0006803020120677846
0.47,0.47,2.0,0.0006710663336453689
0.48,0.48,2.0,0.0006634189445427445
0.49,0.49,2.0,0.0006104443855925821
0.51,0.51,2.0,0.0005696711005678163
0.52,0.52,2.0,0.000590091489087176
0.53,0.53,2.0,0.0005841680947645178
0.54,0.54,2.0,0.0005665431132055338
0.55,0.55,2.0,0.0006672877728598712
0.56,0.56,2.0,0.0007389811289113618
0.57,0.57,2.0,0.0007978218377484798
0.58,0.58,2.0,0.0008098823352661046
0.59,0.59,2.0,0.0009191909621208912
0.61,0.61,2.0,0.0010374749270801525
0.62,0.62,2.0,0.0012153924353940058
0.63,0.63,2.0,0.0012395352414244314
0.64,0.64,2.0,0.0012058416825569945
0.65,0.65,2.0,0.0015401039552561766
0.66,0.66,2.0,0.0017309488853746932
0.67,0.67,2.0,0.0019387261477533061
0.68,0.68,2.0,0.002205097188615875
0.69,0.69,2.0,0.0022299315239110206
0.71,0.71,2.0,0.0030404775808803215
0.72,0.72,2.0,0.0031743515925191997
0.73,0.73,2.0,0.004306081418861097
0.74,0.74,2.0,0.00451386481962201
0.75,0.75,2.0,0.004831691089809562
0.76,0.76,2.0,0.00578379895313774
0.77,0.77,2.0,0.006833034036709171
0.78,0.78,2.0,0.007577114818574266
0.79,0.79,2.0,0.00869125004677485
0.81,0.81,2.0,0.012088864510758381
0.82,0.82,2.0,0.015618187900596294
0.83,0.83,2.0,0.020258518569756353
0.84,0.84,2.0,0.02309465859690855
0.85,0.85,2.0,0.02711465085108352
0.86,0.86,2.0,0.035129265204377355
0.87,0.87,2.0,0.042682010059123025
0.88,0.88,2.0,0.0625782289034091
0.89,0.89,2.0,0.11591097524094202
0.91,0.91,2.0,0.15892473626606818
0.92,0.92,2.0,0.23603068836306262
0.93,0.93,2.0,0.4558085077191599
0.94,0.94,2.0,0.5375113358596557
0.95,0.95,2.0,0.8088556541339098
0.96,0.96,2.0,0.9761537485218436
0.97,0.97,2.0,1.4546806508344161
0.98,0.98,2.0,1.5460400482521441
0.99,0.99,2.0,1.5440240814571184
