m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.01475155553985208,-0.00992902296325926,-0.004494213825163906
0.1,0.2,-0.0151969829300716,-0.0636223839859491,-0.03825084078691693
0.1,0.3,-0.01603117146186439,,-0.06016362039707318
0.1,0.4,-0.015456312647764203,,-0.07413368952142296
0.1,0.5,-0.014984414819048386,,-0.0861501236974539
0.1,0.6,-0.015728031179781665,,-0.09392332234870127
0.1,0.7,-0.01743939293370378,,-0.10441822088598718
0.1,0.8,-0.016184911163278803,,-0.10864865507935331
0.1,0.9,-0.015555301561122725,,-0.112360205517779
0.2,0.2,-0.02722762454528388,-0.016822982008424192,-0.011973858040749907
0.2,0.3,-0.02871164002745713,-0.038813906583521296,-0.03365316165971732
0.2,0.4,-0.02893798779789264,-0.05959928410766602,-0.04560355185457621
0.2,0.5,-0.029630658254767295,-0.08945573479241453,-0.055712844587376076
0.2,0.6,-0.029478744909978316,,-0.0634564449280231
0.2,0.7,-0.02947022056219928,,-0.07095250401496106
0.2,0.8,-0.02896456910172418,,-0.0793566947525704
0.2,0.9,-0.0288653335422156,,-0.09594264084435189
0.3,0.3,-0.043016568616288164,-0.025480329402370383,-0.019360986216809206
0.3,0.4,-0.043154934449453286,-0.036440171049080206,-0.03330743658820451
0.3,0.5,-0.04373993392228159,-0.045413247994317396,-0.04374670882758619
0.3,0.6,-0.043204073254347,-0.05449970724816389,-0.04985840173731049
0.3,0.7,-0.04206753812511421,-0.06459207736034178,-0.05749352705331101
0.3,0.8,-0.04035751342348248,-0.14228526352749699,-0.06582170502817847
0.3,0.9,-0.038168716041765194,,-0.09395105309690421
0.4,0.4,-0.05669861175138552,-0.0369807820856215,-0.0260727850483205
0.4,0.5,-0.05466606606312291,-0.040119651822297375,-0.030545827793670488
0.4,0.6,-0.053082198727851915,-0.044844926226150716,-0.0378279172351626
0.4,0.7,-0.051570226630844596,-0.049331300972855596,-0.0452437141606683
0.4,0.8,-0.05114615805475259,-0.06265470617967267,-0.05995678545707811
0.4,0.9,-0.04836903482024507,,-0.09245461220087836
0.5,0.5,-0.06804508206367338,-0.04753919725475858,-0.02893486872796247
0.5,0.6,-0.06711197023997462,-0.048816235607941405,-0.033800248446803516
0.5,0.7,-0.0640081688437204,-0.05012712500280708,-0.03756501689636932
0.5,0.8,-0.061811818338303126,-0.057186108418675385,-0.05298171170627014
0.5,0.9,-0.05636312955354239,,-0.0947267166669632
0.6,0.6,-0.07806033513160243,-0.05562222967237934,-0.030998197000061734
0.6,0.7,-0.07472067461370069,-0.05574119810852851,-0.033826918251792015
0.6,0.8,-0.0723962144044149,-0.058594620716371615,-0.04868931559539841
0.6,0.9,-0.07018815891190328,-0.12800536785921318,-0.08938260575564749
0.7,0.7,-0.09848377471319908,-0.06976032700468171,-0.03991725783995659
0.7,0.8,-0.0988603926558751,-0.0682329658094204,-0.04910994787569861
0.7,0.9,-0.09789734503760689,-0.08749430168062172,-0.08787444782042508
0.8,0.8,-0.16095117683630367,-0.08606329966791387,-0.08509583301174467
0.8,0.9,-0.16892855305196175,-0.09346216804562069,-0.11601256533973414
0.9,0.9,-0.4581369207854922,-0.15851662727620852,-0.33570326704998005
0.01,0.01,0.0012254799210758005,-0.001012311561932544,0.0029982958347594124
0.02,0.02,0.000796379070139297,-0.0028359186554068883,0.002238798101618533
0.03,0.03,0.00014910827306519048,-0.002063701826428621,0.002498937386242406
0.04,0.04,-0.0008260933143759974,-0.0023455341724674117,0.0013335538120723966
0.05,0.05,-0.0020365476236475777,-0.0038567852619590948,0.0010545454799761877
0.06,0.06,-0.00424421000613906,-0.005769274259289858,-0.0006643317590709907
0.07,0.07,-0.005233673790192295,-0.006228847763374901,-0.0008495191205135644
0.08,0.08,-0.004749905590062886,-0.004999520788561473,-0.001635039055927101
0.09,0.09,-0.00736982955917681,-0.005892248410533485,-0.002908330461788289
0.11,0.11,-0.01026812381445752,-0.007758731669785579,-0.004703472482990523
0.12,0.12,-0.009775802407110012,-0.007914797966616316,-0.00389094001112239
