m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.25,9.432016056618942e-10,38.58164675532078,0.032632919456933036,0.17333932128171872
0.1,0.2,0.25,9.432016056618942e-10,38.58164675532078,0.03302828916653108,0.17580226964217033
0.1,0.3,0.25,9.432016056618942e-10,38.58164675532078,0.03320347358061375,0.17216000936818887
0.1,0.4,0.25,9.432016056618942e-10,38.58164675532078,0.03536829021936211,0.1647078004911732
0.1,0.5,0.25,9.432016056618942e-10,38.58164675532078,0.03266442836295441,0.17791783800323274
0.1,0.6,0.25,9.432016056618942e-10,38.58164675532078,0.033654883662285445,0.16846017138774516
0.1,0.7,0.25,9.432016056618942e-10,38.58164675532078,0.03366796763126928,0.1682081927852655
0.1,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.03269424960266441,0.1543515478150381
0.1,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.034567172171403,0.17101939922781814
0.2,0.2,0.25,9.432016056618942e-10,38.58164675532078,0.03406839877014069,0.16381875862597625
0.2,0.3,0.25,9.432016056618942e-10,38.58164675532078,0.033742329633585526,0.15913093614428458
0.2,0.4,0.25,9.432016056618942e-10,38.58164675532078,0.03298098490677117,0.1654475205376195
0.2,0.5,0.25,9.432016056618942e-10,38.58164675532078,0.032555107160573,0.17632097685090764
0.2,0.6,0.25,9.432016056618942e-10,38.58164675532078,0.03275411273327705,0.17253257224972657
0.2,0.7,0.25,9.432016056618942e-10,38.58164675532078,0.03351740338265904,0.17126283195741604
0.2,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.02990127204279649,0.17476961718332598
0.2,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.031439849484858444,0.17430814327342237
0.3,0.3,0.25,9.432016056618942e-10,38.58164675532078,0.03410238101437712,0.16493750270130256
0.3,0.4,0.25,9.432016056618942e-10,38.58164675532078,0.0349146407904077,0.17293675691270122
0.3,0.5,0.25,9.432016056618942e-10,38.58164675532078,0.03159616222187147,0.16626131776166198
0.3,0.6,0.25,9.432016056618942e-10,38.58164675532078,0.033430800256394305,0.16280196912084063
0.3,0.7,0.25,9.432016056618942e-10,38.58164675532078,0.0346870010058677,0.16580593373318517
0.3,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.03424079853499262,0.17115750165900567
0.3,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.0315741562765984,0.16738257104593254
0.4,0.4,0.25,9.432016056618942e-10,38.58164675532078,0.035595030084139875,0.1612500881992126
0.4,0.5,0.25,9.432016056618942e-10,38.58164675532078,0.03246298089799339,0.17251289545405168
0.4,0.6,0.25,9.432016056618942e-10,38.58164675532078,0.029960339004535784,0.15563157572489558
0.4,0.7,0.25,9.432016056618942e-10,38.58164675532078,0.03266257616467419,0.16633427019923686
0.4,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.034273872275834776,0.16273768604793118
0.4,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.03432881388739223,0.16586488245700157
0.5,0.5,0.25,9.432016056618942e-10,38.58164675532078,0.03456937117710156,0.16816418346044804
0.5,0.6,0.25,9.432016056618942e-10,38.58164675532078,0.03076422344018846,0.1585284925024294
0.5,0.7,0.25,9.432016056618942e-10,38.58164675532078,0.035258773272371924,0.17826160487836584
0.5,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.03178745324021092,0.17379226299138495
0.5,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.030966544571940532,0.16948240504624887
0.6,0.6,0.25,9.432016056618942e-10,38.58164675532078,0.03406618794974909,0.16683036913636437
0.6,0.7,0.25,9.432016056618942e-10,38.58164675532078,0.03377690782885485,0.17044747154538903
0.6,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.03387918196303204,0.18078406061704116
0.6,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.034079382615095855,0.17635627070233073
0.7,0.7,0.25,9.432016056618942e-10,38.58164675532078,0.03188393921462772,0.16979261003631638
0.7,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.035000464096039526,0.16306871197648024
0.7,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.03194158759984863,0.17015577459220943
0.8,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.03167850217222548,0.16835029706186844
0.8,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.03367604743562265,0.16010855848693803
0.9,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.03277291876622895,0.16723479672391534
0.01,0.01,0.25,9.432016056618942e-10,38.58164675532078,0.031478030974157405,0.17121040731667064
0.01,0.02,0.25,9.432016056618942e-10,38.58164675532078,0.03406312405399305,0.16968202330428783
0.01,0.03,0.25,9.432016056618942e-10,38.58164675532078,0.033432875864198054,0.1692354891336816
0.01,0.04,0.25,9.432016056618942e-10,38.58164675532078,0.03327362744517353,0.16568629539857274
0.01,0.05,0.25,9.432016056618942e-10,38.58164675532078,0.03071685178882889,0.16793115342238354
0.01,0.06,0.25,9.432016056618942e-10,38.58164675532078,0.0326863785862009,0.17243235686682346
0.01,0.07,0.25,9.432016056618942e-10,38.58164675532078,0.033326928984735146,0.16968795626882444
