m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.27428051868631076,1.0480017840687711e-09,38.58164675532078,0.037106396951143594,0.16829162557407573
0.1,0.2,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.3,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.4,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.5,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.6,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.7,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.8,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.9,,1.0480017840687711e-09,38.58164675532078,,
0.2,0.2,0.30382490118569716,1.1790020070773678e-09,38.58164675532078,0.04929343192857445,0.16986102002329548
0.2,0.3,,1.1790020070773678e-09,38.58164675532078,,
0.2,0.4,,1.1790020070773678e-09,38.58164675532078,,
0.2,0.5,,1.1790020070773678e-09,38.58164675532078,,
0.2,0.6,,1.1790020070773678e-09,38.58164675532078,,
0.2,0.7,,1.1790020070773678e-09,38.58164675532078,,
0.2,0.8,,1.1790020070773678e-09,38.58164675532078,,
0.2,0.9,,1.1790020070773678e-09,38.58164675532078,,
0.3,0.3,0.34057139164247785,1.3474308652312782e-09,38.58164675532078,0.0558639974088438,0.1811141679786231
0.3,0.4,,1.3474308652312782e-09,38.58164675532078,,
0.3,0.5,,1.3474308652312782e-09,38.58164675532078,,
0.3,0.6,,1.3474308652312782e-09,38.58164675532078,,
0.3,0.7,,1.3474308652312782e-09,38.58164675532078,,
0.3,0.8,,1.3474308652312782e-09,38.58164675532078,,
0.3,0.9,,1.3474308652312782e-09,38.58164675532078,,
0.4,0.4,0.38755615891737866,1.572002676103157e-09,38.58164675532078,0.06117156868474342,0.1811242642572901
0.4,0.5,0.0,1.572002676103157e-09,38.58164675532078,,
0.4,0.6,,1.572002676103157e-09,38.58164675532078,,
0.4,0.7,,1.572002676103157e-09,38.58164675532078,,
0.4,0.8,,1.572002676103157e-09,38.58164675532078,,
0.4,0.9,,1.572002676103157e-09,38.58164675532078,,
0.5,0.5,0.44983334064729175,1.8864032113237885e-09,38.58164675532078,0.07530234393757132,0.18971347299479766
0.5,0.6,0.11107280030812314,1.8864032113237885e-09,38.58164675532078,0.1599923876824032,0.7607171417004234
0.5,0.7,,1.8864032113237885e-09,38.58164675532078,,
0.5,0.8,,1.8864032113237885e-09,38.58164675532078,,
0.5,0.9,,1.8864032113237885e-09,38.58164675532078,,
0.6,0.6,0.5365305287244002,2.3580040141547357e-09,38.58164675532078,0.08559774077524238,0.20368658352848495
0.6,0.7,0.0,2.3580040141547357e-09,38.58164675532078,,
0.6,0.8,,2.3580040141547357e-09,38.58164675532078,,
0.6,0.9,,2.3580040141547357e-09,38.58164675532078,,
0.7,0.7,0.6661620289505679,3.144005352206314e-09,38.58164675532078,0.10104927834385385,0.21328690919672702
0.7,0.8,,3.144005352206314e-09,38.58164675532078,,
0.7,0.9,,3.144005352206314e-09,38.58164675532078,,
0.8,0.8,0.8838200526074405,4.716008028309472e-09,38.58164675532078,0.1279588582171821,0.25259707091748357
0.8,0.9,,4.716008028309472e-09,38.58164675532078,,
0.9,0.9,1.3455385537002145,9.432016056618944e-09,38.58164675532078,0.19159847236267996,0.3546882640357362
0.01,0.01,0.252231843108818,9.527288946079735e-10,38.58164675532078,0.03455882677420742,0.1647788566421385
0.01,0.02,,9.527288946079735e-10,38.58164675532078,,
0.01,0.03,,9.527288946079735e-10,38.58164675532078,,
0.01,0.04,,9.527288946079735e-10,38.58164675532078,,
0.01,0.05,,9.527288946079735e-10,38.58164675532078,,
0.01,0.06,,9.527288946079735e-10,38.58164675532078,,
0.01,0.07,,9.527288946079735e-10,38.58164675532078,,
0.01,0.08,,9.527288946079735e-10,38.58164675532078,,
0.01,0.09,,9.527288946079735e-10,38.58164675532078,,
0.02,0.02,0.2545041109790552,9.624506180223408e-10,38.58164675532078,0.03737515525020194,0.17414144387919056
0.02,0.03,,9.624506180223408e-10,38.58164675532078,,
0.02,0.04,,9.624506180223408e-10,38.58164675532078,,
0.02,0.05,,9.624506180223408e-10,38.58164675532078,,
0.02,0.06,,9.624506180223408e-10,38.58164675532078,,
0.02,0.07,,9.624506180223408e-10,38.58164675532078,,
0.02,0.08,,9.624506180223408e-10,38.58164675532078,,
0.02,0.09,,9.624506180223408e-10,38.58164675532078,,
0.03,0.03,0.2568179179810562,9.723727893421588e-10,38.58164675532078,0.03673321842907231,0.17126445514934466
