m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.25,9.432016056618942e-10,38.58164675532078,0.0010573938585187593,0.019466912264731802
0.1,0.2,0.25,9.432016056618942e-10,38.58164675532078,0.0016363924444982292,0.021059504675543933
0.1,0.3,0.25,9.432016056618942e-10,38.58164675532078,0.002240039331864584,0.02365099051652407
0.1,0.4,0.25,9.432016056618942e-10,38.58164675532078,0.0029119366009482035,0.02509280639394658
0.1,0.5,0.25,9.432016056618942e-10,38.58164675532078,0.003828698551427471,0.028710841488027418
0.1,0.6,0.25,9.432016056618942e-10,38.58164675532078,0.004532134774511038,0.03326812920679129
0.1,0.7,0.25,9.432016056618942e-10,38.58164675532078,0.00428210969713235,0.03338328978575174
0.1,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.004590007688286472,0.040028089355631326
0.1,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.005098873791687389,0.0447888258978174
0.2,0.2,0.25,9.432016056618942e-10,38.58164675532078,0.0019173741943395947,0.025214009115902904
0.2,0.3,0.25,9.432016056618942e-10,38.58164675532078,0.0020058974738591463,0.027393151654092243
0.2,0.4,0.25,9.432016056618942e-10,38.58164675532078,0.003230144229335299,0.02552859541546522
0.2,0.5,0.25,9.432016056618942e-10,38.58164675532078,0.003777866049504594,0.03423981111199362
0.2,0.6,0.25,9.432016056618942e-10,38.58164675532078,0.005028160462108051,0.038353925530663066
0.2,0.7,0.25,9.432016056618942e-10,38.58164675532078,0.00554043824608783,0.044184927153056254
0.2,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.004928806856486587,0.043949114728830854
0.2,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.005747495195595333,0.056784536555159956
0.3,0.3,0.25,9.432016056618942e-10,38.58164675532078,0.002805756396542705,0.03157251141547766
0.3,0.4,0.25,9.432016056618942e-10,38.58164675532078,0.0031303556806951843,0.03396873488968672
0.3,0.5,0.25,9.432016056618942e-10,38.58164675532078,0.0046723914586811995,0.04849051246630097
0.3,0.6,0.25,9.432016056618942e-10,38.58164675532078,0.005828649641736607,0.041044877453624486
0.3,0.7,0.25,9.432016056618942e-10,38.58164675532078,0.006474618077428637,0.04876704589482836
0.3,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.007673178359515149,0.05130646335535341
0.3,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.007837934797244867,0.06595181992682293
0.4,0.4,0.25,9.432016056618942e-10,38.58164675532078,0.004162729318808715,0.04227530277461709
0.4,0.5,0.25,9.432016056618942e-10,38.58164675532078,0.004429449509585273,0.04799976645919329
0.4,0.6,0.25,9.432016056618942e-10,38.58164675532078,0.005357196840261703,0.05197874407490999
0.4,0.7,0.25,9.432016056618942e-10,38.58164675532078,0.007391842024817466,0.05642774285569963
0.4,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.009630406746428698,0.06517767950899474
0.4,0.9,0.25,9.432016056618942e-10,38.58164675532078,0.010844111255365016,0.0764711629488669
0.5,0.5,0.25,9.432016056618942e-10,38.58164675532078,0.006482996664056777,0.05874002974369929
0.5,0.6,0.25,9.432016056618942e-10,38.58164675532078,0.007257712090487945,0.07549451173370487
0.5,0.7,0.25,9.432016056618942e-10,38.58164675532078,0.009551360604483819,0.0791529296983005
0.5,0.8,0.25,9.432016056618942e-10,38.58164675532078,0.011154048819981685,0.08449716011227199
