m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.45985805124959506,8.488814450957049e-10,38.58164675532078,0.017874014734324078,0.08578175228811462
0.1,0.2,1.4180370928606563,8.488814450957049e-10,38.58164675532078,0.005742106534911343,0.03125353492426595
0.1,0.3,2.374390515085868,8.488814450957049e-10,38.58164675532078,0.0037028986538456083,
0.1,0.4,3.328751625269407,8.488814450957049e-10,38.58164675532078,0.00240987843364843,
0.1,0.5,4.280929803620162,8.488814450957049e-10,38.58164675532078,0.0018732624592111477,
0.1,0.6,5.230705692735597,8.488814450957049e-10,38.58164675532078,0.001604768467056971,
0.1,0.7,6.177825113937635,8.488814450957049e-10,38.58164675532078,0.0013723857723292809,
0.1,0.8,7.121991283339271,8.488814450957049e-10,38.58164675532078,0.001161063476839047,
0.1,0.9,8.069960856551647,8.488814450957049e-10,38.58164675532078,0.0010234330415862445,
0.2,0.2,0.4180370928606561,7.545612845295155e-10,38.58164675532078,0.01888120130579864,0.10491238783977871
0.2,0.3,0.8743905150858681,7.545612845295155e-10,38.58164675532078,0.009888954373798511,0.04717031378503303
0.2,0.4,1.3287516252694076,7.545612845295155e-10,38.58164675532078,0.005877281632102892,0.035136784760361126
0.2,0.5,1.7809298036201613,7.545612845295155e-10,38.58164675532078,0.00441035202667986,0.024850952391685867
0.2,0.6,2.230705692735597,7.545612845295155e-10,38.58164675532078,0.003666581353928237,
0.2,0.7,2.677825113937636,7.545612845295155e-10,38.58164675532078,0.0032120375071770157,
0.2,0.8,3.1311913858301987,7.545612845295155e-10,38.58164675532078,0.0026266696520090135,
0.2,0.9,4.284565468042477,7.545612845295155e-10,38.58164675532078,0.001982486796741341,
0.3,0.3,0.37439051508586846,6.602411239633259e-10,38.58164675532078,0.02100883729571062,0.11143398001461464
0.3,0.4,0.6620849586027407,6.602411239633259e-10,38.58164675532078,0.01281150818341321,0.06389677669798709
0.3,0.5,0.9475964702868284,6.602411239633259e-10,38.58164675532078,0.008681446939056073,0.045126705591363205
0.3,0.6,1.2307056927355975,6.602411239633259e-10,38.58164675532078,0.006098700482234576,0.03395828967814933
0.3,0.7,1.5192287736285799,6.602411239633259e-10,38.58164675532078,0.00560809186976364,0.028759140623943337
0.3,0.8,1.929887714963421,6.602411239633259e-10,38.58164675532078,0.004073403520086373,0.021354161580622005
0.3,0.9,3.2806469044451063,6.602411239633259e-10,38.58164675532078,0.002597081795768318,
0.4,0.4,0.3287516252694073,5.659209633971366e-10,38.58164675532078,0.026364394950157903,0.13029006115704567
0.4,0.5,0.5309298036201614,5.659209633971366e-10,38.58164675532078,0.015878843439035863,0.07805328975287301
0.4,0.6,0.7354847533049613,5.659209633971366e-10,38.58164675532078,0.01051767086320048,0.05959039163849913
0.4,0.7,0.9724216723792499,5.659209633971366e-10,38.58164675532078,0.008745020764394951,0.0430109611788711
0.4,0.8,1.3625307643525733,5.659209633971366e-10,38.58164675532078,0.0061575980457118365,0.032659092561986326
0.4,0.9,2.7046149070688505,5.659209633971366e-10,38.58164675532078,0.003071314169040576,
0.5,0.5,0.28092980362016146,4.716008028309471e-10,38.58164675532078,0.031108556326895808,0.1575476890664287
0.5,0.6,0.4410405561104139,4.716008028309471e-10,38.58164675532078,0.018267337928271912,0.09523152149135101
0.5,0.7,0.6388931431982581,4.716008028309471e-10,38.58164675532078,0.0131965692838196,0.06438060620945142
0.5,0.8,0.9886300258909754,4.716008028309471e-10,38.58164675532078,0.008599430559799557,0.043809715695156085
0.5,0.9,2.177825113937637,4.716008028309471e-10,38.58164675532078,0.003851622463467194,
0.6,0.6,0.2307056927355977,3.772806422647577e-10,38.58164675532078,0.032714184955922404,0.17840899503711932
0.6,0.7,0.3902683998635958,3.772806422647577e-10,38.58164675532078,0.020692905421017784,0.11449786090287761
0.6,0.8,0.6829925611006017,3.772806422647577e-10,38.58164675532078,0.011378779441207087,0.06663565859195783
0.6,0.9,1.6502978251128062,3.772806422647577e-10,38.58164675532078,0.005033154371764638,0.024659798039833206
0.7,0.7,0.1778251139376357,2.8296048169856833e-10,38.58164675532078,0.04647381154537875,0.23136668518055256
0.7,0.8,0.4152962404726778,2.8296048169856833e-10,38.58164675532078,0.020034533052387105,0.10408744424075064
0.7,0.9,1.1219912833392713,2.8296048169856833e-10,38.58164675532078,0.00731832377420146,0.03836215452010554
0.8,0.8,0.12199128333927091,1.8864032113237884e-10,38.58164675532078,0.06714183459969444,0.3660604930663905
0.8,0.9,0.5928600813128483,1.8864032113237884e-10,38.58164675532078,0.014477089094631154,0.07803415744833427
0.9,0.9,0.06285472347373035,9.432016056618942e-11,38.58164675532078,0.12294234398101878,0.6956463135179081
0.01,0.01,0.49605754532553353,9.337695896052754e-10,38.58164675532078,0.016987874939448033,0.08327357966396795
0.01,0.02,1.4920994861619232,9.337695896052754e-10,38.58164675532078,0.005555755628207024,0.028833128629455175
0.01,0.03,2.488125698490994,9.337695896052754e-10,38.58164675532078,0.003537882798765068,
0.01,0.04,3.4841360568101942,9.337695896052754e-10,38.58164675532078,0.002368894426272476,
0.01,0.05,4.480130434108827,9.337695896052754e-10,38.58164675532078,0.0018260723808354697,
0.01,0.06,5.476108701843772,9.337695896052754e-10,38.58164675532078,0.0014976767487690523,
0.01,0.07,6.472070729914749,9.337695896052754e-10,38.58164675532078,0.0013449166734876882,
0.01,0.08,7.468016386639051,9.337695896052754e-10,38.58164675532078,0.0010622545737415691,
0.01,0.09,8.463945538725794,9.337695896052754e-10,38.58164675532078,0.0009476154867729746,
0.02,0.02,0.4920994861619237,9.243375735486561e-10,38.58164675532078,0.01724998720535727,0.08159399115970309
0.02,0.03,0.9881256984909933,9.243375735486561e-10,38.58164675532078,0.00866340415164619,0.04229060057314244
0.02,0.04,1.484136056810195,9.243375735486561e-10,38.58164675532078,0.005424142562849028,0.02739416140003016
0.02,0.05,1.9801304341088264,9.243375735486561e-10,38.58164675532078,0.0042002950360125624,0.021308592416618623
0.02,0.06,2.476108701843772,9.243375735486561e-10,38.58164675532078,0.0034985291406763254,
0.02,0.07,2.972070729914748,9.243375735486561e-10,38.58164675532078,0.0029009925698385503,
0.02,0.08,3.4680163866390505,9.243375735486561e-10,38.58164675532078,0.0022961705592685604,
0.02,0.09,3.9639455387257905,9.243375735486561e-10,38.58164675532078,0.0020946894393930222,
0.03,0.03,0.48812569849099385,9.14905557492037e-10,38.58164675532078,0.017344166536961622,0.08780928698954735
0.03,0.04,0.8174693901435289,9.14905557492037e-10,38.58164675532078,0.009473282857291992,0.05040064356762139
0.03,0.05,1.1467971007754936,9.14905557492037e-10,38.58164675532078,0.007109056538176247,0.037387332489090326
0.03,0.06,1.476108701843772,9.14905557492037e-10,38.58164675532078,0.005737503981157559,0.029790970097581977
0.03,0.07,1.8054040632480823,9.14905557492037e-10,38.58164675532078,0.004576309320243468,0.02343980955985171
