m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.45985805124959506,8.488814450957049e-10,38.58164675532078,0.0002832009318551424,0.004592998490892191
0.1,0.2,1.4180370928606563,8.488814450957049e-10,38.58164675532078,2.4596132665303662e-05,0.0005696064894228277
0.1,0.3,2.374390515085868,8.488814450957049e-10,38.58164675532078,1.0764384572672109e-05,
0.1,0.4,3.328751625269407,8.488814450957049e-10,38.58164675532078,6.434653735269833e-06,
0.1,0.5,4.280929803620162,8.488814450957049e-10,38.58164675532078,2.917044451353157e-06,
0.1,0.6,5.230705692735597,8.488814450957049e-10,38.58164675532078,2.060305437374595e-06,
0.1,0.7,6.177825113937635,8.488814450957049e-10,38.58164675532078,1.825284351625189e-06,
0.1,0.8,7.121991283339271,8.488814450957049e-10,38.58164675532078,1.0253220816816992e-06,
0.1,0.9,8.069960856551647,8.488814450957049e-10,38.58164675532078,1.036185398794665e-06,
0.2,0.2,0.4180370928606561,7.545612845295155e-10,38.58164675532078,0.00038595292618753406,0.006755609109689145
0.2,0.3,0.8743905150858681,7.545612845295155e-10,38.58164675532078,7.859658878543992e-05,0.0012459923491232132
0.2,0.4,1.3287516252694076,7.545612845295155e-10,38.58164675532078,3.578199972021576e-05,0.0006274732033440136
0.2,0.5,1.7809298036201613,7.545612845295155e-10,38.58164675532078,1.816322247131483e-05,0.0003430683884517296
0.2,0.6,2.230705692735597,7.545612845295155e-10,38.58164675532078,1.1766123303198795e-05,
0.2,0.7,2.677825113937636,7.545612845295155e-10,38.58164675532078,1.1498093549410113e-05,
0.2,0.8,3.1311913858301987,7.545612845295155e-10,38.58164675532078,5.948983120488921e-06,
0.2,0.9,4.284565468042477,7.545612845295155e-10,38.58164675532078,3.7959192023998524e-06,
0.3,0.3,0.37439051508586846,6.602411239633259e-10,38.58164675532078,0.0003786080890532471,0.0074114582559109314
0.3,0.4,0.6620849586027407,6.602411239633259e-10,38.58164675532078,0.0001399647214891151,0.0024523105247480637
0.3,0.5,0.9475964702868284,6.602411239633259e-10,38.58164675532078,6.848677242431145e-05,0.001266548261176636
0.3,0.6,1.2307056927355975,6.602411239633259e-10,38.58164675532078,3.173547851046655e-05,0.0006409543121231797
0.3,0.7,1.5192287736285799,6.602411239633259e-10,38.58164675532078,2.8381158993316998e-05,0.00044714386632103915
0.3,0.8,1.929887714963421,6.602411239633259e-10,38.58164675532078,1.5617506506684583e-05,0.00028552802598393983
0.3,0.9,3.2806469044451063,6.602411239633259e-10,38.58164675532078,7.239617282933139e-06,
0.4,0.4,0.3287516252694073,5.659209633971366e-10,38.58164675532078,0.0006387317497753997,0.009540869484433964
0.4,0.5,0.5309298036201614,5.659209633971366e-10,38.58164675532078,0.00019933209322239682,0.004138307713283387
0.4,0.6,0.7354847533049613,5.659209633971366e-10,38.58164675532078,0.00011596865483419484,0.0019352024782863379
0.4,0.7,0.9724216723792499,5.659209633971366e-10,38.58164675532078,7.380726069095478e-05,0.001038340919560335
0.4,0.8,1.3625307643525733,5.659209633971366e-10,38.58164675532078,3.269424657237621e-05,0.0005494021978045974
0.4,0.9,2.7046149070688505,5.659209633971366e-10,38.58164675532078,7.735883861522376e-06,
0.5,0.5,0.28092980362016146,4.716008028309471e-10,38.58164675532078,0.0009042201101243029,0.013164455244389103
0.5,0.6,0.4410405561104139,4.716008028309471e-10,38.58164675532078,0.000329952894242971,0.005456453045381234
0.5,0.7,0.6388931431982581,4.716008028309471e-10,38.58164675532078,0.00018198437681844542,0.002485792275916622
0.5,0.8,0.9886300258909754,4.716008028309471e-10,38.58164675532078,7.076749823496069e-05,0.0011598838275817128
0.5,0.9,2.177825113937637,4.716008028309471e-10,38.58164675532078,1.2031030013365407e-05,
0.6,0.6,0.2307056927355977,3.772806422647577e-10,38.58164675532078,0.0009451438753194309,0.018829918350601105
0.6,0.7,0.3902683998635958,3.772806422647577e-10,38.58164675532078,0.00044276455846126763,0.007355928663297233
0.6,0.8,0.6829925611006017,3.772806422647577e-10,38.58164675532078,0.00011341412163249547,0.0023924219587648406
0.6,0.9,1.6502978251128062,3.772806422647577e-10,38.58164675532078,2.5004363155488e-05,0.0003602295671658927
0.7,0.7,0.1778251139376357,2.8296048169856833e-10,38.58164675532078,0.0020961854949791588,0.03137259665540469
0.7,0.8,0.4152962404726778,2.8296048169856833e-10,38.58164675532078,0.00033426424607695,0.00566467598151248
0.7,0.9,1.1219912833392713,2.8296048169856833e-10,38.58164675532078,4.420236411203264e-05,0.00092813236277579
0.8,0.8,0.12199128333927091,1.8864032113237884e-10,38.58164675532078,0.004061167687718293,0.07803747206261384
0.8,0.9,0.5928600813128483,1.8864032113237884e-10,38.58164675532078,0.00017983287121317484,0.0035291864400396884
0.9,0.9,0.06285472347373035,9.432016056618942e-11,38.58164675532078,0.014075213709655135,0.27133073246361944
0.01,0.01,0.49605754532553353,9.337695896052754e-10,38.58164675532078,0.0002719748365561424,0.003927764820675698
0.01,0.02,1.4920994861619232,9.337695896052754e-10,38.58164675532078,2.588380178598955e-05,0.0004956413340095979
0.01,0.03,2.488125698490994,9.337695896052754e-10,38.58164675532078,1.290444169774261e-05,
0.01,0.04,3.4841360568101942,9.337695896052754e-10,38.58164675532078,5.80436555196098e-06,
0.01,0.05,4.480130434108827,9.337695896052754e-10,38.58164675532078,2.905449217212247e-06,
0.01,0.06,5.476108701843772,9.337695896052754e-10,38.58164675532078,2.15128098901942e-06,
0.01,0.07,6.472070729914749,9.337695896052754e-10,38.58164675532078,1.3782395767655384e-06,
0.01,0.08,7.468016386639051,9.337695896052754e-10,38.58164675532078,1.1025899460998906e-06,
0.01,0.09,8.463945538725794,9.337695896052754e-10,38.58164675532078,7.332854866313098e-07,
0.02,0.02,0.4920994861619237,9.243375735486561e-10,38.58164675532078,0.0003102566727846413,0.003806203609499393
0.02,0.03,0.9881256984909933,9.243375735486561e-10,38.58164675532078,6.577355541434098e-05,0.0009651829144609113
0.02,0.04,1.484136056810195,9.243375735486561e-10,38.58164675532078,2.5800671916120582e-05,0.00046966002389072593
