m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.5,9.432016056618942e-10,38.58164675532078,0.00023032422468533272,0.0042219417695193
0.1,0.2,0.5,9.432016056618942e-10,38.58164675532078,0.00022564122708520733,0.0039031580078629016
0.1,0.3,0.5,9.432016056618942e-10,38.58164675532078,0.0003085955005245206,0.0039312316751233855
0.1,0.4,0.5,9.432016056618942e-10,38.58164675532078,0.00020654397740483578,0.004056174605180905
0.1,0.5,0.5,9.432016056618942e-10,38.58164675532078,0.0002788367908045732,0.004445877636384032
0.1,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.0002662667295052753,0.004058864509401498
0.1,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.0002781041148466598,0.004195485451170965
0.1,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.00019076742927419656,0.004288981812834443
0.1,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.00024064108779000998,0.0037819115281631107
0.2,0.2,0.5,9.432016056618942e-10,38.58164675532078,0.00022538156920614468,0.0038901891336414435
0.2,0.3,0.5,9.432016056618942e-10,38.58164675532078,0.00020440809420535516,0.004084577660999221
0.2,0.4,0.5,9.432016056618942e-10,38.58164675532078,0.00023806952432322613,0.004199666569579123
0.2,0.5,0.5,9.432016056618942e-10,38.58164675532078,0.00026945680902550246,0.004163825800316366
0.2,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.00028180738884877926,0.003973606924189661
0.2,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.0002582093359956416,0.004530648560964154
0.2,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.00028879760912472785,0.0037200508853182913
0.2,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.00022788680386905688,0.0041191169120508775
0.3,0.3,0.5,9.432016056618942e-10,38.58164675532078,0.00025711751218231903,0.0038947132276011746
0.3,0.4,0.5,9.432016056618942e-10,38.58164675532078,0.00022961961377416214,0.004048655634907452
0.3,0.5,0.5,9.432016056618942e-10,38.58164675532078,0.00033229511608810606,0.004230251555195355
0.3,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.00030966686025817383,0.003972774549457383
0.3,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.0002213709445158625,0.003854690332530757
0.3,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.0002998381930469638,0.004150312890776466
0.3,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.00023282434091787042,0.00399300846596285
0.4,0.4,0.5,9.432016056618942e-10,38.58164675532078,0.0002581419082949898,0.004179835614129831
0.4,0.5,0.5,9.432016056618942e-10,38.58164675532078,0.00026132806871844886,0.004405900426553172
0.4,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.00027516149941848276,0.00397020869692556
0.4,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.000267196899507632,0.004335153382068157
0.4,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.00017953308680522005,0.0036970273238277947
0.4,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.00025637806543915966,0.004379041185352722
0.5,0.5,0.5,9.432016056618942e-10,38.58164675532078,0.00022454377879016832,0.003738160651097348
0.5,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.0002631555135369838,0.003968392208873973
0.5,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.00024522608061670594,0.004086130856630941
0.5,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.00026643947219023514,0.004093792803763678
0.5,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.00023178179386659399,0.003829347605576583
0.6,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.0002763430355177267,0.003805155569108336
0.6,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.00023753472671793682,0.003927235001140544
0.6,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.00023771458370438938,0.004067739865601125
0.6,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.0002882283486838307,0.003904697249698045
0.7,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.00027915179739268313,0.003952979404989969
0.7,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.0002240787843395287,0.004337128651682195
0.7,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.0002622571749046681,0.0046010468076579545
0.8,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.0002616950773941781,0.003926463518044454
0.8,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.00020819517377802484,0.0043773102184623295
0.9,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.0002613416348128577,0.00377003753194434
0.01,0.01,0.5,9.432016056618942e-10,38.58164675532078,0.00027823968470815904,0.004288496282761062
0.01,0.02,0.5,9.432016056618942e-10,38.58164675532078,0.00032180714822276774,0.0044036506827738265
0.01,0.03,0.5,9.432016056618942e-10,38.58164675532078,0.0002438117221843818,0.004202293964763274
