m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.5,9.432016056618942e-10,38.58164675532078,0.02768260103699717,0.09707536247083264
0.1,0.2,0.5,9.432016056618942e-10,38.58164675532078,0.03734107938995889,0.09664727490342359
0.1,0.3,0.5,9.432016056618942e-10,38.58164675532078,0.060327392133560934,0.10833429396147809
0.1,0.4,0.5,9.432016056618942e-10,38.58164675532078,0.08917470629698022,0.12119662727226604
0.1,0.5,0.5,9.432016056618942e-10,38.58164675532078,0.12210310525877213,0.14356869184350832
0.1,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.15538721718875,0.17807892423254482
0.1,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.1899309146986449,0.2051278473038863
0.1,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.22296498926003408,0.23131849460710316
0.1,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.2588694534144287,0.26172155814681575
0.2,0.2,0.5,9.432016056618942e-10,38.58164675532078,0.03735170417517692,0.11289034607965827
0.2,0.3,0.5,9.432016056618942e-10,38.58164675532078,0.04809556785233046,0.11165467904345357
0.2,0.4,0.5,9.432016056618942e-10,38.58164675532078,0.07180652365446791,0.12736634557807422
0.2,0.5,0.5,9.432016056618942e-10,38.58164675532078,0.1015172533437348,0.13349590910035483
0.2,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.1378002071472037,0.15670973276711958
0.2,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.17468906706387338,0.19706715594541954
0.2,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.2163873977118626,0.2350572508181083
0.2,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.253580284371986,0.2632366206196367
0.3,0.3,0.5,9.432016056618942e-10,38.58164675532078,0.04939209901150187,0.11497292546482293
0.3,0.4,0.5,9.432016056618942e-10,38.58164675532078,0.05983467261886244,0.1308033554155318
0.3,0.5,0.5,9.432016056618942e-10,38.58164675532078,0.08362364648911244,0.14947936009080273
0.3,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.11757028458434646,0.15794586439883318
0.3,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.15964627187682043,0.1936074387443005
0.3,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.19973317283797293,0.2305183938161083
0.3,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.25142308227432575,0.26981452975947057
0.4,0.4,0.5,9.432016056618942e-10,38.58164675532078,0.05700380480259513,0.14735694373349453
0.4,0.5,0.5,9.432016056618942e-10,38.58164675532078,0.0701909464726074,0.15974581621199085
0.4,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.09667351909649206,0.16052776705368996
0.4,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.14420271774665447,0.1927021743687874
0.4,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.18201620547387837,0.23379703399411061
0.4,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.24652839903723944,0.2610209770677068
0.5,0.5,0.5,9.432016056618942e-10,38.58164675532078,0.07234163695441138,0.18480654620542247
0.5,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.08922575541387089,0.187109801596222
0.5,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.11851526535860787,0.21734369912272997
0.5,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.1768120119647002,0.2343838882472142
0.5,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.22778740414766754,0.2768979873990301
0.6,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.08904905965543085,0.21010274525897027
0.6,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.10589029698220817,0.23074768332490983
0.6,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.1600096747837203,0.2402051636315904
0.6,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.2223286634421446,0.2874751782013823
0.7,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.11039176872513227,0.3047871547962499
0.7,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.12974317342293978,0.31163723805549826
0.7,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.20916740178115498,0.3545746830738913
0.8,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.14216841242686856,0.41296706210279893
0.8,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.18553792874568684,0.4823659930585293
0.9,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.25462772447916227,0.8490457482451375
0.01,0.01,0.5,9.432016056618942e-10,38.58164675532078,0.01636706884680831,0.08555608921673193
0.01,0.02,0.5,9.432016056618942e-10,38.58164675532078,0.0187571858796952,0.08542337319503975
0.01,0.03,0.5,9.432016056618942e-10,38.58164675532078,0.019843339697215214,0.08306031175316624
0.01,0.04,0.5,9.432016056618942e-10,38.58164675532078,0.019758689466809174,0.08518112887416698
0.01,0.05,0.5,9.432016056618942e-10,38.58164675532078,0.022335830185387196,0.08786250884339554
0.01,0.06,0.5,9.432016056618942e-10,38.58164675532078,0.02166847098637341,0.08953791151025145
0.01,0.07,0.5,9.432016056618942e-10,38.58164675532078,0.023204486129885522,0.08713992003338651
0.01,0.08,0.5,9.432016056618942e-10,38.58164675532078,0.02629541992246121,0.09059217628300911
0.01,0.09,0.5,9.432016056618942e-10,38.58164675532078,0.028497487883211093,0.09190967844402885
0.02,0.02,0.5,9.432016056618942e-10,38.58164675532078,0.01948534392257919,0.08564454819518895
0.02,0.03,0.5,9.432016056618942e-10,38.58164675532078,0.020767790330297815,0.08868674324588731
0.02,0.04,0.5,9.432016056618942e-10,38.58164675532078,0.020169748645277565,0.08878082102941097
0.02,0.05,0.5,9.432016056618942e-10,38.58164675532078,0.02144759035013506,0.09333192593949623
0.02,0.06,0.5,9.432016056618942e-10,38.58164675532078,0.02179746951116185,0.09029309550369388
0.02,0.07,0.5,9.432016056618942e-10,38.58164675532078,0.023101533100180944,0.09293361500447926
0.02,0.08,0.5,9.432016056618942e-10,38.58164675532078,0.026024195644132903,0.08933690716674804
0.02,0.09,0.5,9.432016056618942e-10,38.58164675532078,0.02664700392780422,0.08948878198853218
0.03,0.03,0.5,9.432016056618942e-10,38.58164675532078,0.020788372046316242,0.09054277406668802
0.03,0.04,0.5,9.432016056618942e-10,38.58164675532078,0.021561263117178497,0.09095705460911586
0.03,0.05,0.5,9.432016056618942e-10,38.58164675532078,0.02167474954920148,0.08764408759363089
0.03,0.06,0.5,9.432016056618942e-10,38.58164675532078,0.023226928547208914,0.08524416202382545
0.03,0.07,0.5,9.432016056618942e-10,38.58164675532078,0.024036990316874052,0.08197389569705033
0.03,0.08,0.5,9.432016056618942e-10,38.58164675532078,0.026087332082939726,0.0862616962890947
0.03,0.09,0.5,9.432016056618942e-10,38.58164675532078,0.02743707686699409,0.088618741641222
0.04,0.04,0.5,9.432016056618942e-10,38.58164675532078,0.021794429966551745,0.0918497668291604
0.04,0.05,0.5,9.432016056618942e-10,38.58164675532078,0.022654744488055045,0.08172732873051851
0.04,0.06,0.5,9.432016056618942e-10,38.58164675532078,0.02195746965929078,0.09048993506539318
0.04,0.07,0.5,9.432016056618942e-10,38.58164675532078,0.02497674368443471,0.09035257182745571
0.04,0.08,0.5,9.432016056618942e-10,38.58164675532078,0.022939341127866983,0.08765788522731248
0.04,0.09,0.5,9.432016056618942e-10,38.58164675532078,0.025727271405276197,0.08669266154569634
0.05,0.05,0.5,9.432016056618942e-10,38.58164675532078,0.022792876595538487,0.0905549764183587
0.05,0.06,0.5,9.432016056618942e-10,38.58164675532078,0.022055133402216497,0.08741957780609623
0.05,0.07,0.5,9.432016056618942e-10,38.58164675532078,0.02505687079165682,0.09200231979346572
0.05,0.08,0.5,9.432016056618942e-10,38.58164675532078,0.02355481897808042,0.08748167638637319
0.05,0.09,0.5,9.432016056618942e-10,38.58164675532078,0.02545532045024173,0.08986704557843532
0.06,0.06,0.5,9.432016056618942e-10,38.58164675532078,0.022713885586529103,0.08684153589866565
0.06,0.07,0.5,9.432016056618942e-10,38.58164675532078,0.022716621024730346,0.09286466034241794
0.06,0.08,0.5,9.432016056618942e-10,38.58164675532078,0.023112801552875026,0.0929348077061733
0.06,0.09,0.5,9.432016056618942e-10,38.58164675532078,0.02557396500231691,0.09230455266091968
0.07,0.07,0.5,9.432016056618942e-10,38.58164675532078,0.02551653774656485,0.09626025906830989
0.07,0.08,0.5,9.432016056618942e-10,38.58164675532078,0.02515236417163541,0.08901833476264273
0.07,0.09,0.5,9.432016056618942e-10,38.58164675532078,0.026284941133302438,0.09790760337204361
0.08,0.08,0.5,9.432016056618942e-10,38.58164675532078,0.02630342631189933,0.09302495649094086
