m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,38.58164675532078,-0.012356213302796102,-0.0130691943982481,-0.0133502234733642,-0.006883188080167003,-0.012293684106720802,-0.006358828827610498
0.1,0.2,38.58164675532078,-0.023603969864959898,-0.011374608860825496,,,-0.0302371954929032,-0.04543762523033709
0.1,0.3,38.58164675532078,-0.048804546400033705,-0.029099261911082003,,,-0.0564062851762151,
0.1,0.4,38.58164675532078,-0.0764923345959813,-0.0473097987762164,,,-0.0857311749772519,
0.1,0.5,38.58164675532078,-0.1109156193766964,-0.06856370434224349,,,-0.1200987488406299,
0.1,0.6,38.58164675532078,-0.1443321898345325,-0.10073677488375041,,,-0.1535101059145772,
0.1,0.7,38.58164675532078,-0.1772872687222178,-0.1385100367871583,,,-0.1869375654531826,
0.1,0.8,38.58164675532078,-0.2130412289753628,-0.1683118741141834,,,-0.2233006623090654,
0.1,0.9,38.58164675532078,-0.2476412452282194,-0.2043846086257491,,,-0.2573981156367331,
0.2,0.2,38.58164675532078,-0.0236383823949706,-0.017092233123006596,-0.021512990802639503,-0.0105878181166729,-0.0210789452599238,-0.0085719224022935
0.2,0.3,38.58164675532078,-0.0326006842835634,-0.022114277364007104,-0.0403545743393773,-0.1111393468287064,-0.0361004034210411,-0.0398772062723394
0.2,0.4,38.58164675532078,-0.057979547580108995,-0.044769572543929,,,-0.0629690438905321,-0.071036270846745
0.2,0.5,38.58164675532078,-0.0889682571782677,-0.06568678308540099,,,-0.0962324798395059,-0.1006706643562291
0.2,0.6,38.58164675532078,-0.125579130953048,-0.0848849938409586,,,-0.1333252892562004,
0.2,0.7,38.58164675532078,-0.16155849823324578,-0.12290077746855209,,,-0.1697693341218343,
0.2,0.8,38.58164675532078,-0.20481264386345238,-0.1536767252357188,,,-0.2122509524991287,
