m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,38.58164675532078,-0.00023414446265249998,-0.0007481405471509001,-0.0002890003448544,-0.00023003828643030017,-0.0002238542228731,-0.0004536993080153
0.1,0.2,38.58164675532078,-0.0005509269818887,-0.0008442622955283998,,,-0.0006401904351671812,-0.0022536008427550998
0.1,0.3,38.58164675532078,-0.000965354001575,-0.0020960183607731,,,-0.0010797332683176604,
0.1,0.4,38.58164675532078,-0.0012293667650668263,-0.0028872309217187996,,,-0.0013194449298918024,
0.1,0.5,38.58164675532078,-0.0014101064361466,-0.0042665016100613,,,-0.0015237642553737856,
0.1,0.6,38.58164675532078,-0.0016490341949635,-0.0054171760104319,,,-0.001749208087538043,
0.1,0.7,38.58164675532078,-0.0016369050845933,-0.006956495079182901,,,-0.0017430297097293084,
0.1,0.8,38.58164675532078,-0.0018116850254019001,-0.0072912731336922,,,-0.0019230276529019169,
0.1,0.9,38.58164675532078,-0.002092103136280607,-0.008576414252376801,,,-0.002187634417921556,
0.2,0.2,38.58164675532078,-0.0005575593897029,-0.0010635363871259003,-0.0004940842392072999,-0.0008186374387720002,-0.0005123787460873,-0.00045601818324420007
0.2,0.3,38.58164675532078,-0.0009813900613407,-0.0019462200111031,-0.0014723110638878,-0.0130555243193348,-0.0010444334409258358,-0.0029783747989814
0.2,0.4,38.58164675532078,-0.0016058178318654136,-0.0034057686743707996,,,-0.001656758201231798,-0.0044305576631077
0.2,0.5,38.58164675532078,-0.0019807635984448514,-0.0054011974430541,,,-0.0020582237257470485,-0.0068343911934876005
0.2,0.6,38.58164675532078,-0.0023526226061456,-0.0064626873699678,,,-0.0024531754086116265,
0.2,0.7,38.58164675532078,-0.0024724483372362003,-0.007252897174444,,,-0.0025814732087949457,
0.2,0.8,38.58164675532078,-0.0027059254397054444,-0.007296159268196,,,-0.0027823717777393747,
0.2,0.9,38.58164675532078,-0.002728716041471,-0.0093962340446946,,,-0.002827824279501005,
0.3,0.3,38.58164675532078,-0.0010395974091683001,-0.0026781560039990998,-0.0009951525934309001,-0.0014964564846651001,-0.0009839707384842,-0.0015539607452458998
0.3,0.4,38.58164675532078,-0.001433514141591,-0.0026007783297652,-0.0016971579934408,-0.0042406239487184,-0.0014571164930378391,-0.0028724113510709
0.3,0.5,38.58164675532078,-0.002325080853527534,-0.0051166151846501,-0.006297832817737633,-0.0870088129474798,-0.002367679953124387,-0.0060447937114522
0.3,0.6,38.58164675532078,-0.0032789378274354765,-0.0073050859761511,,,-0.003326147626364067,-0.0084769720017105
0.3,0.7,38.58164675532078,-0.003006482227852,-0.0100894410685205,,,-0.003102937285910263,-0.0115024480644433
0.3,0.8,38.58164675532078,-0.003386535003857722,-0.0118484938786624,,,-0.003460648286526655,
0.3,0.9,38.58164675532078,-0.0036801938793566,-0.013745381001472799,,,-0.0037866101122366234,
0.4,0.4,38.58164675532078,-0.0013408942184802,-0.0045262929129531,-0.0014880591217036,-0.0022238870094731,-0.0011773918727194,-0.0027112188770033
