m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.067878827641591,1.0480017840687711e-09,38.58164675532078,0.00034837821387638946,0.0014102738678343962
0.1,0.2,0.0,1.0480017840687711e-09,38.58164675532078,,
0.1,0.3,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.4,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.5,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.6,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.7,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.8,,1.0480017840687711e-09,38.58164675532078,,
0.1,0.9,,1.0480017840687711e-09,38.58164675532078,,
0.2,0.2,1.146720406193046,1.1790020070773678e-09,38.58164675532078,0.0006083097831567753,0.0016513587308771543
0.2,0.3,0.6558318735740907,1.1790020070773678e-09,38.58164675532078,0.0010751426498449216,0.005089565832341294
0.2,0.4,0.0,1.1790020070773678e-09,38.58164675532078,,
0.2,0.5,,1.1790020070773678e-09,38.58164675532078,,
0.2,0.6,,1.1790020070773678e-09,38.58164675532078,,
0.2,0.7,,1.1790020070773678e-09,38.58164675532078,,
0.2,0.8,,1.1790020070773678e-09,38.58164675532078,,
0.2,0.9,,1.1790020070773678e-09,38.58164675532078,,
0.3,0.3,1.2397322437062515,1.3474308652312782e-09,38.58164675532078,0.001055134423454622,0.0025140411932722635
0.3,0.4,0.9476175694143071,1.3474308652312782e-09,38.58164675532078,0.0015150252969732233,0.004327473266575834
0.3,0.5,0.5828996559875119,1.3474308652312782e-09,38.58164675532078,0.0025203692005812506,0.009389711937957988
0.3,0.6,0.0,1.3474308652312782e-09,38.58164675532078,,
0.3,0.7,,1.3474308652312782e-09,38.58164675532078,,
0.3,0.8,,1.3474308652312782e-09,38.58164675532078,,
0.3,0.9,,1.3474308652312782e-09,38.58164675532078,,
0.4,0.4,1.3516519438896402,1.572002676103157e-09,38.58164675532078,0.0015867849191658176,0.003089279881622852
0.4,0.5,1.1695594588372513,1.572002676103157e-09,38.58164675532078,0.002165644281058633,0.004512690873455841
0.4,0.6,0.939892178874537,1.572002676103157e-09,38.58164675532078,0.0033227333507156805,0.00668291505908296
0.4,0.7,0.5565492766542918,1.572002676103157e-09,38.58164675532078,0.005238648752495406,0.01781357141698197
0.4,0.8,,1.572002676103157e-09,38.58164675532078,,
0.4,0.9,,1.572002676103157e-09,38.58164675532078,,
0.5,0.5,1.4898801256447494,1.8864032113237885e-09,38.58164675532078,0.0024252789979223306,0.003834360395025776
0.5,0.6,1.3619804581563222,1.8864032113237885e-09,38.58164675532078,0.0031043604097793667,0.005557917579466403
0.5,0.7,1.1419580257817248,1.8864032113237885e-09,38.58164675532078,0.0051325796695668915,0.008612305747540126
0.5,0.8,0.5258403076416316,1.8864032113237885e-09,38.58164675532078,0.007977924557943931,0.02873866773167329
0.5,0.9,,1.8864032113237885e-09,38.58164675532078,,
0.6,0.6,1.666896033685178,2.3580040141547357e-09,38.58164675532078,0.003302612375272565,0.005527352510327568
0.6,0.7,1.0,2.3580040141547357e-09,38.58164675532078,0.005002642308432191,0.01275992002416553
0.6,0.8,1.1504947316609875,2.3580040141547357e-09,38.58164675532078,0.007165883963719669,0.012226323707502335
0.6,0.9,,2.3580040141547357e-09,38.58164675532078,,
0.7,0.7,1.9062193738198776,3.144005352206314e-09,38.58164675532078,0.005573468519105866,0.007238956564290385
0.7,0.8,1.6989129250349178,3.144005352206314e-09,38.58164675532078,0.007158910213441548,0.011201633571220882
0.7,0.9,0.0,3.144005352206314e-09,38.58164675532078,,
0.8,0.8,2.260867816817828,4.716008028309472e-09,38.58164675532078,0.007791271340245813,
0.8,0.9,1.672376735673487,4.716008028309472e-09,38.58164675532078,0.01289710444638684,0.02290715708514999
0.9,0.9,2.900477097889386,9.432016056618944e-09,38.58164675532078,0.01702877563841739,
0.01,0.01,1.0063647580360118,9.527288946079735e-10,38.58164675532078,0.00010648369692250456,0.001049557743161517
0.01,0.02,0.0,9.527288946079735e-10,38.58164675532078,,
0.01,0.03,,9.527288946079735e-10,38.58164675532078,,
0.01,0.04,,9.527288946079735e-10,38.58164675532078,,
0.01,0.05,,9.527288946079735e-10,38.58164675532078,,
0.01,0.06,,9.527288946079735e-10,38.58164675532078,,
0.01,0.07,,9.527288946079735e-10,38.58164675532078,,
0.01,0.08,,9.527288946079735e-10,38.58164675532078,,
0.01,0.09,,9.527288946079735e-10,38.58164675532078,,
0.02,0.02,1.0128179179349637,9.624506180223408e-10,38.58164675532078,8.794465406086913e-05,0.0009716538146116747
0.02,0.03,0.5120957045243362,9.624506180223408e-10,38.58164675532078,0.00020930819095970688,0.003819407102397218
0.02,0.04,0.0,9.624506180223408e-10,38.58164675532078,,
0.02,0.05,,9.624506180223408e-10,38.58164675532078,,
0.02,0.06,,9.624506180223408e-10,38.58164675532078,,
0.02,0.07,,9.624506180223408e-10,38.58164675532078,,
0.02,0.08,,9.624506180223408e-10,38.58164675532078,,
0.02,0.09,,9.624506180223408e-10,38.58164675532078,,
0.03,0.03,1.0193614715465262,9.723727893421588e-10,38.58164675532078,0.00011369607002969788,0.001096822733169193
0.03,0.04,0.686738158899096,9.723727893421588e-10,38.58164675532078,0.0001994744527858841,0.0022649311752814794
0.03,0.05,0.34814253462901706,9.723727893421588e-10,38.58164675532078,0.0006030317544958301,0.008293935066125593
0.03,0.06,0.0,9.723727893421588e-10,38.58164675532078,,
0.03,0.07,,9.723727893421588e-10,38.58164675532078,,
0.03,0.08,,9.723727893421588e-10,38.58164675532078,,
0.03,0.09,,9.723727893421588e-10,38.58164675532078,,
0.04,0.04,1.0259974746609668,9.825016725644732e-10,38.58164675532078,0.00011890849046795459,0.0012042559896768982
0.04,0.05,0.777391576303856,9.825016725644732e-10,38.58164675532078,0.0001625726130980164,0.0018399779209083747
0.04,0.06,0.5248048568873214,9.825016725644732e-10,38.58164675532078,0.00030819572347351437,0.0037924649492618884
0.04,0.07,0.2665123141184962,9.825016725644732e-10,38.58164675532078,0.0010274328365691685,0.016197417821814903
0.04,0.08,0.0,9.825016725644732e-10,38.58164675532078,,
0.04,0.09,,9.825016725644732e-10,38.58164675532078,,
0.05,0.05,1.032728049717885,9.92843795433573e-10,38.58164675532078,0.00014583698516146504,0.0011179259678502824
0.05,0.06,0.8345455780119481,9.92843795433573e-10,38.58164675532078,0.0002136198418505685,0.0019486323383018044
0.05,0.07,0.6333964840416372,9.92843795433573e-10,38.58164675532078,0.0003367164660465082,0.0028042132565488475
0.05,0.08,0.42826458295989506,9.92843795433573e-10,38.58164675532078,0.0004352170546367895,0.00574709967910418
0.05,0.09,0.2177689193789693,9.92843795433573e-10,38.58164675532078,0.0016929043964877977,0.024603066786919293
0.06,0.06,1.0395553886588504,1.0034059634701004e-09,38.58164675532078,0.00018681327197303887,0.0012671713159009576
0.06,0.07,0.8750097970523479,1.0034059634701004e-09,38.58164675532078,0.00022486514399530823,0.001549614126331513
0.06,0.08,0.7081075608452777,1.0034059634701004e-09,38.58164675532078,0.0002803125596112011,0.002340534065202853
0.06,0.09,0.5381764644090797,1.0034059634701004e-09,38.58164675532078,0.00035953848417516357,0.004152184438912822
0.07,0.07,1.046481755933204,1.0141952749052624e-09,38.58164675532078,0.00020857978899549854,0.0011472491416268625
0.07,0.08,0.9059849508043543,1.0141952749052624e-09,38.58164675532078,0.00023989032464100395,0.0014586456671096134
0.07,0.09,0.7635375711118023,1.0141952749052624e-09,38.58164675532078,0.0003317890012406401,0.0023975697808920095
0.08,0.08,1.053509491666951,1.0252191365890155e-09,38.58164675532078,0.00027444264067998765,0.0011532617187816154
0.08,0.09,0.9310711951070918,1.0252191365890155e-09,38.58164675532078,0.0002950526012611734,0.001473915801541635
0.09,0.09,1.0606410150054735,1.0364852809471368e-09,38.58164675532078,0.000285114390917156,0.0013773486046446599
0.11,0.11,1.0752255175414156,1.0597770850133643e-09,38.58164675532078,0.0003347100936025124,0.0012944543805718468
0.12,0.12,1.0826837628814319,1.071820006433971e-09,38.58164675532078,0.00036485667289859637,0.0016702208176010108
0.13,0.13,1.0902563362112878,1.084139776622867e-09,38.58164675532078,0.0003832281245314218,0.001489826229630343
0.14,0.14,1.097946108857996,1.096746053095226e-09,38.58164675532078,0.0004076318672519964,0.0015390618913775048
0.15,0.15,1.1057560555884813,1.1096489478375227e-09,38.58164675532078,0.0003992898833658862,0.0014655193945300174
0.16,0.16,1.1136892595488543,1.1228590543593976e-09,38.58164675532078,0.0003979130163518832,0.0015199891451469576
0.17,0.17,1.1217489175003088,1.1363874767010773e-09,38.58164675532078,0.0004244151668054067,0.001603302097746248
