m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.9095647993081502,8.488814450957049e-10,38.58164675532078,0.004077596916494997,0.021286105728456746
0.1,0.2,2.8101304969712415,8.488814450957049e-10,38.58164675532078,0.0029109827998693733,
0.1,0.3,3.699706179357965,8.488814450957049e-10,38.58164675532078,0.002219441974658977,
0.1,0.4,4.575557117651626,8.488814450957049e-10,38.58164675532078,0.0017164349034344895,
0.1,0.5,5.433780830483028,8.488814450957049e-10,38.58164675532078,0.00154738747108847,
0.1,0.6,6.268530136416277,8.488814450957049e-10,38.58164675532078,0.0012882512415879717,
0.1,0.7,7.07045861030067,8.488814450957049e-10,38.58164675532078,0.0011738980964092179,
0.1,0.8,7.823214990557688,8.488814450957049e-10,38.58164675532078,0.001105897589081323,
0.1,0.9,8.68108832519859,8.488814450957049e-10,38.58164675532078,0.0009622688526861651,
0.2,0.2,1.8101304969712413,7.545612845295155e-10,38.58164675532078,0.004449746396125135,0.02413841048320131
0.2,0.3,2.1997061793579644,7.545612845295155e-10,38.58164675532078,0.003533370299164389,
0.2,0.4,2.575557117651626,7.545612845295155e-10,38.58164675532078,0.003104733262645581,
0.2,0.5,2.9337808304830277,7.545612845295155e-10,38.58164675532078,0.002680323402078017,
0.2,0.6,3.268530136416277,7.545612845295155e-10,38.58164675532078,0.002534672234496938,
0.2,0.7,3.575836803801503,7.545612845295155e-10,38.58164675532078,0.002185763368677968,
0.2,0.8,3.9704599551232875,7.545612845295155e-10,38.58164675532078,0.0020619480858024134,
0.2,0.9,5.230080940978918,7.545612845295155e-10,38.58164675532078,0.001551909895457058,
0.3,0.3,1.699706179357965,6.602411239633259e-10,38.58164675532078,0.004679046381411354,0.027058924198783474
0.3,0.4,1.9088904509849591,6.602411239633259e-10,38.58164675532078,0.004473709587320215,0.021541568001410924
0.3,0.5,2.101049174760391,6.602411239633259e-10,38.58164675532078,0.0038551686609221603,
0.3,0.6,2.2850424732827324,6.602411239633259e-10,38.58164675532078,0.0036946998641922872,
0.3,0.7,2.4985990964541287,6.602411239633259e-10,38.58164675532078,0.003358272464573986,
0.3,0.8,2.8771120023427614,6.602411239633259e-10,38.58164675532078,0.0028304140229508477,
0.3,0.9,4.282067215305558,6.602411239633259e-10,38.58164675532078,0.0019324704457877857,
0.4,0.4,1.5755571176516256,5.659209633971366e-10,38.58164675532078,0.004902457827671427,0.027674583571936865
0.4,0.5,1.6946183296263162,5.659209633971366e-10,38.58164675532078,0.00485316926021008,0.02510477315363262
0.4,0.6,1.8136258392169444,5.659209633971366e-10,38.58164675532078,0.004520510734445224,0.022477173766932607
0.4,0.7,1.9790049893762511,5.659209633971366e-10,38.58164675532078,0.0038534919829515102,0.022788952252075716
0.4,0.8,2.3272746158823994,5.659209633971366e-10,38.58164675532078,0.003419274012377059,
0.4,0.9,3.67439041890566,5.659209633971366e-10,38.58164675532078,0.0021288720508074446,
0.5,0.5,1.433780830483027,4.716008028309471e-10,38.58164675532078,0.00557151167201927,0.02888651148819329
0.5,0.6,1.5124860248224745,4.716008028309471e-10,38.58164675532078,0.005083125991065728,0.027053581885023874
0.5,0.7,1.6326197279579056,4.716008028309471e-10,38.58164675532078,0.005328462396527726,0.02608818907164202
0.5,0.8,1.9294518950676753,4.716008028309471e-10,38.58164675532078,0.004405783774593075,0.02275028259999948
0.5,0.9,3.07045861030067,4.716008028309471e-10,38.58164675532078,0.002765209723022551,
0.6,0.6,1.268530136416278,3.772806422647577e-10,38.58164675532078,0.0066041020048900525,0.03361030135975261
0.6,0.7,1.3448557771330518,3.772806422647577e-10,38.58164675532078,0.006280320895797573,0.031276679655084266
0.6,0.8,1.5704586103006695,3.772806422647577e-10,38.58164675532078,0.005136406016682187,0.027580546694825243
0.6,0.9,2.454458592793241,3.772806422647577e-10,38.58164675532078,0.003341816447461696,
0.7,0.7,1.0704586103006692,2.8296048169856833e-10,38.58164675532078,0.0076215981466313705,0.039797039492545705
0.7,0.8,1.204458592793241,2.8296048169856833e-10,38.58164675532078,0.0071560651574516495,0.0359219078580107
0.7,0.9,1.823214990557691,2.8296048169856833e-10,38.58164675532078,0.004257399751105496,0.022865190100465754
0.8,0.8,0.823214990557691,1.8864032113237884e-10,38.58164675532078,0.009916287720179582,0.05343984585907431
0.8,0.9,1.1721065788577625,1.8864032113237884e-10,38.58164675532078,0.007286634928716481,0.03757560206206712
0.9,0.9,0.4940287080441789,9.432016056618942e-11,38.58164675532078,0.017696757494280176,0.0904567765769295
0.01,0.01,1.9913157536841377,9.337695896052754e-10,38.58164675532078,0.0038238159714631195,0.021965165425536667
0.01,0.02,2.982555430077965,9.337695896052754e-10,38.58164675532078,0.002501211747643609,
0.01,0.03,3.9737176844607256,9.337695896052754e-10,38.58164675532078,0.0020797902900961704,
0.01,0.04,4.964801136140165,9.337695896052754e-10,38.58164675532078,0.0017401466360661574,
0.01,0.05,5.955804367157967,9.337695896052754e-10,38.58164675532078,0.0013850024098610732,
0.01,0.06,6.946725920936476,9.337695896052754e-10,38.58164675532078,0.0011723588474127097,
0.01,0.07,7.937564300863371,9.337695896052754e-10,38.58164675532078,0.0010350540369125413,
0.01,0.08,8.928317968810918,9.337695896052754e-10,38.58164675532078,0.0009669827849930215,
0.01,0.09,9.918985343586185,9.337695896052754e-10,38.58164675532078,0.000846637700316748,
0.02,0.02,1.9825554300779649,9.243375735486561e-10,38.58164675532078,0.003909324112897963,0.02208482372662044
0.02,0.03,2.473717684460726,9.243375735486561e-10,38.58164675532078,0.0033781235434811236,
0.02,0.04,2.9648011361401645,9.243375735486561e-10,38.58164675532078,0.0028715332813644776,
0.02,0.05,3.455804367157969,9.243375735486561e-10,38.58164675532078,0.002267660871060144,
0.02,0.06,3.9467259209364793,9.243375735486561e-10,38.58164675532078,0.0020001363472895123,
0.02,0.07,4.437564300863365,9.243375735486561e-10,38.58164675532078,0.0017163709972566892,
