m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.0,9.432016056618942e-10,38.58164675532078,1.5356507814685345e-05,
0.1,0.2,2.0,9.432016056618942e-10,38.58164675532078,2.096282434294755e-05,
0.1,0.3,2.0,9.432016056618942e-10,38.58164675532078,1.521146428080526e-05,
0.1,0.4,2.0,9.432016056618942e-10,38.58164675532078,1.2465269217805057e-05,
0.1,0.5,2.0,9.432016056618942e-10,38.58164675532078,1.6410099225261736e-05,
0.1,0.6,2.0,9.432016056618942e-10,38.58164675532078,1.5723831329498383e-05,
0.1,0.7,2.0,9.432016056618942e-10,38.58164675532078,1.5486095029855113e-05,
0.1,0.8,2.0,9.432016056618942e-10,38.58164675532078,1.528793668487098e-05,
0.1,0.9,2.0,9.432016056618942e-10,38.58164675532078,1.5803893949601174e-05,
0.2,0.2,2.0,9.432016056618942e-10,38.58164675532078,1.914646580461097e-05,
0.2,0.3,2.0,9.432016056618942e-10,38.58164675532078,1.3927709022095354e-05,
0.2,0.4,2.0,9.432016056618942e-10,38.58164675532078,1.7328971635155994e-05,
0.2,0.5,2.0,9.432016056618942e-10,38.58164675532078,1.5982334840093885e-05,
0.2,0.6,2.0,9.432016056618942e-10,38.58164675532078,1.4146698292399823e-05,
0.2,0.7,2.0,9.432016056618942e-10,38.58164675532078,1.9169050829268663e-05,
0.2,0.8,2.0,9.432016056618942e-10,38.58164675532078,1.1769087415309493e-05,
0.2,0.9,2.0,9.432016056618942e-10,38.58164675532078,1.593176627118195e-05,
0.3,0.3,2.0,9.432016056618942e-10,38.58164675532078,1.7122134111797127e-05,
0.3,0.4,2.0,9.432016056618942e-10,38.58164675532078,1.7661513036895467e-05,
0.3,0.5,2.0,9.432016056618942e-10,38.58164675532078,1.4373857027010258e-05,
0.3,0.6,2.0,9.432016056618942e-10,38.58164675532078,1.4804917609528855e-05,
0.3,0.7,2.0,9.432016056618942e-10,38.58164675532078,1.722089403546782e-05,
0.3,0.8,2.0,9.432016056618942e-10,38.58164675532078,1.4183636687546531e-05,
0.3,0.9,2.0,9.432016056618942e-10,38.58164675532078,1.7011344606714123e-05,
0.4,0.4,2.0,9.432016056618942e-10,38.58164675532078,1.4810510339471502e-05,
0.4,0.5,2.0,9.432016056618942e-10,38.58164675532078,1.6793288804528605e-05,
0.4,0.6,2.0,9.432016056618942e-10,38.58164675532078,1.5314478261501873e-05,
0.4,0.7,2.0,9.432016056618942e-10,38.58164675532078,1.6960727443006426e-05,
0.4,0.8,2.0,9.432016056618942e-10,38.58164675532078,1.631631910533197e-05,
0.4,0.9,2.0,9.432016056618942e-10,38.58164675532078,1.551785116312984e-05,
0.5,0.5,2.0,9.432016056618942e-10,38.58164675532078,1.9664835077179502e-05,
0.5,0.6,2.0,9.432016056618942e-10,38.58164675532078,1.3570987140720882e-05,
0.5,0.7,2.0,9.432016056618942e-10,38.58164675532078,1.6227840015518975e-05,
0.5,0.8,2.0,9.432016056618942e-10,38.58164675532078,1.4373257804290939e-05,
0.5,0.9,2.0,9.432016056618942e-10,38.58164675532078,1.7620870225164282e-05,
0.6,0.6,2.0,9.432016056618942e-10,38.58164675532078,1.7068181305398483e-05,
0.6,0.7,2.0,9.432016056618942e-10,38.58164675532078,1.3641860960914797e-05,
0.6,0.8,2.0,9.432016056618942e-10,38.58164675532078,1.1532531025481007e-05,
0.6,0.9,2.0,9.432016056618942e-10,38.58164675532078,1.4030816178352943e-05,
0.7,0.7,2.0,9.432016056618942e-10,38.58164675532078,1.5143261158133992e-05,
