m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.0,9.432016056618942e-10,38.58164675532078,0.02160990699399227,
0.1,0.2,2.0,9.432016056618942e-10,38.58164675532078,0.03309808565281132,
0.1,0.3,2.0,9.432016056618942e-10,38.58164675532078,0.05845578771288646,
0.1,0.4,2.0,9.432016056618942e-10,38.58164675532078,0.08852307249028817,
0.1,0.5,2.0,9.432016056618942e-10,38.58164675532078,0.12153441764786711,
0.1,0.6,2.0,9.432016056618942e-10,38.58164675532078,0.15576503022903126,
0.1,0.7,2.0,9.432016056618942e-10,38.58164675532078,0.18937734225190014,
0.1,0.8,2.0,9.432016056618942e-10,38.58164675532078,0.2234909346210137,
0.1,0.9,2.0,9.432016056618942e-10,38.58164675532078,0.25783882082547566,
0.2,0.2,2.0,9.432016056618942e-10,38.58164675532078,0.03030218234642909,
0.2,0.3,2.0,9.432016056618942e-10,38.58164675532078,0.040388245231290566,
0.2,0.4,2.0,9.432016056618942e-10,38.58164675532078,0.06877054270230068,
0.2,0.5,2.0,9.432016056618942e-10,38.58164675532078,0.10008937256053813,
0.2,0.6,2.0,9.432016056618942e-10,38.58164675532078,0.13683875845242002,
0.2,0.7,2.0,9.432016056618942e-10,38.58164675532078,0.17320146126299096,
0.2,0.8,2.0,9.432016056618942e-10,38.58164675532078,0.21525303130595796,
0.2,0.9,2.0,9.432016056618942e-10,38.58164675532078,0.25381792537309145,
0.3,0.3,2.0,9.432016056618942e-10,38.58164675532078,0.039557627259945743,
0.3,0.4,2.0,9.432016056618942e-10,38.58164675532078,0.049868755886106994,
0.3,0.5,2.0,9.432016056618942e-10,38.58164675532078,0.08101263512635383,
0.3,0.6,2.0,9.432016056618942e-10,38.58164675532078,0.11594485450632662,
0.3,0.7,2.0,9.432016056618942e-10,38.58164675532078,0.15937865682357388,
0.3,0.8,2.0,9.432016056618942e-10,38.58164675532078,0.19986021813496188,
0.3,0.9,2.0,9.432016056618942e-10,38.58164675532078,0.24862405724587858,
0.4,0.4,2.0,9.432016056618942e-10,38.58164675532078,0.049420867386398525,
0.4,0.5,2.0,9.432016056618942e-10,38.58164675532078,0.06307718567106055,
0.4,0.6,2.0,9.432016056618942e-10,38.58164675532078,0.09324534227541276,
0.4,0.7,2.0,9.432016056618942e-10,38.58164675532078,0.14154925429016205,
0.4,0.8,2.0,9.432016056618942e-10,38.58164675532078,0.1857109352212223,
0.4,0.9,2.0,9.432016056618942e-10,38.58164675532078,0.24546283869663058,
0.5,0.5,2.0,9.432016056618942e-10,38.58164675532078,0.06073494919974942,
0.5,0.6,2.0,9.432016056618942e-10,38.58164675532078,0.07967976962485133,
0.5,0.7,2.0,9.432016056618942e-10,38.58164675532078,0.11553717686601295,
0.5,0.8,2.0,9.432016056618942e-10,38.58164675532078,0.17507833591305558,
0.5,0.9,2.0,9.432016056618942e-10,38.58164675532078,0.22975534263571978,
0.6,0.6,2.0,9.432016056618942e-10,38.58164675532078,0.07648112385898322,
0.6,0.7,2.0,9.432016056618942e-10,38.58164675532078,0.09546779592298973,
0.6,0.8,2.0,9.432016056618942e-10,38.58164675532078,0.1536397296505598,
0.6,0.9,2.0,9.432016056618942e-10,38.58164675532078,0.21749594266703873,
0.7,0.7,2.0,9.432016056618942e-10,38.58164675532078,0.08986493179607508,
0.7,0.8,2.0,9.432016056618942e-10,38.58164675532078,0.12086845158946663,
0.7,0.9,2.0,9.432016056618942e-10,38.58164675532078,0.20159835459706024,
0.8,0.8,2.0,9.432016056618942e-10,38.58164675532078,0.11937130577717983,
0.8,0.9,2.0,9.432016056618942e-10,38.58164675532078,0.16148084123977913,
0.9,0.9,2.0,9.432016056618942e-10,38.58164675532078,0.1821768239289919,
0.01,0.01,2.0,9.432016056618942e-10,38.58164675532078,0.007555008114004266,
0.01,0.02,2.0,9.432016056618942e-10,38.58164675532078,0.008288124764121534,
0.01,0.03,2.0,9.432016056618942e-10,38.58164675532078,0.009353405875389256,
0.01,0.04,2.0,9.432016056618942e-10,38.58164675532078,0.011156302725988113,
0.01,0.05,2.0,9.432016056618942e-10,38.58164675532078,0.013257318612247914,
0.01,0.06,2.0,9.432016056618942e-10,38.58164675532078,0.015223623272982736,
0.01,0.07,2.0,9.432016056618942e-10,38.58164675532078,0.01726301339046215,
0.01,0.08,2.0,9.432016056618942e-10,38.58164675532078,0.020511286333073045,
0.01,0.09,2.0,9.432016056618942e-10,38.58164675532078,0.022699108259762298,
0.02,0.02,2.0,9.432016056618942e-10,38.58164675532078,0.01033711513071212,
0.02,0.03,2.0,9.432016056618942e-10,38.58164675532078,0.01055211619318726,
0.02,0.04,2.0,9.432016056618942e-10,38.58164675532078,0.011540440212830433,
0.02,0.05,2.0,9.432016056618942e-10,38.58164675532078,0.012980136154488377,
0.02,0.06,2.0,9.432016056618942e-10,38.58164675532078,0.014886911180159189,
0.02,0.07,2.0,9.432016056618942e-10,38.58164675532078,0.0163315585990475,
0.02,0.08,2.0,9.432016056618942e-10,38.58164675532078,0.01902942596544709,
0.02,0.09,2.0,9.432016056618942e-10,38.58164675532078,0.021524664652847705,
0.03,0.03,2.0,9.432016056618942e-10,38.58164675532078,0.011781016659925897,
0.03,0.04,2.0,9.432016056618942e-10,38.58164675532078,0.012676522714994988,
0.03,0.05,2.0,9.432016056618942e-10,38.58164675532078,0.01333300805914351,
0.03,0.06,2.0,9.432016056618942e-10,38.58164675532078,0.014974909376610156,
0.03,0.07,2.0,9.432016056618942e-10,38.58164675532078,0.016655155212684916,
0.03,0.08,2.0,9.432016056618942e-10,38.58164675532078,0.017836205086238392,
0.03,0.09,2.0,9.432016056618942e-10,38.58164675532078,0.019746258599934195,
0.04,0.04,2.0,9.432016056618942e-10,38.58164675532078,0.01389696245357041,
0.04,0.05,2.0,9.432016056618942e-10,38.58164675532078,0.014499737909924022,
0.04,0.06,2.0,9.432016056618942e-10,38.58164675532078,0.014539603902654206,
0.04,0.07,2.0,9.432016056618942e-10,38.58164675532078,0.0167582373655582,
0.04,0.08,2.0,9.432016056618942e-10,38.58164675532078,0.017308768792431522,
0.04,0.09,2.0,9.432016056618942e-10,38.58164675532078,0.019060946038896007,
0.05,0.05,2.0,9.432016056618942e-10,38.58164675532078,0.014448701426926107,
0.05,0.06,2.0,9.432016056618942e-10,38.58164675532078,0.016056112055387955,
0.05,0.07,2.0,9.432016056618942e-10,38.58164675532078,0.016250354503977747,
0.05,0.08,2.0,9.432016056618942e-10,38.58164675532078,0.017229370381992282,
0.05,0.09,2.0,9.432016056618942e-10,38.58164675532078,0.017812344774136294,
0.06,0.06,2.0,9.432016056618942e-10,38.58164675532078,0.01665048093664788,
0.06,0.07,2.0,9.432016056618942e-10,38.58164675532078,0.016632113628071907,
0.06,0.08,2.0,9.432016056618942e-10,38.58164675532078,0.018092784537197416,
0.06,0.09,2.0,9.432016056618942e-10,38.58164675532078,0.018338512494497947,
0.07,0.07,2.0,9.432016056618942e-10,38.58164675532078,0.017691120290782975,
0.07,0.08,2.0,9.432016056618942e-10,38.58164675532078,0.018804041944527783,
0.07,0.09,2.0,9.432016056618942e-10,38.58164675532078,0.018744164075351007,
0.08,0.08,2.0,9.432016056618942e-10,38.58164675532078,0.019782931173325382,
0.08,0.09,2.0,9.432016056618942e-10,38.58164675532078,0.019414144281911093,
0.09,0.09,2.0,9.432016056618942e-10,38.58164675532078,0.020565862236359096,
0.11,0.11,2.0,9.432016056618942e-10,38.58164675532078,0.022460188824436657,
0.12,0.12,2.0,9.432016056618942e-10,38.58164675532078,0.02392821219240548,
0.13,0.13,2.0,9.432016056618942e-10,38.58164675532078,0.02362251490812048,
0.14,0.14,2.0,9.432016056618942e-10,38.58164675532078,0.02471201953860836,
0.15,0.15,2.0,9.432016056618942e-10,38.58164675532078,0.024511052490539854,
0.16,0.16,2.0,9.432016056618942e-10,38.58164675532078,0.026286828239156193,
0.17,0.17,2.0,9.432016056618942e-10,38.58164675532078,0.026562889454265062,
0.18,0.18,2.0,9.432016056618942e-10,38.58164675532078,0.02698802875704088,
0.19,0.19,2.0,9.432016056618942e-10,38.58164675532078,0.027962927703581428,
0.21,0.21,2.0,9.432016056618942e-10,38.58164675532078,0.0299730386473627,
0.22,0.22,2.0,9.432016056618942e-10,38.58164675532078,0.029643689012377464,
0.23,0.23,2.0,9.432016056618942e-10,38.58164675532078,0.03116728338951745,
0.24,0.24,2.0,9.432016056618942e-10,38.58164675532078,0.032626668689597224,
0.25,0.25,2.0,9.432016056618942e-10,38.58164675532078,0.03326805158436922,
0.26,0.26,2.0,9.432016056618942e-10,38.58164675532078,0.03416382163311474,
0.27,0.27,2.0,9.432016056618942e-10,38.58164675532078,0.03600809771991169,
0.28,0.28,2.0,9.432016056618942e-10,38.58164675532078,0.037882153964359316,
0.29,0.29,2.0,9.432016056618942e-10,38.58164675532078,0.038068514235081834,
0.31,0.31,2.0,9.432016056618942e-10,38.58164675532078,0.04161813467371408,
0.32,0.32,2.0,9.432016056618942e-10,38.58164675532078,0.04237532644110446,
0.33,0.33,2.0,9.432016056618942e-10,38.58164675532078,0.04345970081957869,
0.34,0.34,2.0,9.432016056618942e-10,38.58164675532078,0.04278555467951807,
0.35,0.35,2.0,9.432016056618942e-10,38.58164675532078,0.04590469894681656,
0.36,0.36,2.0,9.432016056618942e-10,38.58164675532078,0.045182714304351154,
0.37,0.37,2.0,9.432016056618942e-10,38.58164675532078,0.04765966880663573,
0.38,0.38,2.0,9.432016056618942e-10,38.58164675532078,0.04593443352165113,
0.39,0.39,2.0,9.432016056618942e-10,38.58164675532078,0.05068576932307957,
0.41,0.41,2.0,9.432016056618942e-10,38.58164675532078,0.051150200208463316,
0.42,0.42,2.0,9.432016056618942e-10,38.58164675532078,0.05408678414497102,
0.43,0.43,2.0,9.432016056618942e-10,38.58164675532078,0.05279988996023499,
0.44,0.44,2.0,9.432016056618942e-10,38.58164675532078,0.05693803597913258,
0.45,0.45,2.0,9.432016056618942e-10,38.58164675532078,0.05696434458578246,
0.46,0.46,2.0,9.432016056618942e-10,38.58164675532078,0.06114552410230968,
0.47,0.47,2.0,9.432016056618942e-10,38.58164675532078,0.06017822843713162,
0.48,0.48,2.0,9.432016056618942e-10,38.58164675532078,0.06440003452854329,
0.49,0.49,2.0,9.432016056618942e-10,38.58164675532078,0.0633915275099327,
0.51,0.51,2.0,9.432016056618942e-10,38.58164675532078,0.06898143973738655,
0.52,0.52,2.0,9.432016056618942e-10,38.58164675532078,0.07156200962153451,
0.53,0.53,2.0,9.432016056618942e-10,38.58164675532078,0.06746715483354039,
0.54,0.54,2.0,9.432016056618942e-10,38.58164675532078,0.06606075286170171,
0.55,0.55,2.0,9.432016056618942e-10,38.58164675532078,0.06849485864504967,
0.56,0.56,2.0,9.432016056618942e-10,38.58164675532078,0.06718294501014802,
0.57,0.57,2.0,9.432016056618942e-10,38.58164675532078,0.07048623186065768,
0.58,0.58,2.0,9.432016056618942e-10,38.58164675532078,0.07139213961947777,
0.59,0.59,2.0,9.432016056618942e-10,38.58164675532078,0.0716626210768865,
0.61,0.61,2.0,9.432016056618942e-10,38.58164675532078,0.07467823852362311,
0.62,0.62,2.0,9.432016056618942e-10,38.58164675532078,0.07804406333923715,
0.63,0.63,2.0,9.432016056618942e-10,38.58164675532078,0.07740969897050853,
0.64,0.64,2.0,9.432016056618942e-10,38.58164675532078,0.07968623048198244,
0.65,0.65,2.0,9.432016056618942e-10,38.58164675532078,0.08158851084867132,
0.66,0.66,2.0,9.432016056618942e-10,38.58164675532078,0.08093358899668479,
0.67,0.67,2.0,9.432016056618942e-10,38.58164675532078,0.08547949663465414,
0.68,0.68,2.0,9.432016056618942e-10,38.58164675532078,0.08347240906804104,
0.69,0.69,2.0,9.432016056618942e-10,38.58164675532078,0.08573088874232127,
0.71,0.71,2.0,9.432016056618942e-10,38.58164675532078,0.08883620147928888,
0.72,0.72,2.0,9.432016056618942e-10,38.58164675532078,0.09394464550980593,
0.73,0.73,2.0,9.432016056618942e-10,38.58164675532078,0.09466102980709092,
0.74,0.74,2.0,9.432016056618942e-10,38.58164675532078,0.10232287290643642,
0.75,0.75,2.0,9.432016056618942e-10,38.58164675532078,0.10144904636965642,
