m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.25,9.432016056618942e-10,40.437455852092995,0.028803457735760502,0.133936795153552
0.1,0.2,0.25,9.432016056618942e-10,40.437455852092995,0.023947119639713122,0.14770472551573802
0.1,0.3,0.25,9.432016056618942e-10,40.437455852092995,0.02835758359535896,0.13998271032847612
0.1,0.4,0.25,9.432016056618942e-10,40.437455852092995,0.027073764532116556,0.14092945155583358
0.1,0.5,0.25,9.432016056618942e-10,40.437455852092995,0.028904333398393774,0.13496865496565624
0.1,0.6,0.25,9.432016056618942e-10,40.437455852092995,0.026427692703094863,0.13461027494448288
0.1,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.028340709921440933,0.13517448725996592
0.1,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.026573368929230425,0.1410340721260289
0.1,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.029548180513666707,0.14614710428430763
0.2,0.2,0.25,9.432016056618942e-10,40.437455852092995,0.027666563439193652,0.13521409990654765
0.2,0.3,0.25,9.432016056618942e-10,40.437455852092995,0.02698980188488642,0.14081587085419967
0.2,0.4,0.25,9.432016056618942e-10,40.437455852092995,0.026194011631290634,0.13455988626617849
0.2,0.5,0.25,9.432016056618942e-10,40.437455852092995,0.027346535182085647,0.14215099600254064
0.2,0.6,0.25,9.432016056618942e-10,40.437455852092995,0.026901538069856387,0.1408086104028231
0.2,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.026992711879722648,0.13424615213075816
0.2,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.02744566561593308,0.14018975747724444
0.2,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.028750361206081806,0.13579319686700503
0.3,0.3,0.25,9.432016056618942e-10,40.437455852092995,0.028355438720480523,0.13334575936048487
0.3,0.4,0.25,9.432016056618942e-10,40.437455852092995,0.027937926423879718,0.14397297248784544
0.3,0.5,0.25,9.432016056618942e-10,40.437455852092995,0.028382986899208505,0.13563934925818313
0.3,0.6,0.25,9.432016056618942e-10,40.437455852092995,0.026054170610539627,0.14073887039945387
0.3,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.0268645760006126,0.1318538301769531
0.3,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.025835577373387295,0.13280452694785605
0.3,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.02704185977623179,0.13622025596765605
0.4,0.4,0.25,9.432016056618942e-10,40.437455852092995,0.028940993322855362,0.13619204816351446
0.4,0.5,0.25,9.432016056618942e-10,40.437455852092995,0.026481817438411197,0.1332270245294455
0.4,0.6,0.25,9.432016056618942e-10,40.437455852092995,0.025319286726927702,0.14859858124771347
0.4,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.027327060521109017,0.14021871598970345
0.4,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.029834393359840974,0.14217477676209558
0.4,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.027322859089400495,0.13474399413422788
0.5,0.5,0.25,9.432016056618942e-10,40.437455852092995,0.02864592652266407,0.14244965998339115
0.5,0.6,0.25,9.432016056618942e-10,40.437455852092995,0.02748316065312558,0.14047381696804587
0.5,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.028194198090911074,0.13271617454604978
0.5,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.029701507130197497,0.1407017742790015
0.5,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.027435350113954315,0.14437852708868573
0.6,0.6,0.25,9.432016056618942e-10,40.437455852092995,0.025771685141324226,0.13877296370335412
0.6,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.02790628246099605,0.14297784028939214
0.6,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.027995264326982083,0.14485435422219864
0.6,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.026749632870480197,0.13615380701150287
0.7,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.026702212920654715,0.1424131344917741
0.7,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.028853083155347632,0.1471208635348078
0.7,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.02673483206547094,0.1338744134320755
0.8,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.029638057110239827,0.1337196871962015
0.8,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.02881736227602849,0.14074692268704023
0.9,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.0268970848939758,0.1375423755981916
0.01,0.01,0.25,9.432016056618942e-10,40.437455852092995,0.026846356275035874,0.1436244561559315
0.01,0.02,0.25,9.432016056618942e-10,40.437455852092995,0.025809762650728714,0.1384134603726492
0.01,0.03,0.25,9.432016056618942e-10,40.437455852092995,0.0260111807797945,0.13979852606545354
0.01,0.04,0.25,9.432016056618942e-10,40.437455852092995,0.02800251704715055,0.1356490742896166
0.01,0.05,0.25,9.432016056618942e-10,40.437455852092995,0.027940124594587088,0.13534106987829195
0.01,0.06,0.25,9.432016056618942e-10,40.437455852092995,0.027385062932456905,0.13990709529744677
0.01,0.07,0.25,9.432016056618942e-10,40.437455852092995,0.025927917720908526,0.14058466690164143
0.01,0.08,0.25,9.432016056618942e-10,40.437455852092995,0.02654962505928161,0.13239587581566042
0.01,0.09,0.25,9.432016056618942e-10,40.437455852092995,0.02688123447658981,0.12937035666817484
0.02,0.02,0.25,9.432016056618942e-10,40.437455852092995,0.026262803134383075,0.1368695931859233
0.02,0.03,0.25,9.432016056618942e-10,40.437455852092995,0.026627617129940873,0.1416187400508079
0.02,0.04,0.25,9.432016056618942e-10,40.437455852092995,0.02760699950960577,0.1366207191544439
0.02,0.05,0.25,9.432016056618942e-10,40.437455852092995,0.02927131830306814,0.14617814281273145
0.02,0.06,0.25,9.432016056618942e-10,40.437455852092995,0.027460010695959113,0.14226235497440698
0.02,0.07,0.25,9.432016056618942e-10,40.437455852092995,0.02668799680884064,0.1317075082103686
0.02,0.08,0.25,9.432016056618942e-10,40.437455852092995,0.02763759680263159,0.13743721978784207
0.02,0.09,0.25,9.432016056618942e-10,40.437455852092995,0.02710224097277961,0.14645551718625205
0.03,0.03,0.25,9.432016056618942e-10,40.437455852092995,0.02776905651815662,0.13744956490924137
0.03,0.04,0.25,9.432016056618942e-10,40.437455852092995,0.026757767260851495,0.13913163051814312
0.03,0.05,0.25,9.432016056618942e-10,40.437455852092995,0.025291868640347232,0.12754825805588232
0.03,0.06,0.25,9.432016056618942e-10,40.437455852092995,0.026458126347345456,0.13173897730087777
0.03,0.07,0.25,9.432016056618942e-10,40.437455852092995,0.027328049470590556,0.13603723313679222
0.03,0.08,0.25,9.432016056618942e-10,40.437455852092995,0.026921902443380448,0.13492703389354957
0.03,0.09,0.25,9.432016056618942e-10,40.437455852092995,0.026643694909549254,0.13926057796373795
0.04,0.04,0.25,9.432016056618942e-10,40.437455852092995,0.02715386468770133,0.1335607513782917
