m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.25,9.432016056618942e-10,40.437455852092995,0.0007101701533259142,0.00973936097117045
0.1,0.2,0.25,9.432016056618942e-10,40.437455852092995,0.00054315016803264,0.013632337581173866
0.1,0.3,0.25,9.432016056618942e-10,40.437455852092995,0.0006933771079507986,0.010934877102956386
0.1,0.4,0.25,9.432016056618942e-10,40.437455852092995,0.0006816846924172234,0.010238828950939173
0.1,0.5,0.25,9.432016056618942e-10,40.437455852092995,0.0007585767674312654,0.010489657813500046
0.1,0.6,0.25,9.432016056618942e-10,40.437455852092995,0.0007876925630819042,0.01126924902805321
0.1,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.0006471381265467876,0.011141758032076026
0.1,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.0005690102250360615,0.010654253619958615
0.1,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.0008384646395381555,0.012162189864452947
0.2,0.2,0.25,9.432016056618942e-10,40.437455852092995,0.0006415469255861623,0.010036150845664298
0.2,0.3,0.25,9.432016056618942e-10,40.437455852092995,0.0006215823378343551,0.01141062941826373
0.2,0.4,0.25,9.432016056618942e-10,40.437455852092995,0.0005063727361359486,0.010147294137485944
0.2,0.5,0.25,9.432016056618942e-10,40.437455852092995,0.0006982648046921569,0.011458630685192935
0.2,0.6,0.25,9.432016056618942e-10,40.437455852092995,0.0006170179084479984,0.011222710792783442
0.2,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.0005242104299284513,0.0103482516772745
0.2,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.0006867255409494569,0.009458471677093922
0.2,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.0007253564426173943,0.01064357511860511
0.3,0.3,0.25,9.432016056618942e-10,40.437455852092995,0.0007408983834031864,0.010495623981234216
0.3,0.4,0.25,9.432016056618942e-10,40.437455852092995,0.0006106285114703493,0.01272909364184392
0.3,0.5,0.25,9.432016056618942e-10,40.437455852092995,0.000710122205259713,0.010924459044978204
0.3,0.6,0.25,9.432016056618942e-10,40.437455852092995,0.0005515580419914227,0.01156670362997208
0.3,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.0006265865276518373,0.009442754237744698
0.3,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.0005607827003562636,0.010922694057243687
0.3,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.0006826265618554312,0.01158784272616122
0.4,0.4,0.25,9.432016056618942e-10,40.437455852092995,0.000688608754964852,0.010510661223084632
0.4,0.5,0.25,9.432016056618942e-10,40.437455852092995,0.0006425244140500804,0.010179135145098658
0.4,0.6,0.25,9.432016056618942e-10,40.437455852092995,0.0005271059178968441,0.011231435675517341
0.4,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.0006410849033958643,0.011525377474707795
0.4,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.0008439415465937491,0.010286878379904918
0.4,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.0005866274706967161,0.010122439525363848
0.5,0.5,0.25,9.432016056618942e-10,40.437455852092995,0.000700718763814245,0.010041796093082686
0.5,0.6,0.25,9.432016056618942e-10,40.437455852092995,0.0005867250864953152,0.010456792391804573
0.5,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.000768266567796178,0.010780717952486083
0.5,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.000826843228000948,0.011417497875745893
0.5,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.000734856916363707,0.013529423948155891
0.6,0.6,0.25,9.432016056618942e-10,40.437455852092995,0.0005931738380485438,0.009733422554205269
0.6,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.0006532870300287308,0.01224089113298417
0.6,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.0006730129522536242,0.012570571848807274
0.6,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.0005586309498248833,0.010564605312363671
0.7,0.7,0.25,9.432016056618942e-10,40.437455852092995,0.0005501376573331941,0.011541287770416292
0.7,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.0007704243256583442,0.010840271302549175
0.7,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.0006686816905707829,0.010392277530690911
0.8,0.8,0.25,9.432016056618942e-10,40.437455852092995,0.000713092240723089,0.010383001810198522
0.8,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.0006646062994618932,0.011696771610753234
0.9,0.9,0.25,9.432016056618942e-10,40.437455852092995,0.0006200201642655425,0.011223483634075536
