m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,40.437455852093,-6.55912659465e-05,-0.0032085949239703,-0.00010032663281819994,-0.0014878374421058004,0.0001506832123707,-0.00014462878551370004
0.1,0.2,40.437455852093,-0.00042899436014899996,-0.0024071621711407015,,,-0.0009391699780222621,-0.0155618931031593
0.1,0.3,40.437455852093,-0.000311020337689,-0.0028111616236758986,,,-0.0009957970397965657,
0.1,0.4,40.437455852093,-0.00041844068266100006,-0.005183430587258399,,,-0.001096480775185887,
0.1,0.5,40.437455852093,-0.0006316948568542,-0.004451059528659301,,,-0.0013880478759981402,
0.1,0.6,40.437455852093,-0.0006508650917361999,-0.0036253767999679994,,,-0.001436961957570874,
0.1,0.7,40.437455852093,-0.0010766173725694,-0.006136001666751899,,,-0.001722705375157823,
0.1,0.8,40.437455852093,-0.000964897137566,-0.008003062994837298,,,-0.0015331957679189986,
0.1,0.9,40.437455852093,-0.0008421077151773,-0.004901944313538699,,,-0.0016799817526782644,
0.2,0.2,40.437455852093,-0.0006905065133812,-0.0074337595097942,-0.0005926299144007,-0.0028063803183880996,-0.0002843611726956999,-0.0017844341288215
0.2,0.3,40.437455852093,-0.0008736682412799,-0.0055827857074746,,,-0.0014003125835025188,-0.0154833150701057
0.2,0.4,40.437455852093,-0.0007215741821841001,-0.008006995333789001,,,-0.0011970661243808727,-0.017689230370205002
0.2,0.5,40.437455852093,-0.0010749653056684,-0.0071966715342059,,,-0.001757715646320492,-0.0184128653049246
0.2,0.6,40.437455852093,-0.0010587109038745,-0.010578359185181,,,-0.0016678127428891689,
0.2,0.7,40.437455852093,-0.0014965778249228,-0.0103151560448316,,,-0.002013319406192094,
0.2,0.8,40.437455852093,-0.0013626978046463,-0.012292346280177299,,,-0.0020450972787436424,
0.2,0.9,40.437455852093,-0.0012795822614034003,-0.0131694641222393,,,-0.0020024751663373984,
0.3,0.3,40.437455852093,-0.0011439705398753,-0.0118417769577105,-0.0004782553029109999,-0.0024028165857371987,-0.0009031148012408,0.0010895196609960987
0.3,0.4,40.437455852093,-0.0012136406007412,-0.013130649631526199,,,-0.0016646604817791,-0.0229851319279577
0.3,0.5,40.437455852093,-0.0016633476113837998,-0.0120062298743842,,,-0.0023061275416605977,-0.0218891717510026
0.3,0.6,40.437455852093,-0.0016444220228418,-0.012636847389355901,,,-0.002166974326866564,-0.0235964186705476
0.3,0.7,40.437455852093,-0.0016865798694378,-0.0169773855088541,,,-0.0022937855606006948,-0.026051301915026397
0.3,0.8,40.437455852093,-0.0024141231951080996,-0.014700127306956199,,,-0.0029612859006631796,-0.02540916962973
0.3,0.9,40.437455852093,-0.0024316489321630002,-0.016257051722847103,,,-0.003109305392392751,
0.4,0.4,40.437455852093,-0.0018495478721415998,-0.019296748539125,-0.0010028920430757999,-0.003581128332908799,-0.0005795203678981998,-0.004391200699713202
0.4,0.5,40.437455852093,-0.0021475285989451002,-0.022293251913481305,,,-0.0025564223030575,-0.028061141993106803
0.4,0.6,40.437455852093,-0.0026412384490800004,-0.0262664700826558,,,-0.0030687126635109974,-0.035531214633851296
0.4,0.7,40.437455852093,-0.0032184358396743,-0.023759183431160597,,,-0.003815462628983452,-0.0342739439533242
0.4,0.8,40.437455852093,-0.0023607269461524,-0.0257056981976004,,,-0.003175992393820199,-0.0355131688224023
0.4,0.9,40.437455852093,-0.0025764558907849,-0.0268514423315108,,,-0.0031574743510837137,
0.5,0.5,40.437455852093,-0.002529477362408,-0.03381431895575,-0.0017271442371895,-0.0056080112138014,-0.0010565685623721002,-0.0060145411550060965
0.5,0.6,40.437455852093,-0.0031784388809812996,-0.0370805455683427,-0.0149010516474729,-0.2190874348645101,-0.0032057907751088,-0.040425956423761296
0.5,0.7,40.437455852093,-0.0043784183165734,-0.0373566104309871,,,-0.0049992004545586,-0.0455071655265343
0.5,0.8,40.437455852093,-0.0034003328600075997,-0.0420708830032043,,,-0.004185233810931454,-0.0525391213417844
0.5,0.9,40.437455852093,-0.0047922784100695,-0.042382681207029,,,-0.005518277822208897,
0.6,0.6,40.437455852093,-0.0064692527466192,-0.0601347177038926,-0.0028772312000689996,-0.006154499150421601,-0.0036767549764974,-0.011643401801365902
0.6,0.7,40.437455852093,-0.0054853410623161005,-0.0731638237491423,,,-0.0057627330751725,-0.0775944143822545
0.6,0.8,40.437455852093,-0.0061865215570615,-0.0712860442019419,,,-0.0067335641167767,-0.0818610468530495
0.6,0.9,40.437455852093,-0.0071932965462944,-0.07292545776364791,,,-0.007736031652777275,-0.08321620462751321
0.7,0.7,40.437455852093,-0.0103702642088395,-0.1112945413730298,-0.0043049655149432,-0.012853554399471199,-0.004353952290128,-0.025274258374946304
0.7,0.8,40.437455852093,-0.012334056028770201,-0.11914816089822809,,,-0.0128450162297944,-0.12422775837509899
0.7,0.9,40.437455852093,-0.010338988575293799,-0.12707722971804591,,,-0.01097671142238058,-0.1367893554146801
0.8,0.8,40.437455852093,-0.018673329709411803,-0.29409073036530436,-0.0073467136731936,-0.016676226058988698,-0.004947434379323401,-0.02838232360473658
0.8,0.9,40.437455852093,-0.0261485839239398,-0.29000595940688256,,,-0.0266755852831447,-0.29876599164989376
0.9,0.9,40.437455852093,-0.0673884761796239,-1.0090507561442048,-0.0147660725952771,-0.0393294855892324,-0.006242746622874405,-0.03313262566232167
0.01,0.01,40.437455852093,2.7690819934299954e-05,-0.0009349826100788997,8.496032175199996e-05,-0.0007299063272094997,-3.215539742070005e-05,-0.00016051110520990015
