m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.45985805124959506,8.488814450957049e-10,40.437455852092995,0.00018773957351045728,0.0034759664181353424
0.1,0.2,1.4180370928606563,8.488814450957049e-10,40.437455852092995,2.1249411804465225e-05,0.00031702772443742
0.1,0.3,2.374390515085868,8.488814450957049e-10,40.437455852092995,6.944861765445431e-06,
0.1,0.4,3.328751625269407,8.488814450957049e-10,40.437455852092995,3.1008767428830055e-06,
0.1,0.5,4.280929803620162,8.488814450957049e-10,40.437455852092995,2.3291220903399954e-06,
0.1,0.6,5.230705692735597,8.488814450957049e-10,40.437455852092995,1.592871486979071e-06,
0.1,0.7,6.177825113937635,8.488814450957049e-10,40.437455852092995,1.1303954521236596e-06,
0.1,0.8,7.121991283339271,8.488814450957049e-10,40.437455852092995,8.135094176488386e-07,
0.1,0.9,8.069960856551647,8.488814450957049e-10,40.437455852092995,6.153601794350415e-07,
0.2,0.2,0.4180370928606561,7.545612845295155e-10,40.437455852092995,0.0002021992704307349,0.004097846683511429
0.2,0.3,0.8743905150858681,7.545612845295155e-10,40.437455852092995,6.769156429276171e-05,0.0008233436934300713
0.2,0.4,1.3287516252694076,7.545612845295155e-10,40.437455852092995,2.4130253015585338e-05,0.000386727093752566
0.2,0.5,1.7809298036201613,7.545612845295155e-10,40.437455852092995,1.4773135507960163e-05,0.00019781496988694649
0.2,0.6,2.230705692735597,7.545612845295155e-10,40.437455852092995,8.736776471288844e-06,
0.2,0.7,2.677825113937636,7.545612845295155e-10,40.437455852092995,5.618931203029042e-06,
0.2,0.8,3.1311913858301987,7.545612845295155e-10,40.437455852092995,4.603939500878771e-06,
0.2,0.9,4.284565468042477,7.545612845295155e-10,40.437455852092995,2.000462713955177e-06,
0.3,0.3,0.37439051508586846,6.602411239633259e-10,40.437455852092995,0.0003598699885983144,0.005803511776423093
0.3,0.4,0.6620849586027407,6.602411239633259e-10,40.437455852092995,0.0001181290853004312,0.0017025159030791305
0.3,0.5,0.9475964702868284,6.602411239633259e-10,40.437455852092995,4.689106307320504e-05,0.0007185999077490498
0.3,0.6,1.2307056927355975,6.602411239633259e-10,40.437455852092995,2.567732318894266e-05,0.000510947447118658
0.3,0.7,1.5192287736285799,6.602411239633259e-10,40.437455852092995,1.8743129973054925e-05,0.0002813537636020614
0.3,0.8,1.929887714963421,6.602411239633259e-10,40.437455852092995,1.1972936297979572e-05,0.00021225802831545277
0.3,0.9,3.2806469044451063,6.602411239633259e-10,40.437455852092995,3.3046423531835413e-06,
0.4,0.4,0.3287516252694073,5.659209633971366e-10,40.437455852092995,0.0003532411438855178,0.005813894235194689
0.4,0.5,0.5309298036201614,5.659209633971366e-10,40.437455852092995,0.00012281558114951173,0.0024385547205762973
0.4,0.6,0.7354847533049613,5.659209633971366e-10,40.437455852092995,7.05068914020839e-05,0.0013777393002369668
0.4,0.7,0.9724216723792499,5.659209633971366e-10,40.437455852092995,4.298983647370401e-05,0.0006649644033120941
0.4,0.8,1.3625307643525733,5.659209633971366e-10,40.437455852092995,2.24807559709348e-05,0.00038218479621139406
0.4,0.9,2.7046149070688505,5.659209633971366e-10,40.437455852092995,5.736973382642366e-06,
0.5,0.5,0.28092980362016146,4.716008028309471e-10,40.437455852092995,0.0005039715111880088,0.009781772292235237
0.5,0.6,0.4410405561104139,4.716008028309471e-10,40.437455852092995,0.00017674916649429047,0.003656216275488669
0.5,0.7,0.6388931431982581,4.716008028309471e-10,40.437455852092995,9.816757461824282e-05,0.00179848737127866
0.5,0.8,0.9886300258909754,4.716008028309471e-10,40.437455852092995,3.791856955974706e-05,0.0006797813003951906
0.5,0.9,2.177825113937637,4.716008028309471e-10,40.437455852092995,7.853722729151437e-06,
0.6,0.6,0.2307056927355977,3.772806422647577e-10,40.437455852092995,0.0006505597274734252,0.013472100879462054
0.6,0.7,0.3902683998635958,3.772806422647577e-10,40.437455852092995,0.00028827230045814904,0.004247973475294722
