m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.5427901194551419,1.0480017840687711e-09,40.437455852093,0.0003197018337178762,0.0032849525980617436
0.1,0.2,,1.0480017840687711e-09,40.437455852093,,
0.1,0.3,,1.0480017840687711e-09,40.437455852093,,
0.1,0.4,,1.0480017840687711e-09,40.437455852093,,
0.1,0.5,,1.0480017840687711e-09,40.437455852093,,
0.1,0.6,,1.0480017840687711e-09,40.437455852093,,
0.1,0.7,,1.0480017840687711e-09,40.437455852093,,
0.1,0.8,,1.0480017840687711e-09,40.437455852093,,
0.1,0.9,,1.0480017840687711e-09,40.437455852093,,
0.2,0.2,0.5938248363839753,1.1790020070773678e-09,40.437455852093,0.0005312266565501107,0.0036529723484559217
0.2,0.3,0.0,1.1790020070773678e-09,40.437455852093,,
0.2,0.4,,1.1790020070773678e-09,40.437455852093,,
0.2,0.5,,1.1790020070773678e-09,40.437455852093,,
0.2,0.6,,1.1790020070773678e-09,40.437455852093,,
0.2,0.7,,1.1790020070773678e-09,40.437455852093,,
0.2,0.8,,1.1790020070773678e-09,40.437455852093,,
0.2,0.9,,1.1790020070773678e-09,40.437455852093,,
0.3,0.3,0.6558318806163518,1.3474308652312782e-09,40.437455852093,0.0009060573520911193,0.003609556329951479
0.3,0.4,0.26410685686598384,1.3474308652312782e-09,40.437455852093,0.0018610051351311968,0.02395110276597706
0.3,0.5,,1.3474308652312782e-09,40.437455852093,,
0.3,0.6,,1.3474308652312782e-09,40.437455852093,,
0.3,0.7,,1.3474308652312782e-09,40.437455852093,,
0.3,0.8,,1.3474308652312782e-09,40.437455852093,,
0.3,0.9,,1.3474308652312782e-09,40.437455852093,,
0.4,0.4,0.7329456680356207,1.572002676103157e-09,40.437455852093,0.0013041182566523957,0.005182915795364702
0.4,0.5,0.44983333408021964,1.572002676103157e-09,40.437455852093,0.0018056664873673219,0.010337817635281809
0.4,0.6,0.0,1.572002676103157e-09,40.437455852093,,
0.4,0.7,,1.572002676103157e-09,40.437455852093,,
0.4,0.8,,1.572002676103157e-09,40.437455852093,,
0.4,0.9,,1.572002676103157e-09,40.437455852093,,
0.5,0.5,0.8317965657511863,1.8864032113237885e-09,40.437455852093,0.002179295747240569,0.005677788348133117
0.5,0.6,0.6059517194651037,1.8864032113237885e-09,40.437455852093,0.002264042018344741,0.008561131582962839
0.5,0.7,0.1797533801464694,1.8864032113237885e-09,40.437455852093,0.00773175878033086,0.08724206484150623
0.5,0.8,,1.8864032113237885e-09,40.437455852093,,
0.5,0.9,,1.8864032113237885e-09,40.437455852093,,
0.6,0.6,0.9638623164485162,2.3580040141547357e-09,40.437455852093,0.0029386288840596896,0.006744348351557652
0.6,0.7,0.7274341065221323,2.3580040141547357e-09,40.437455852093,0.0034046308307823566,0.010740740091473371
0.6,0.8,,2.3580040141547357e-09,40.437455852093,,
0.6,0.9,,2.3580040141547357e-09,40.437455852093,,
0.7,0.7,1.151332572383167,3.144005352206314e-09,40.437455852093,0.004534030754421921,0.009958442462091146
0.7,0.8,0.5,3.144005352206314e-09,40.437455852093,0.006224980038377119,0.033273089312536426
0.7,0.9,,3.144005352206314e-09,40.437455852093,,
0.8,0.8,1.4454134627977873,4.716008028309472e-09,40.437455852093,0.006737916237328593,0.01405268349789016
0.8,0.9,0.0,4.716008028309472e-09,40.437455852093,,
0.9,0.9,2.013196593022799,9.432016056618944e-09,40.437455852093,0.013245522160726851,
0.01,0.01,0.5039665605676084,9.527288946079735e-10,40.437455852093,0.00017908541638169138,0.002658489776342541
0.01,0.02,,9.527288946079735e-10,40.437455852093,,
0.01,0.03,,9.527288946079735e-10,40.437455852093,,
0.01,0.04,,9.527288946079735e-10,40.437455852093,,
0.01,0.05,,9.527288946079735e-10,40.437455852093,,
0.01,0.06,,9.527288946079735e-10,40.437455852093,,
0.01,0.07,,9.527288946079735e-10,40.437455852093,,
0.01,0.08,,9.527288946079735e-10,40.437455852093,,
0.01,0.09,,9.527288946079735e-10,40.437455852093,,
0.02,0.02,0.5079979177547899,9.624506180223408e-10,40.437455852093,0.00019298467445565994,0.002722723819506242
0.02,0.03,0.0,9.624506180223408e-10,40.437455852093,,
0.02,0.04,,9.624506180223408e-10,40.437455852093,,
0.02,0.05,,9.624506180223408e-10,40.437455852093,,
0.02,0.06,,9.624506180223408e-10,40.437455852093,,
0.02,0.07,,9.624506180223408e-10,40.437455852093,,
0.02,0.08,,9.624506180223408e-10,40.437455852093,,
0.02,0.09,,9.624506180223408e-10,40.437455852093,,
0.03,0.03,0.5120957059628882,9.723727893421588e-10,40.437455852093,0.00019557380052577272,0.0028961579064734175
0.03,0.04,0.1730428884236061,9.723727893421588e-10,40.437455852093,0.0015923828585562717,0.0272672812148584
0.03,0.05,,9.723727893421588e-10,40.437455852093,,
0.03,0.06,,9.723727893421588e-10,40.437455852093,,
0.03,0.07,,9.723727893421588e-10,40.437455852093,,
0.03,0.08,,9.723727893421588e-10,40.437455852093,,
0.03,0.09,,9.723727893421588e-10,40.437455852093,,
0.04,0.04,0.5162616161383375,9.825016725644732e-10,40.437455852093,0.00021715529792954347,0.0031267676642538645
0.04,0.05,0.2615748101536632,9.825016725644732e-10,40.437455852093,0.0006661752070000594,0.010376888390721472
0.04,0.06,0.0,9.825016725644732e-10,40.437455852093,,
0.04,0.07,,9.825016725644732e-10,40.437455852093,,
0.04,0.08,,9.825016725644732e-10,40.437455852093,,
0.04,0.09,,9.825016725644732e-10,40.437455852093,,
0.05,0.05,0.5204973982856399,9.92843795433573e-10,40.437455852093,0.0002961450579320498,0.0028072637850425674
0.05,0.06,0.31640816154660273,9.92843795433573e-10,40.437455852093,0.0005540974536617072,0.00823641598581684
0.05,0.07,0.10713723670511006,9.92843795433573e-10,40.437455852093,0.0039019900766985296,0.05961294524588599
0.05,0.08,,9.92843795433573e-10,40.437455852093,,
0.05,0.09,,9.92843795433573e-10,40.437455852093,,
0.06,0.06,0.524804864117896,1.0034059634701004e-09,40.437455852093,0.00027673775207789214,0.002803695862997357
0.06,0.07,0.35444524869283617,1.0034059634701004e-09,40.437455852093,0.00044728842196969416,0.005960483798440785
0.06,0.08,0.1799277590038721,1.0034059634701004e-09,40.437455852093,0.0015899223053590216,0.024424647593808736
0.06,0.09,0.0,1.0034059634701004e-09,40.437455852093,,
0.07,0.07,0.5291858898538833,1.0141952749052624e-09,40.437455852093,0.0002693827480783437,0.0030374354239010187
0.07,0.08,0.3829230968133445,1.0141952749052624e-09,40.437455852093,0.0003897455298377527,0.00572858344523411
0.07,0.09,0.2331823088405454,1.0141952749052624e-09,40.437455852093,0.0009828663284743723,0.015077817005694168
0.08,0.08,0.5336424191713875,1.0252191365890155e-09,40.437455852093,0.00032975665190762945,0.0026902364378858126
