m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.5,9.432016056618942e-10,40.437455852093,0.00033561912515785115,0.0032787810159244065
0.1,0.2,0.5,9.432016056618942e-10,40.437455852093,0.00042758483168594944,0.003685642570770144
0.1,0.3,0.5,9.432016056618942e-10,40.437455852093,0.0005138069792501696,0.004291290976160572
0.1,0.4,0.5,9.432016056618942e-10,40.437455852093,0.0005044259024950816,0.0041319162504242475
0.1,0.5,0.5,9.432016056618942e-10,40.437455852093,0.0005992059501524372,0.004290449007432933
0.1,0.6,0.5,9.432016056618942e-10,40.437455852093,0.0008322732353686275,0.004689175547988976
0.1,0.7,0.5,9.432016056618942e-10,40.437455852093,0.0008292563168606742,0.0050907651576490775
0.1,0.8,0.5,9.432016056618942e-10,40.437455852093,0.0008386278101618027,0.004725829119340755
0.1,0.9,0.5,9.432016056618942e-10,40.437455852093,0.0010490267381408683,0.005842512948886043
0.2,0.2,0.5,9.432016056618942e-10,40.437455852093,0.0006431368228278787,0.005279757880075573
0.2,0.3,0.5,9.432016056618942e-10,40.437455852093,0.0006216181748177722,0.0050737243192664075
0.2,0.4,0.5,9.432016056618942e-10,40.437455852093,0.0008547324315076049,0.005050623701342062
0.2,0.5,0.5,9.432016056618942e-10,40.437455852093,0.000872997583551122,0.0054066314905147845
0.2,0.6,0.5,9.432016056618942e-10,40.437455852093,0.0009274060399408941,0.006811793518893393
0.2,0.7,0.5,9.432016056618942e-10,40.437455852093,0.0010920882245449412,0.005979719760160892
0.2,0.8,0.5,9.432016056618942e-10,40.437455852093,0.001227984309919924,0.006700993011751106
0.2,0.9,0.5,9.432016056618942e-10,40.437455852093,0.0012053965151528887,0.0060765772608461395
0.3,0.3,0.5,9.432016056618942e-10,40.437455852093,0.0009975296054249834,0.00601961957367693
0.3,0.4,0.5,9.432016056618942e-10,40.437455852093,0.0011128050848699595,0.007767062293856497
0.3,0.5,0.5,9.432016056618942e-10,40.437455852093,0.0010186985560300212,0.007321966656673724
0.3,0.6,0.5,9.432016056618942e-10,40.437455852093,0.0011278256056662169,0.007453059628816112
0.3,0.7,0.5,9.432016056618942e-10,40.437455852093,0.001295331514576625,0.008356593489909105
0.3,0.8,0.5,9.432016056618942e-10,40.437455852093,0.0015147019720012673,0.006860109147076012
0.3,0.9,0.5,9.432016056618942e-10,40.437455852093,0.0017108116012079172,0.008521105243054149
