m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,40.437455852093,-0.0109838910151783,-0.00591578393494159,-0.009287416551387899,0.0016839529233506068,-0.009635595613480801,-0.0012648602302339912
0.1,0.2,40.437455852093,-0.013979208396735601,-0.014368016420613403,,,-0.0216639961810078,-0.0588709280525241
0.1,0.3,40.437455852093,-0.0164540924476251,-0.016791812265708306,,,-0.027297054361282803,
0.1,0.4,40.437455852093,-0.0158646336817321,-0.0171416773365798,,,-0.0275756605602267,
0.1,0.5,40.437455852093,-0.019882354366728403,-0.0186107960754094,,,-0.0319635167711398,
0.1,0.6,40.437455852093,-0.024134798607028704,-0.02331579402851619,,,-0.036127707867881706,
0.1,0.7,40.437455852093,-0.0267080716644731,-0.017906313875565988,,,-0.0386715065310945,
0.1,0.8,40.437455852093,-0.026151997571512396,-0.024117032004267305,,,-0.039088386725019394,
0.1,0.9,40.437455852093,-0.031270797313589296,-0.029424812847072795,,,-0.0436724364590673,
0.2,0.2,40.437455852093,-0.0190000895836043,-0.019244427477001405,-0.0183408250994605,-0.008000662509610804,-0.0165006529648599,-0.010376366525506803
0.2,0.3,40.437455852093,-0.0198602577566055,-0.0279871501657952,,,-0.025422881133445596,-0.0546542362089929
0.2,0.4,40.437455852093,-0.022370255114725398,-0.021508485957325907,,,-0.0307624434846068,-0.0674699652127776
0.2,0.5,40.437455852093,-0.026303861304446105,-0.023869795637272,,,-0.0354277369667349,-0.0777332714928757
0.2,0.6,40.437455852093,-0.0249559399965227,-0.031610057944722394,,,-0.0362062902373175,
0.2,0.7,40.437455852093,-0.029950799044405802,-0.0294177974523869,,,-0.0403546710674174,
0.2,0.8,40.437455852093,-0.031070739671833,-0.0363666151122954,,,-0.042854865440462,
0.2,0.9,40.437455852093,-0.0334101490351167,-0.030240615646758798,,,-0.0456029325669928,
0.3,0.3,40.437455852093,-0.025608183204498203,-0.027618609374062006,-0.025515691758467005,-0.005055310481461905,-0.020969876181866902,-0.004242308694186903
0.3,0.4,40.437455852093,-0.0280865775446879,-0.044844073025401596,-0.0375290582962425,-0.1261504176418885,-0.0320324245196844,-0.0603276119449704
0.3,0.5,40.437455852093,-0.0320417873200069,-0.04467039077777231,,,-0.0380222318581395,-0.0783033872472746
0.3,0.6,40.437455852093,-0.0313341095654053,-0.0426273064316119,,,-0.0392054767266148,-0.0822053335226955
0.3,0.7,40.437455852093,-0.0346213526970502,-0.054033874410298,,,-0.0439734775900219,-0.1019824035562849
0.3,0.8,40.437455852093,-0.0345313437581182,-0.0489610839305427,,,-0.045288487222664,-0.09744472317902461
0.3,0.9,40.437455852093,-0.0403374257586164,-0.04946555769859701,,,-0.051078611157769904,
0.4,0.4,40.437455852093,-0.03554957757809,-0.054935545603138514,-0.0322013595153127,-0.02052116217560991,-0.029210021752014,-0.0202016761653407
0.4,0.5,40.437455852093,-0.039322294032955896,-0.0578322217852618,-0.0394532226189528,-0.06775953854763679,-0.0404278388388988,-0.06065915894122201
0.4,0.6,40.437455852093,-0.039105257921706,-0.0581073146286456,,,-0.0446035552079289,-0.07632849419104801
0.4,0.7,40.437455852093,-0.040287858813883096,-0.058780934867862414,,,-0.0481888583432188,-0.09349186744186
0.4,0.8,40.437455852093,-0.0439219374645687,-0.06494098375222569,,,-0.0521283657061565,-0.11146173797667029
0.4,0.9,40.437455852093,-0.0452386156531961,-0.0644216516472445,,,-0.056022316950573,
0.5,0.5,40.437455852093,-0.0483189025275311,-0.0884157926617767,-0.0414490728966047,-0.02903469009656079,-0.0371075247138684,-0.028030785992504303
0.5,0.6,40.437455852093,-0.0456172939822213,-0.0858617147970647,-0.0416678872229956,-0.049064410319730495,-0.0452118271653351,-0.07460007959234001
0.5,0.7,40.437455852093,-0.051251163159702795,-0.0954372462248906,-0.0882076174600908,-0.3260673233486533,-0.052994081579775795,-0.10674740351483629
0.5,0.8,40.437455852093,-0.0518911862912071,-0.08775061441361741,,,-0.0592423126461281,-0.12159980973736481
0.5,0.9,40.437455852093,-0.061541550453491294,-0.09744529663285931,,,-0.0718182623730798,
0.6,0.6,40.437455852093,-0.057066194009054896,-0.11459082553603518,-0.0523780388663955,-0.04135396288519949,-0.041610391243504595,-0.03435612271572269
0.6,0.7,40.437455852093,-0.06432998672974971,-0.1266492961106038,-0.059739573431097405,-0.06331205933154249,-0.059946850182905506,-0.1084003550260586
0.6,0.8,40.437455852093,-0.0680122188637299,-0.13923120704814518,,,-0.07229530715753281,-0.15377715324961677
0.6,0.9,40.437455852093,-0.0701336638195982,-0.1328859230721412,,,-0.07974048160740399,-0.1831960235650811
0.7,0.7,40.437455852093,-0.0846142719048438,-0.168888565193761,-0.0747223071285669,-0.06467399657749309,-0.057755794630571705,-0.029390095946813605
0.7,0.8,40.437455852093,-0.0850537288886196,-0.19687838506188898,-0.0857836299393819,-0.1704719553038983,-0.0825414670490377,-0.18051408678135988
0.7,0.9,40.437455852093,-0.090412667279894,-0.2256317549887389,,,-0.09789849950193219,-0.2643286423795875
0.8,0.8,40.437455852093,-0.11416772216374341,-0.2811239133910145,-0.10065716283931431,-0.09705795740879511,-0.0703083510337837,-0.05079417531643532
0.8,0.9,40.437455852093,-0.1198682848583705,-0.3146669691489759,,,-0.1213450759322944,-0.3229619358883801
0.9,0.9,40.437455852093,-0.19928115250725362,-0.6541278580062688,-0.1367111926296523,,-0.10862987624008132,-0.13349162809256376
