m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.8069717828662295,1.0480017840687711e-09,40.437455852093,0.02041900810604666,0.05108889048106469
0.1,0.2,,1.0480017840687711e-09,40.437455852093,,
0.1,0.3,,1.0480017840687711e-09,40.437455852093,,
0.1,0.4,,1.0480017840687711e-09,40.437455852093,,
0.1,0.5,,1.0480017840687711e-09,40.437455852093,,
0.1,0.6,,1.0480017840687711e-09,40.437455852093,,
0.1,0.7,,1.0480017840687711e-09,40.437455852093,,
0.1,0.8,,1.0480017840687711e-09,40.437455852093,,
0.1,0.9,,1.0480017840687711e-09,40.437455852093,,
0.2,0.2,0.8739050240436923,1.1790020070773678e-09,40.437455852093,0.02708946706229,0.05559651615762198
0.2,0.3,0.34057138791833685,1.1790020070773678e-09,40.437455852093,0.04078215131590869,0.1310819363697604
0.2,0.4,,1.1790020070773678e-09,40.437455852093,,
0.2,0.5,,1.1790020070773678e-09,40.437455852093,,
0.2,0.6,,1.1790020070773678e-09,40.437455852093,,
0.2,0.7,,1.1790020070773678e-09,40.437455852093,,
0.2,0.8,,1.1790020070773678e-09,40.437455852093,,
0.2,0.9,,1.1790020070773678e-09,40.437455852093,,
0.3,0.3,0.9538617424956807,1.3474308652312782e-09,40.437455852093,0.03604180207039616,0.05967530225825608
0.3,0.4,0.6213797386317867,1.3474308652312782e-09,40.437455852093,0.04070925388710867,0.09292553449557105
0.3,0.5,0.16025324151645817,1.3474308652312782e-09,40.437455852093,0.07472007761765258,0.3140866156248962
0.3,0.6,,1.3474308652312782e-09,40.437455852093,,
0.3,0.7,,1.3474308652312782e-09,40.437455852093,,
0.3,0.8,,1.3474308652312782e-09,40.437455852093,,
0.3,0.9,,1.3474308652312782e-09,40.437455852093,,
0.4,0.4,1.051404215356737,1.572002676103157e-09,40.437455852093,0.04502269141785108,0.06719480865480562
0.4,0.5,0.8305754872671981,1.572002676103157e-09,40.437455852093,0.04710758745483872,0.08617401349922782
0.4,0.6,0.5266041229989408,1.572002676103157e-09,40.437455852093,0.05458735649314978,0.12951999965407213
0.4,0.7,,1.572002676103157e-09,40.437455852093,,
0.4,0.8,,1.572002676103157e-09,40.437455852093,,
0.4,0.9,,1.572002676103157e-09,40.437455852093,,
