m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.0,9.432016056618942e-10,40.437455852092995,0.006929953369752624,0.03560553020042069
0.1,0.2,1.0,9.432016056618942e-10,40.437455852092995,0.00713901680407892,0.03365539395570065
0.1,0.3,1.0,9.432016056618942e-10,40.437455852092995,0.006844918480351552,0.03681464446245632
0.1,0.4,1.0,9.432016056618942e-10,40.437455852092995,0.00672238789365646,0.03334150414930947
0.1,0.5,1.0,9.432016056618942e-10,40.437455852092995,0.0069653158463477355,0.03536056467988912
0.1,0.6,1.0,9.432016056618942e-10,40.437455852092995,0.006956843087435871,0.03358333922890416
0.1,0.7,1.0,9.432016056618942e-10,40.437455852092995,0.006868046625108732,0.03442446199088421
0.1,0.8,1.0,9.432016056618942e-10,40.437455852092995,0.0065474979534571815,0.03360128071046336
0.1,0.9,1.0,9.432016056618942e-10,40.437455852092995,0.006866461639560626,0.036603054702104135
0.2,0.2,1.0,9.432016056618942e-10,40.437455852092995,0.006833386955885515,0.03372378434902599
0.2,0.3,1.0,9.432016056618942e-10,40.437455852092995,0.006913589292345833,0.034903334943396445
0.2,0.4,1.0,9.432016056618942e-10,40.437455852092995,0.0069612815986254475,0.03392145490205563
0.2,0.5,1.0,9.432016056618942e-10,40.437455852092995,0.007427931541232155,0.035371572027513794
0.2,0.6,1.0,9.432016056618942e-10,40.437455852092995,0.00682901259461228,0.03634069540064103
0.2,0.7,1.0,9.432016056618942e-10,40.437455852092995,0.00724790222209468,0.031881704069228814
0.2,0.8,1.0,9.432016056618942e-10,40.437455852092995,0.006599132535612327,0.03323660317062217
0.2,0.9,1.0,9.432016056618942e-10,40.437455852092995,0.007118357215559982,0.03359260654047225
0.3,0.3,1.0,9.432016056618942e-10,40.437455852092995,0.006947049041407169,0.033358701265616575
0.3,0.4,1.0,9.432016056618942e-10,40.437455852092995,0.007375718723780451,0.03420366914368471
0.3,0.5,1.0,9.432016056618942e-10,40.437455852092995,0.006923345993150392,0.03443321687470177
0.3,0.6,1.0,9.432016056618942e-10,40.437455852092995,0.006916778055886184,0.03666049132494718
0.3,0.7,1.0,9.432016056618942e-10,40.437455852092995,0.007445860111401586,0.034532164059698243
0.3,0.8,1.0,9.432016056618942e-10,40.437455852092995,0.006998347183694321,0.03256767775552755
0.3,0.9,1.0,9.432016056618942e-10,40.437455852092995,0.007235011818113591,0.0377513490351804
0.4,0.4,1.0,9.432016056618942e-10,40.437455852092995,0.00689951300532708,0.033645175915319216
0.4,0.5,1.0,9.432016056618942e-10,40.437455852092995,0.007051537704794896,0.03488733047013028
0.4,0.6,1.0,9.432016056618942e-10,40.437455852092995,0.006916031970870194,0.0337816485937403
0.4,0.7,1.0,9.432016056618942e-10,40.437455852092995,0.007095267463138896,0.03149070465936089
0.4,0.8,1.0,9.432016056618942e-10,40.437455852092995,0.006417416310325351,0.0338431990579456
0.4,0.9,1.0,9.432016056618942e-10,40.437455852092995,0.007099232036802093,0.033240383354572654
0.5,0.5,1.0,9.432016056618942e-10,40.437455852092995,0.006604507419611323,0.033353892146339374
0.5,0.6,1.0,9.432016056618942e-10,40.437455852092995,0.0070125350779384945,0.03574578947960474
0.5,0.7,1.0,9.432016056618942e-10,40.437455852092995,0.006603211177478542,0.0359120552738229
0.5,0.8,1.0,9.432016056618942e-10,40.437455852092995,0.006546094205949374,0.035053763801497564
0.5,0.9,1.0,9.432016056618942e-10,40.437455852092995,0.007314175538814965,0.03274210940964169
0.6,0.6,1.0,9.432016056618942e-10,40.437455852092995,0.006522986987103863,0.034976739629869615
0.6,0.7,1.0,9.432016056618942e-10,40.437455852092995,0.0068189434426998334,0.035120643876333534
0.6,0.8,1.0,9.432016056618942e-10,40.437455852092995,0.006786803944696999,0.034118390323069375
