m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.9347016640011662,8.488814450957049e-10,40.437455852092995,4.2187265857142325e-05,0.0007903777512983896
0.1,0.2,1.8648397251631903,8.488814450957049e-10,40.437455852092995,1.385098264293793e-05,0.00019088258872340493
0.1,0.3,2.789728043577632,8.488814450957049e-10,40.437455852092995,5.372529951610889e-06,
0.1,0.4,3.708513066862316,8.488814450957049e-10,40.437455852092995,3.058554594799309e-06,
0.1,0.5,4.620114506958276,8.488814450957049e-10,40.437455852092995,2.3463899716654043e-06,
0.1,0.6,5.523137163611585,8.488814450957049e-10,40.437455852092995,1.2617332577779394e-06,
0.1,0.7,6.415735221843628,8.488814450957049e-10,40.437455852092995,8.282753236276686e-07,
0.1,0.8,7.295394529120346,8.488814450957049e-10,40.437455852092995,7.888121684236193e-07,
0.1,0.9,8.195987029498752,8.488814450957049e-10,40.437455852092995,5.742543377520889e-07,
0.2,0.2,0.86483972516319,7.545612845295155e-10,40.437455852092995,6.40877647416166e-05,0.000977850183176127
0.2,0.3,1.289728043577631,7.545612845295155e-10,40.437455852092995,2.003234808337245e-05,0.0004055125447353506
0.2,0.4,1.7085130668623156,7.545612845295155e-10,40.437455852092995,1.0826179697276684e-05,0.00025832720069253023
0.2,0.5,2.1201145069582776,7.545612845295155e-10,40.437455852092995,7.957207145294255e-06,
0.2,0.6,2.5231371636115854,7.545612845295155e-10,40.437455852092995,6.56544015674405e-06,
0.2,0.7,2.915735221843628,7.545612845295155e-10,40.437455852092995,4.408010059483447e-06,
0.2,0.8,3.3359931249441237,7.545612845295155e-10,40.437455852092995,3.8347024241050975e-06,
0.2,0.9,4.536418382828267,7.545612845295155e-10,40.437455852092995,2.5089286247678666e-06,
0.3,0.3,0.7897280435776313,6.602411239633259e-10,40.437455852092995,5.305516161320343e-05,0.0011691201672804894
0.3,0.4,1.0418464001956487,6.602411239633259e-10,40.437455852092995,3.920311586839496e-05,0.0006873535213263585
0.3,0.5,1.2867811736249446,6.602411239633259e-10,40.437455852092995,2.360513615469116e-05,0.0004433670619474068
0.3,0.6,1.5238551221072782,6.602411239633259e-10,40.437455852092995,2.0035425653765046e-05,0.00031902828546617696
0.3,0.7,1.7804540248006582,6.602411239633259e-10,40.437455852092995,1.2260749242764395e-05,0.00022457326024386833
0.3,0.8,2.1802663867405028,6.602411239633259e-10,40.437455852092995,1.0224624205535775e-05,
0.3,0.9,3.555753648618441,6.602411239633259e-10,40.437455852092995,3.1483887131940347e-06,
0.4,0.4,0.7085130668623149,5.659209633971366e-10,40.437455852092995,9.224074965315758e-05,0.0014507615206827973
0.4,0.5,0.8719887568651661,5.659209633971366e-10,40.437455852092995,4.559628583676392e-05,0.0010777579792964156
0.4,0.6,1.040004453643959,5.659209633971366e-10,40.437455852092995,4.174575546418073e-05,0.0005928213478644832
0.4,0.7,1.2474029062976228,5.659209633971366e-10,40.437455852092995,2.8165192028676054e-05,0.0004839355384948031
