m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.067878827641591,1.0480017840687711e-09,40.437455852093,0.01928679297467049,0.040500746459286814
0.1,0.2,0.0,1.0480017840687711e-09,40.437455852093,,
0.1,0.3,,1.0480017840687711e-09,40.437455852093,,
0.1,0.4,,1.0480017840687711e-09,40.437455852093,,
0.1,0.5,,1.0480017840687711e-09,40.437455852093,,
0.1,0.6,,1.0480017840687711e-09,40.437455852093,,
0.1,0.7,,1.0480017840687711e-09,40.437455852093,,
0.1,0.8,,1.0480017840687711e-09,40.437455852093,,
0.1,0.9,,1.0480017840687711e-09,40.437455852093,,
0.2,0.2,1.146720406193046,1.1790020070773678e-09,40.437455852093,0.026950970456549726,0.047826904867792064
0.2,0.3,0.6558318735740907,1.1790020070773678e-09,40.437455852093,0.033746353776505006,0.07451506014964596
0.2,0.4,0.0,1.1790020070773678e-09,40.437455852093,,
0.2,0.5,,1.1790020070773678e-09,40.437455852093,,
0.2,0.6,,1.1790020070773678e-09,40.437455852093,,
0.2,0.7,,1.1790020070773678e-09,40.437455852093,,
0.2,0.8,,1.1790020070773678e-09,40.437455852093,,
0.2,0.9,,1.1790020070773678e-09,40.437455852093,,
0.3,0.3,1.2397322437062515,1.3474308652312782e-09,40.437455852093,0.0362466375831673,0.057033917477283466
0.3,0.4,0.9476175694143071,1.3474308652312782e-09,40.437455852093,0.03873649627735732,0.06304808356589615
0.3,0.5,0.5828996559875119,1.3474308652312782e-09,40.437455852093,0.04387264387612193,0.09222485144758678
0.3,0.6,0.0,1.3474308652312782e-09,40.437455852093,,
0.3,0.7,,1.3474308652312782e-09,40.437455852093,,
0.3,0.8,,1.3474308652312782e-09,40.437455852093,,
0.3,0.9,,1.3474308652312782e-09,40.437455852093,,
0.4,0.4,1.3516519438896402,1.572002676103157e-09,40.437455852093,0.04422832438519012,0.05888064177847022
0.4,0.5,1.1695594588372513,1.572002676103157e-09,40.437455852093,0.04561199213108465,0.06633393955578473
0.4,0.6,0.939892178874537,1.572002676103157e-09,40.437455852093,0.04871179304320121,0.0764299240507444
0.4,0.7,0.5565492766542918,1.572002676103157e-09,40.437455852093,0.05375548966606708,0.11883623805033011
0.4,0.8,,1.572002676103157e-09,40.437455852093,,
0.4,0.9,,1.572002676103157e-09,40.437455852093,,
0.5,0.5,1.4898801256447494,1.8864032113237885e-09,40.437455852093,0.05331608208223176,0.07071752350839486
0.5,0.6,1.3619804581563222,1.8864032113237885e-09,40.437455852093,0.05294887181053102,0.0753581379501716
