m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.067878827641591,1.0480017840687711e-09,40.437455852093,0.00020430173084367626,0.0008972093468130185
0.1,0.2,0.0,1.0480017840687711e-09,40.437455852093,,
0.1,0.3,,1.0480017840687711e-09,40.437455852093,,
0.1,0.4,,1.0480017840687711e-09,40.437455852093,,
0.1,0.5,,1.0480017840687711e-09,40.437455852093,,
0.1,0.6,,1.0480017840687711e-09,40.437455852093,,
0.1,0.7,,1.0480017840687711e-09,40.437455852093,,
0.1,0.8,,1.0480017840687711e-09,40.437455852093,,
0.1,0.9,,1.0480017840687711e-09,40.437455852093,,
0.2,0.2,1.146720406193046,1.1790020070773678e-09,40.437455852093,0.0004533903878586271,0.0012551754805851432
0.2,0.3,0.6558318735740907,1.1790020070773678e-09,40.437455852093,0.000653154085687076,0.0031897189733264076
0.2,0.4,0.0,1.1790020070773678e-09,40.437455852093,,
0.2,0.5,,1.1790020070773678e-09,40.437455852093,,
0.2,0.6,,1.1790020070773678e-09,40.437455852093,,
0.2,0.7,,1.1790020070773678e-09,40.437455852093,,
0.2,0.8,,1.1790020070773678e-09,40.437455852093,,
0.2,0.9,,1.1790020070773678e-09,40.437455852093,,
0.3,0.3,1.2397322437062515,1.3474308652312782e-09,40.437455852093,0.0008125096905597666,0.0018370949934883452
0.3,0.4,0.9476175694143071,1.3474308652312782e-09,40.437455852093,0.0008152270880097163,0.002563543908807348
0.3,0.5,0.5828996559875119,1.3474308652312782e-09,40.437455852093,0.0011152160864016008,0.004788561186623003
0.3,0.6,0.0,1.3474308652312782e-09,40.437455852093,,
0.3,0.7,,1.3474308652312782e-09,40.437455852093,,
0.3,0.8,,1.3474308652312782e-09,40.437455852093,,
0.3,0.9,,1.3474308652312782e-09,40.437455852093,,
0.4,0.4,1.3516519438896402,1.572002676103157e-09,40.437455852093,0.0011723397501901388,0.0022283486670645505
0.4,0.5,1.1695594588372513,1.572002676103157e-09,40.437455852093,0.0013133462191310646,0.002451089755851001
0.4,0.6,0.939892178874537,1.572002676103157e-09,40.437455852093,0.0014079343227410767,0.0036757733925557048
0.4,0.7,0.5565492766542918,1.572002676103157e-09,40.437455852093,0.001595938561493275,0.008375950425054414
0.4,0.8,,1.572002676103157e-09,40.437455852093,,
0.4,0.9,,1.572002676103157e-09,40.437455852093,,
0.5,0.5,1.4898801256447494,1.8864032113237885e-09,40.437455852093,0.001953723020241063,0.0029699105672530133
0.5,0.6,1.3619804581563222,1.8864032113237885e-09,40.437455852093,0.0019390966772435915,0.0030966923528945103
0.5,0.7,1.1419580257817248,1.8864032113237885e-09,40.437455852093,0.002320376571638802,0.004261778739465618
0.5,0.8,0.5258403076416316,1.8864032113237885e-09,40.437455852093,0.002595142843038592,0.012460838912594592
0.5,0.9,,1.8864032113237885e-09,40.437455852093,,
0.6,0.6,1.666896033685178,2.3580040141547357e-09,40.437455852093,0.002824876898978974,0.004030277307288056
0.6,0.7,1.0,2.3580040141547357e-09,40.437455852093,0.003234529773756246,0.006780450889338445
0.6,0.8,1.1504947316609875,2.3580040141547357e-09,40.437455852093,0.003271920120371225,0.006739352322950886
0.6,0.9,,2.3580040141547357e-09,40.437455852093,,
0.7,0.7,1.9062193738198776,3.144005352206314e-09,40.437455852093,0.0041419384935280495,0.005646487957746141
0.7,0.8,1.6989129250349178,3.144005352206314e-09,40.437455852093,0.004293993876161986,0.007244450518576914
0.7,0.9,0.0,3.144005352206314e-09,40.437455852093,,
0.8,0.8,2.260867816817828,4.716008028309472e-09,40.437455852093,0.006485837442013149,
0.8,0.9,1.672376735673487,4.716008028309472e-09,40.437455852093,0.0065488473193840435,0.01427620549838074
0.9,0.9,2.900477097889386,9.432016056618944e-09,40.437455852093,0.013462423813836706,
0.01,0.01,1.0063647580360118,9.527288946079735e-10,40.437455852093,6.927206924697925e-05,0.0006404140807513855
0.01,0.02,0.0,9.527288946079735e-10,40.437455852093,,
0.01,0.03,,9.527288946079735e-10,40.437455852093,,
0.01,0.04,,9.527288946079735e-10,40.437455852093,,
0.01,0.05,,9.527288946079735e-10,40.437455852093,,
0.01,0.06,,9.527288946079735e-10,40.437455852093,,
0.01,0.07,,9.527288946079735e-10,40.437455852093,,
0.01,0.08,,9.527288946079735e-10,40.437455852093,,
0.01,0.09,,9.527288946079735e-10,40.437455852093,,
0.02,0.02,1.0128179179349637,9.624506180223408e-10,40.437455852093,7.508851466791257e-05,0.0006939010384294887
0.02,0.03,0.5120957045243362,9.624506180223408e-10,40.437455852093,0.00018764191114259218,0.0027316928859455964
0.02,0.04,0.0,9.624506180223408e-10,40.437455852093,,
0.02,0.05,,9.624506180223408e-10,40.437455852093,,
0.02,0.06,,9.624506180223408e-10,40.437455852093,,
0.02,0.07,,9.624506180223408e-10,40.437455852093,,
0.02,0.08,,9.624506180223408e-10,40.437455852093,,
0.02,0.09,,9.624506180223408e-10,40.437455852093,,
0.03,0.03,1.0193614715465262,9.723727893421588e-10,40.437455852093,8.821405755572307e-05,0.0008310027640789301
0.03,0.04,0.686738158899096,9.723727893421588e-10,40.437455852093,0.00013065965421413118,0.0017536569196335181
