m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,40.437455852093,-0.0132301450609375,-0.007802160657528701,-0.012356839604917801,-0.0048952162588662,-0.0131618385359848,-0.007871934010921303
0.1,0.2,40.437455852093,-0.014392330316518702,-0.009568823072510897,,,-0.0177824599601905,-0.0249324464655564
0.1,0.3,40.437455852093,-0.0172190210906117,-0.009255576549618394,,,-0.0216943954215639,
0.1,0.4,40.437455852093,-0.020293664692237,-0.0180303214813853,,,-0.0252234839012567,
0.1,0.5,40.437455852093,-0.0236778543496496,-0.013827764755151302,,,-0.0290007473313667,
0.1,0.6,40.437455852093,-0.0256223634455459,-0.019298749963950798,,,-0.0313784247175271,
0.1,0.7,40.437455852093,-0.028236106724112798,-0.020783084982020306,,,-0.0340894682227711,
0.1,0.8,40.437455852093,-0.030189869066555398,-0.020402415247966106,,,-0.0357611416687464,
0.1,0.9,40.437455852093,-0.033593280637329,-0.0218286265143453,,,-0.0396634926695312,
0.2,0.2,40.437455852093,-0.021633481433649,-0.0186213443082493,-0.0201175835006642,-0.014103120518766103,-0.0206158743363486,-0.012649339945077796
0.2,0.3,40.437455852093,-0.024772807160444103,-0.018611794219839203,-0.0268327644841592,-0.039611725206249504,-0.026401388698618203,-0.0261124320425857
0.2,0.4,40.437455852093,-0.025879789803310703,-0.023338913004280197,,,-0.029105074205222202,-0.0361999321547032
0.2,0.5,40.437455852093,-0.0283340541006403,-0.0206687127336252,,,-0.0327663166408441,
0.2,0.6,40.437455852093,-0.029910630045328596,-0.021115240293802302,,,-0.0339859123969998,
0.2,0.7,40.437455852093,-0.0317985113394677,-0.029154589770869203,,,-0.036693139062944,
0.2,0.8,40.437455852093,-0.0361640627626217,-0.028815869381418897,,,-0.040582902313340094,
0.2,0.9,40.437455852093,-0.0368438413744535,-0.031585878310230305,,,-0.0422908568814406,
0.3,0.3,40.437455852093,-0.030595946791989802,-0.027648087090984604,-0.029299588541760197,-0.023675216211666898,-0.0294566357665412,-0.019350952384255604
0.3,0.4,40.437455852093,-0.0320132970290756,-0.0284466363312079,-0.0313607775535769,-0.028844414422211397,-0.0328521357320711,-0.029345034694765598
0.3,0.5,40.437455852093,-0.0341847849728704,-0.03217015228180049,-0.0369492978829716,-0.057791634572885,-0.0355952959006717,-0.039817592395476095
0.3,0.6,40.437455852093,-0.0349632362687145,-0.023408460127798,,,-0.037246418536485096,-0.0361894852987549
0.3,0.7,40.437455852093,-0.0372892638531863,-0.0342346096975115,,,-0.0409086805381973,-0.0489190367860957
0.3,0.8,40.437455852093,-0.0389810372825753,-0.03814953282324061,,,-0.0429389760364716,
0.3,0.9,40.437455852093,-0.0401848831065964,-0.0335440630785511,,,-0.045448709491636305,
0.4,0.4,40.437455852093,-0.0388188019511062,-0.0378708587570686,-0.0373288113798631,-0.025235465863151,-0.035911579875643196,-0.023386895314862308
0.4,0.5,40.437455852093,-0.039457674567483995,-0.037318674264899605,-0.038560454426289796,-0.031446609085654505,-0.0384927826302804,-0.029088366716841806
0.4,0.6,40.437455852093,-0.0428467518952409,-0.0437184061305945,-0.0417957610723311,-0.04264827545700411,-0.042635684726683803,-0.044769485833759996
0.4,0.7,40.437455852093,-0.0430116380539375,-0.05093657558065429,-0.046660222202928196,-0.08734553339096929,-0.044468309156449295,-0.0538046384480567
0.4,0.8,40.437455852093,-0.046178589200104196,-0.04784782644538871,,,-0.0484717479725228,-0.059506971407028
0.4,0.9,40.437455852093,-0.046669005351286395,-0.051433163664509306,,,-0.0512560611306742,
0.5,0.5,40.437455852093,-0.0474727254210036,-0.0543912708314923,-0.0467115746626204,-0.037363631362055505,-0.0430084511258187,-0.029727922428704298
0.5,0.6,40.437455852093,-0.0465301975049146,-0.056438084854957396,-0.0459363367325926,-0.0396123484705669,-0.0440319738337704,-0.0451498565009245
0.5,0.7,40.437455852093,-0.0510472431496079,-0.0607395115940449,-0.0507888812835572,-0.0470388108876351,-0.050543905397022804,-0.0585526675071781
0.5,0.8,40.437455852093,-0.0499562706591572,-0.0570419318890008,-0.0566120633567673,-0.1182297731627229,-0.0509997326903357,-0.0638279655400651
0.5,0.9,40.437455852093,-0.0571358298869567,-0.06942966930953681,,,-0.0615716115134126,
0.6,0.6,40.437455852093,-0.0581515896013857,-0.07166781329182759,-0.0569869437392413,-0.0447503379268099,-0.050943168190148706,-0.04160412274780059
0.6,0.7,40.437455852093,-0.0655796575202146,-0.083133808587847,-0.0639767091667758,-0.0779535131321052,-0.061794624378204495,-0.0674270838055199
0.6,0.8,40.437455852093,-0.0675322743500659,-0.085851933150899,-0.0648861109069787,-0.0726706676838699,-0.0667129142490191,-0.0813867271326504
0.6,0.9,40.437455852093,-0.0688594441118148,-0.0850118018753616,,,-0.0722497637346054,-0.1047050836582822
0.7,0.7,40.437455852093,-0.082442279852147,-0.12206169216469309,-0.0797938017201969,-0.06678686098413239,-0.07139012653091431,-0.07290046355454739
0.7,0.8,40.437455852093,-0.08211805922842441,-0.1116929387327915,-0.0825951448622341,-0.0741296718086963,-0.0773411729618907,-0.0884317985017737
0.7,0.9,40.437455852093,-0.0864212348894266,-0.1101889544401691,,,-0.0879325788654543,-0.11944308010984919
0.8,0.8,40.437455852093,-0.1104629919298148,-0.1719643943260674,-0.1045491448196408,,-0.0939720650611852,-0.0872366563413356
0.8,0.9,40.437455852093,-0.1082456321899867,-0.18613256770464198,-0.1034629263174859,-0.1190940969053564,-0.1051580761712487,-0.172541961870079
0.9,0.9,40.437455852093,-0.1584414553588543,-0.3557119357143489,-0.14227056225830031,,-0.121465144098838,-0.1635757378261653
0.01,0.01,40.437455852093,-0.001775582798252501,-0.002475789605517302,-0.0025189305687334006,-0.0035605018840106986,-0.001945844544136501,-0.0008587793818628023
0.01,0.02,40.437455852093,-0.002519620551432701,-0.00021308438499669652,,,-0.005569259229585901,-0.017517160189038795
0.01,0.03,40.437455852093,-0.0027848169613937995,-0.0040787590440570995,,,-0.0077591005749081,
0.01,0.04,40.437455852093,-0.0027108756374692004,0.0011180486992417027,,,-0.0079915242321833,
0.01,0.05,40.437455852093,-0.0034384604482634003,-0.0010734236230566033,,,-0.0095615580281705,
0.01,0.06,40.437455852093,-0.0046529111799550995,-0.003392306494887601,,,-0.011286666708014498,
0.01,0.07,40.437455852093,-0.005793567052042,-0.0011850433197067994,,,-0.0114727633958753,
0.01,0.08,40.437455852093,-0.0058190858684109,-0.0018575552782226987,,,-0.0115997781444514,
0.01,0.09,40.437455852093,-0.0054538791446426,-0.005302873152160402,,,-0.0117899083561421,
0.02,0.02,40.437455852093,-0.0041289815094947,0.0003176789517393003,-0.0045186155458375,0.003000161323528601,-0.004297413638981,-0.0008134292620714037
0.02,0.03,40.437455852093,-0.004075569658099,-0.0011482489220656991,-0.009446018963084099,-0.03663317318519029,-0.0062318152127326006,-0.011343498550982302
0.02,0.04,40.437455852093,-0.0052503370729714005,-0.0020136533436325016,,,-0.008700652778228301,-0.020020231100118302
0.02,0.05,40.437455852093,-0.0050373038433928,-0.0028989766102544,,,-0.0090178504618094,
0.02,0.06,40.437455852093,-0.0062737912852983005,-0.003697139901713699,,,-0.0103023985193341,
0.02,0.07,40.437455852093,-0.0051896514295012,-0.004877165046478296,,,-0.010546991268256,
0.02,0.08,40.437455852093,-0.005565218175531801,-0.0035056652140837974,,,-0.0105832937317057,
0.02,0.09,40.437455852093,-0.006425978687136899,-0.003825327783927898,,,-0.011980399950383799,
0.03,0.03,40.437455852093,-0.004867997620444299,-0.0013760006578681025,-0.004959710992855099,0.0009161099666673972,-0.005334798354487999,-0.0027106886281990997
0.03,0.04,40.437455852093,-0.0058725543757887,-0.002528725036049201,-0.008074216105838201,-0.0225351120224501,-0.0071487618682551995,-0.0088098399673118
0.03,0.05,40.437455852093,-0.0064853222496972,-0.0047796373667158,-0.0175781168526506,-0.06360405224634309,-0.008611399725968302,-0.020070994267533303
0.03,0.06,40.437455852093,-0.0066146293613246,-0.001845773756758401,,,-0.0095728632550784,-0.019403390562639004
0.03,0.07,40.437455852093,-0.007100775857492,-0.004014294280643295,,,-0.011608989913093299,
