m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.0,9.432016056618942e-10,40.437455852092995,1.1021031513371528e-05,
0.1,0.2,2.0,9.432016056618942e-10,40.437455852092995,1.0429690812248649e-05,
0.1,0.3,2.0,9.432016056618942e-10,40.437455852092995,9.514171687415665e-06,
0.1,0.4,2.0,9.432016056618942e-10,40.437455852092995,7.849809498491375e-06,
0.1,0.5,2.0,9.432016056618942e-10,40.437455852092995,1.2484673930181513e-05,
0.1,0.6,2.0,9.432016056618942e-10,40.437455852092995,1.251253563365143e-05,
0.1,0.7,2.0,9.432016056618942e-10,40.437455852092995,9.220575652399444e-06,
0.1,0.8,2.0,9.432016056618942e-10,40.437455852092995,7.637095304737828e-06,
0.1,0.9,2.0,9.432016056618942e-10,40.437455852092995,1.1543838765231162e-05,
0.2,0.2,2.0,9.432016056618942e-10,40.437455852092995,8.425452531269833e-06,
0.2,0.3,2.0,9.432016056618942e-10,40.437455852092995,7.81672371480393e-06,
0.2,0.4,2.0,9.432016056618942e-10,40.437455852092995,9.06859583956476e-06,
0.2,0.5,2.0,9.432016056618942e-10,40.437455852092995,9.410393762410823e-06,
0.2,0.6,2.0,9.432016056618942e-10,40.437455852092995,9.22093242171425e-06,
0.2,0.7,2.0,9.432016056618942e-10,40.437455852092995,9.298877215892918e-06,
0.2,0.8,2.0,9.432016056618942e-10,40.437455852092995,1.283493452198779e-05,
0.2,0.9,2.0,9.432016056618942e-10,40.437455852092995,1.0219181931893136e-05,
0.3,0.3,2.0,9.432016056618942e-10,40.437455852092995,1.2834014313470893e-05,
0.3,0.4,2.0,9.432016056618942e-10,40.437455852092995,9.093565423788449e-06,
0.3,0.5,2.0,9.432016056618942e-10,40.437455852092995,8.910897246816258e-06,
0.3,0.6,2.0,9.432016056618942e-10,40.437455852092995,9.073666975870212e-06,
0.3,0.7,2.0,9.432016056618942e-10,40.437455852092995,9.955982259321512e-06,
0.3,0.8,2.0,9.432016056618942e-10,40.437455852092995,9.760328134690504e-06,
0.3,0.9,2.0,9.432016056618942e-10,40.437455852092995,1.1481440778638438e-05,
0.4,0.4,2.0,9.432016056618942e-10,40.437455852092995,1.0379158836764205e-05,
0.4,0.5,2.0,9.432016056618942e-10,40.437455852092995,9.985570794033614e-06,
0.4,0.6,2.0,9.432016056618942e-10,40.437455852092995,1.2051041487696938e-05,
0.4,0.7,2.0,9.432016056618942e-10,40.437455852092995,9.6280987200428e-06,
0.4,0.8,2.0,9.432016056618942e-10,40.437455852092995,1.132324912692507e-05,
0.4,0.9,2.0,9.432016056618942e-10,40.437455852092995,1.0695845004791228e-05,
0.5,0.5,2.0,9.432016056618942e-10,40.437455852092995,8.835714316157891e-06,
0.5,0.6,2.0,9.432016056618942e-10,40.437455852092995,1.0561197414657332e-05,
0.5,0.7,2.0,9.432016056618942e-10,40.437455852092995,9.998076409841968e-06,
0.5,0.8,2.0,9.432016056618942e-10,40.437455852092995,1.0560852472750002e-05,
0.5,0.9,2.0,9.432016056618942e-10,40.437455852092995,1.2697903091793717e-05,
0.6,0.6,2.0,9.432016056618942e-10,40.437455852092995,1.4354306702775776e-05,
0.6,0.7,2.0,9.432016056618942e-10,40.437455852092995,1.0148983747585078e-05,
0.6,0.8,2.0,9.432016056618942e-10,40.437455852092995,9.475131534653087e-06,
0.6,0.9,2.0,9.432016056618942e-10,40.437455852092995,8.763307917871208e-06,
0.7,0.7,2.0,9.432016056618942e-10,40.437455852092995,1.0241972258608195e-05,
0.7,0.8,2.0,9.432016056618942e-10,40.437455852092995,1.273661249191072e-05,
0.7,0.9,2.0,9.432016056618942e-10,40.437455852092995,1.122255260356805e-05,
0.8,0.8,2.0,9.432016056618942e-10,40.437455852092995,1.0031237505527497e-05,
0.8,0.9,2.0,9.432016056618942e-10,40.437455852092995,1.006695606010867e-05,
0.9,0.9,2.0,9.432016056618942e-10,40.437455852092995,9.325878869892257e-06,
0.01,0.01,2.0,9.432016056618942e-10,40.437455852092995,1.0584218640113212e-05,
0.01,0.02,2.0,9.432016056618942e-10,40.437455852092995,9.354437642970021e-06,
0.01,0.03,2.0,9.432016056618942e-10,40.437455852092995,7.570004280401537e-06,
0.01,0.04,2.0,9.432016056618942e-10,40.437455852092995,1.0719506855516364e-05,
0.01,0.05,2.0,9.432016056618942e-10,40.437455852092995,1.0212223028651426e-05,
0.01,0.06,2.0,9.432016056618942e-10,40.437455852092995,1.0185777651090256e-05,
0.01,0.07,2.0,9.432016056618942e-10,40.437455852092995,8.975261921398312e-06,
0.01,0.08,2.0,9.432016056618942e-10,40.437455852092995,1.0775839653629314e-05,
0.01,0.09,2.0,9.432016056618942e-10,40.437455852092995,1.0327301835538088e-05,
0.02,0.02,2.0,9.432016056618942e-10,40.437455852092995,1.2777233100761868e-05,
0.02,0.03,2.0,9.432016056618942e-10,40.437455852092995,9.870453235539425e-06,
0.02,0.04,2.0,9.432016056618942e-10,40.437455852092995,1.0004362666193422e-05,
0.02,0.05,2.0,9.432016056618942e-10,40.437455852092995,1.2820764590629743e-05,
0.02,0.06,2.0,9.432016056618942e-10,40.437455852092995,1.0091215081133505e-05,
0.02,0.07,2.0,9.432016056618942e-10,40.437455852092995,8.567946939651188e-06,
0.02,0.08,2.0,9.432016056618942e-10,40.437455852092995,1.0708937780515844e-05,
0.02,0.09,2.0,9.432016056618942e-10,40.437455852092995,1.0579240659789976e-05,
0.03,0.03,2.0,9.432016056618942e-10,40.437455852092995,9.540810623308123e-06,
0.03,0.04,2.0,9.432016056618942e-10,40.437455852092995,9.023582355396038e-06,
0.03,0.05,2.0,9.432016056618942e-10,40.437455852092995,9.81105134329221e-06,
0.03,0.06,2.0,9.432016056618942e-10,40.437455852092995,1.0192465071997438e-05,
0.03,0.07,2.0,9.432016056618942e-10,40.437455852092995,1.0361257787186194e-05,
0.03,0.08,2.0,9.432016056618942e-10,40.437455852092995,8.87916298912962e-06,
0.03,0.09,2.0,9.432016056618942e-10,40.437455852092995,8.958855285711594e-06,
0.04,0.04,2.0,9.432016056618942e-10,40.437455852092995,8.130405635132957e-06,
0.04,0.05,2.0,9.432016056618942e-10,40.437455852092995,1.0592217623069538e-05,
0.04,0.06,2.0,9.432016056618942e-10,40.437455852092995,1.1335156284184115e-05,
0.04,0.07,2.0,9.432016056618942e-10,40.437455852092995,9.089438388958704e-06,
0.04,0.08,2.0,9.432016056618942e-10,40.437455852092995,1.0927517992536074e-05,
0.04,0.09,2.0,9.432016056618942e-10,40.437455852092995,9.968894300079134e-06,
0.05,0.05,2.0,9.432016056618942e-10,40.437455852092995,8.194810051648922e-06,
0.05,0.06,2.0,9.432016056618942e-10,40.437455852092995,1.0326804900753683e-05,
0.05,0.07,2.0,9.432016056618942e-10,40.437455852092995,9.787912188193605e-06,
0.05,0.08,2.0,9.432016056618942e-10,40.437455852092995,1.2339968996744662e-05,
0.05,0.09,2.0,9.432016056618942e-10,40.437455852092995,1.1816125495763209e-05,
0.06,0.06,2.0,9.432016056618942e-10,40.437455852092995,8.798169731764894e-06,
0.06,0.07,2.0,9.432016056618942e-10,40.437455852092995,1.2372460062847508e-05,
0.06,0.08,2.0,9.432016056618942e-10,40.437455852092995,9.131790020654062e-06,
0.06,0.09,2.0,9.432016056618942e-10,40.437455852092995,1.0130834791604649e-05,
0.07,0.07,2.0,9.432016056618942e-10,40.437455852092995,9.871935434562141e-06,
0.07,0.08,2.0,9.432016056618942e-10,40.437455852092995,1.1292491762536768e-05,
0.07,0.09,2.0,9.432016056618942e-10,40.437455852092995,9.83880049671147e-06,
0.08,0.08,2.0,9.432016056618942e-10,40.437455852092995,9.388450889293064e-06,
0.08,0.09,2.0,9.432016056618942e-10,40.437455852092995,1.0314465146558091e-05,
0.09,0.09,2.0,9.432016056618942e-10,40.437455852092995,1.0767152218686253e-05,
0.11,0.11,2.0,9.432016056618942e-10,40.437455852092995,9.948735928251615e-06,
0.12,0.12,2.0,9.432016056618942e-10,40.437455852092995,1.1503414640967492e-05,
0.13,0.13,2.0,9.432016056618942e-10,40.437455852092995,1.0118269992002375e-05,
