m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.0,9.432016056618942e-10,40.437455852093,0.018654521322822647,
0.1,0.2,2.0,9.432016056618942e-10,40.437455852093,0.02084437697744471,
0.1,0.3,2.0,9.432016056618942e-10,40.437455852093,0.02393699397714262,
0.1,0.4,2.0,9.432016056618942e-10,40.437455852093,0.02595035637512518,
0.1,0.5,2.0,9.432016056618942e-10,40.437455852093,0.0295604784740501,
0.1,0.6,2.0,9.432016056618942e-10,40.437455852093,0.0323950377764334,
0.1,0.7,2.0,9.432016056618942e-10,40.437455852093,0.03469239615667954,
0.1,0.8,2.0,9.432016056618942e-10,40.437455852093,0.03674615046886568,
0.1,0.9,2.0,9.432016056618942e-10,40.437455852093,0.04018664320403876,
0.2,0.2,2.0,9.432016056618942e-10,40.437455852093,0.02679949709901622,
0.2,0.3,2.0,9.432016056618942e-10,40.437455852093,0.030099109865992704,
0.2,0.4,2.0,9.432016056618942e-10,40.437455852093,0.03183589150246631,
0.2,0.5,2.0,9.432016056618942e-10,40.437455852093,0.03463152474084247,
0.2,0.6,2.0,9.432016056618942e-10,40.437455852093,0.036517087570813754,
0.2,0.7,2.0,9.432016056618942e-10,40.437455852093,0.03866225058042124,
0.2,0.8,2.0,9.432016056618942e-10,40.437455852093,0.04041744307512046,
0.2,0.9,2.0,9.432016056618942e-10,40.437455852093,0.04241287996993323,
0.3,0.3,2.0,9.432016056618942e-10,40.437455852093,0.03559570811975415,
0.3,0.4,2.0,9.432016056618942e-10,40.437455852093,0.03760920221717274,
0.3,0.5,2.0,9.432016056618942e-10,40.437455852093,0.03994586683301185,
0.3,0.6,2.0,9.432016056618942e-10,40.437455852093,0.04115904055756398,
0.3,0.7,2.0,9.432016056618942e-10,40.437455852093,0.04271838685536993,
0.3,0.8,2.0,9.432016056618942e-10,40.437455852093,0.0449180630958751,
0.3,0.9,2.0,9.432016056618942e-10,40.437455852093,0.0472168524710502,
0.4,0.4,2.0,9.432016056618942e-10,40.437455852093,0.04338948319839838,
0.4,0.5,2.0,9.432016056618942e-10,40.437455852093,0.04525042744226761,
0.4,0.6,2.0,9.432016056618942e-10,40.437455852093,0.04833681612805947,
0.4,0.7,2.0,9.432016056618942e-10,40.437455852093,0.04891441596345288,
0.4,0.8,2.0,9.432016056618942e-10,40.437455852093,0.051751041179480865,
0.4,0.9,2.0,9.432016056618942e-10,40.437455852093,0.05212738258855252,
0.5,0.5,2.0,9.432016056618942e-10,40.437455852093,0.05425468885492162,
0.5,0.6,2.0,9.432016056618942e-10,40.437455852093,0.0531541871954107,
