m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.0,9.432016056618942e-10,40.437455852093,0.00017871879719954077,
0.1,0.2,2.0,9.432016056618942e-10,40.437455852093,0.0002331527175089309,
0.1,0.3,2.0,9.432016056618942e-10,40.437455852093,0.0003468985173745455,
0.1,0.4,2.0,9.432016056618942e-10,40.437455852093,0.0003549560668292304,
0.1,0.5,2.0,9.432016056618942e-10,40.437455852093,0.00043780272105295123,
0.1,0.6,2.0,9.432016056618942e-10,40.437455852093,0.0005558242897895964,
0.1,0.7,2.0,9.432016056618942e-10,40.437455852093,0.0006360445199110594,
0.1,0.8,2.0,9.432016056618942e-10,40.437455852093,0.0006374951085522184,
0.1,0.9,2.0,9.432016056618942e-10,40.437455852093,0.0007955420791044999,
0.2,0.2,2.0,9.432016056618942e-10,40.437455852093,0.00041258027864066464,
0.2,0.3,2.0,9.432016056618942e-10,40.437455852093,0.0004852674777464217,
0.2,0.4,2.0,9.432016056618942e-10,40.437455852093,0.0005226671428260304,
0.2,0.5,2.0,9.432016056618942e-10,40.437455852093,0.0006801908110972721,
0.2,0.6,2.0,9.432016056618942e-10,40.437455852093,0.0006918056456565707,
0.2,0.7,2.0,9.432016056618942e-10,40.437455852093,0.0007830012716112273,
0.2,0.8,2.0,9.432016056618942e-10,40.437455852093,0.0008787553127085119,
0.2,0.9,2.0,9.432016056618942e-10,40.437455852093,0.0009373712732982793,
0.3,0.3,2.0,9.432016056618942e-10,40.437455852093,0.0007155379333622602,
0.3,0.4,2.0,9.432016056618942e-10,40.437455852093,0.0007394654065124463,
0.3,0.5,2.0,9.432016056618942e-10,40.437455852093,0.0008509363495402503,
0.3,0.6,2.0,9.432016056618942e-10,40.437455852093,0.0009516333672043477,
0.3,0.7,2.0,9.432016056618942e-10,40.437455852093,0.0010775167738154463,
0.3,0.8,2.0,9.432016056618942e-10,40.437455852093,0.0010725883075134268,
0.3,0.9,2.0,9.432016056618942e-10,40.437455852093,0.0012479676581739249,
0.4,0.4,2.0,9.432016056618942e-10,40.437455852093,0.0012027319904714122,
0.4,0.5,2.0,9.432016056618942e-10,40.437455852093,0.0012728066556056763,
0.4,0.6,2.0,9.432016056618942e-10,40.437455852093,0.0013375406575047363,
0.4,0.7,2.0,9.432016056618942e-10,40.437455852093,0.0012923133789220383,
0.4,0.8,2.0,9.432016056618942e-10,40.437455852093,0.0015440081490575202,
