m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,40.437455852093,-0.00016769776568612848,,-0.00015975297292062846,,-0.0001671242544734871,
0.1,0.2,40.437455852093,-0.00022272302669665137,,-0.00021505857539655136,,-0.00022829542824157178,
0.1,0.3,40.437455852093,-0.00033738434568708435,,,,-0.0003442123571786238,
0.1,0.4,40.437455852093,-0.00034710625733070863,,,,-0.00035311707413308456,
0.1,0.5,40.437455852093,-0.0004253180471227185,,,,-0.0004366998935323022,
0.1,0.6,40.437455852093,-0.0005433117541558485,,,,-0.0005547691570884867,
0.1,0.7,40.437455852093,-0.0006268239442586005,,,,-0.0006352142754006964,
0.1,0.8,40.437455852093,-0.0006298580132474621,,,,-0.000636782788099259,
0.1,0.9,40.437455852093,-0.0007839982403391689,,,,-0.0007950623072846811,
0.2,0.2,40.437455852093,-0.0004041548261093302,,-0.0004179698312465302,,-0.00040134623193783023,
0.2,0.3,40.437455852093,-0.0004774507540315961,,-0.00048536968185189605,,-0.0004792435735862472,
0.2,0.4,40.437455852093,-0.0005135985469864353,,-0.0005133026955670353,,-0.0005171235576192989,
0.2,0.5,40.437455852093,-0.0006707804173347892,,-0.0006930307192519891,,-0.0006755047067688171,
0.2,0.6,40.437455852093,-0.0006825847132347858,,,,-0.0006882860334170971,
0.2,0.7,40.437455852093,-0.000773702394395307,,,,-0.000779641851466812,
0.2,0.8,40.437455852093,-0.0008659203781865122,,,,-0.0008758883081446104,
0.2,0.9,40.437455852093,-0.0009271520913663069,,,,-0.0009362041470871245,
0.3,0.3,40.437455852093,-0.0007027039190487291,,-0.0007214702330957291,,-0.0007012243670390095,
0.3,0.4,40.437455852093,-0.0007303718410886116,,-0.0007596670710493115,,-0.0007289090519554646,
0.3,0.5,40.437455852093,-0.0008420254522933838,,-0.0008684087981897838,,-0.0008428189168392769,
0.3,0.6,40.437455852093,-0.0009425597002284298,,-0.0009508546520038298,,-0.0009436453177137327,
0.3,0.7,40.437455852093,-0.0010675607915560784,,-0.0011029075751471786,,-0.001070760604514942,
0.3,0.8,40.437455852093,-0.0010628279793787093,,-0.0012476987016112094,,-0.0010662766919760913,
0.3,0.9,40.437455852093,-0.0012364862173952615,,,,-0.0012453501446427764,
0.4,0.4,40.437455852093,-0.0011923528316346358,,-0.0012100242198331357,,-0.0011874183221820336,
0.4,0.5,40.437455852093,-0.0012628210848115663,,-0.0012740923278760662,,-0.0012590382016611354,
0.4,0.6,40.437455852093,-0.001325489616017003,,-0.0012867111519452032,,-0.0013257581220916005,
0.4,0.7,40.437455852093,-0.0012826852802019571,,-0.0013130729185129573,,-0.0012816548256215283,
0.4,0.8,40.437455852093,-0.001532684899930575,,-0.001510341311782475,,-0.0015368063264180555,
0.4,0.9,40.437455852093,-0.0015853149497546087,,,,-0.0015926159965481232,
0.5,0.5,40.437455852093,-0.001834242897813042,,-0.0018532124458594422,,-0.0018229970840103295,
0.5,0.6,40.437455852093,-0.0017813976058724426,,-0.0018381068377760427,,-0.001770645113209755,
0.5,0.7,40.437455852093,-0.0021063325182862584,,-0.0021579857335996583,,-0.002101167160011898,
0.5,0.8,40.437455852093,-0.00214110580697445,,-0.00215363467854855,,-0.0021399632974535183,
0.5,0.9,40.437455852093,-0.0024188326343506064,,,,-0.002427121769928244,
0.6,0.6,40.437455852093,-0.0025795477213241243,,-0.002666390539343924,,-0.0025694459160265064,
0.6,0.7,40.437455852093,-0.002939365933052715,,-0.0030508273738215153,,-0.002929457187779997,
0.6,0.8,40.437455852093,-0.003090005072244347,,-0.003207343211881047,,-0.0030841213694058644,
0.6,0.9,40.437455852093,-0.0031753265993579288,,-0.003334463237198629,,-0.0031766500464130063,
0.7,0.7,40.437455852093,-0.004311084447809292,,-0.004191019749203392,,-0.004283659765789611,
0.7,0.8,40.437455852093,-0.004152368443282089,,-0.004124199891407089,,-0.004130704957225863,
0.7,0.9,40.437455852093,-0.004025239243024432,,-0.0039049489722078317,,-0.004025450784340765,
0.8,0.8,40.437455852093,-0.006459418010150073,,-0.006428409293342473,,-0.0064105671054184715,
0.8,0.9,40.437455852093,-0.006492424703166491,,-0.006530313407930491,,-0.006468183322721116,
0.9,0.9,40.437455852093,-0.013284982597340008,,-0.012751295585801008,,-0.0131418458056129,
0.01,0.01,40.437455852093,-1.43409446952271e-05,,-1.3717668355741375e-05,,-1.3786840550086246e-05,
0.01,0.02,40.437455852093,-2.3567365778738258e-05,,-5.757798888083255e-05,,-2.8222335003671415e-05,
0.01,0.03,40.437455852093,-3.258289630896919e-05,,,,-3.679796098413912e-05,
0.01,0.04,40.437455852093,-3.5750494475529385e-05,,,,-4.482868123339567e-05,
0.01,0.05,40.437455852093,-3.7400957833104716e-05,,,,-4.644729639798493e-05,
0.01,0.06,40.437455852093,-4.348415689782581e-05,,,,-5.2931232054344644e-05,
0.01,0.07,40.437455852093,-5.467451870875741e-05,,,,-6.288404048982406e-05,
0.01,0.08,40.437455852093,-5.441134099126039e-05,,,,-6.464057696240532e-05,
0.01,0.09,40.437455852093,-5.652892659114893e-05,,,,-6.642473056771663e-05,
0.02,0.02,40.437455852093,-4.0637773336846374e-05,,-3.579692784487808e-05,,-4.463975911880004e-05,
0.02,0.03,40.437455852093,-3.8088426221752274e-05,,-4.0201670009557516e-05,,-4.1611541937789815e-05,
0.02,0.04,40.437455852093,-5.2708340685268236e-05,,-6.857270508367974e-05,,-5.7633065755104034e-05,
0.02,0.05,40.437455852093,-4.836028752680665e-05,,-0.00017467126486757025,,-5.809597732349879e-05,
0.02,0.06,40.437455852093,-5.801074285903598e-05,,,,-6.53826956458181e-05,
0.02,0.07,40.437455852093,-5.920486245808414e-05,,,,-6.523394618560601e-05,
0.02,0.08,40.437455852093,-7.062687957989869e-05,,,,-7.95326501737612e-05,
0.02,0.09,40.437455852093,-7.090136860164362e-05,,,,-8.035280091659462e-05,
0.03,0.03,40.437455852093,-5.187761161805529e-05,,-5.546903355917362e-05,,-5.133702836462963e-05,
0.03,0.04,40.437455852093,-5.787373102036561e-05,,-6.491382503355151e-05,,-6.127634969430258e-05,
0.03,0.05,40.437455852093,-6.482072131801658e-05,,-7.74466318169122e-05,,-6.859550562757101e-05,
0.03,0.06,40.437455852093,-6.146143364000791e-05,,-0.00010025671392500257,,-6.676713797183642e-05,
0.03,0.07,40.437455852093,-7.112418638917516e-05,,-0.00012899435833681379,,-7.803711640729193e-05,
0.03,0.08,40.437455852093,-8.565613543892518e-05,,-0.00031746955443937036,,-9.143847630578197e-05,
0.03,0.09,40.437455852093,-9.10560094837884e-05,,,,-9.727115539189207e-05,
0.04,0.04,40.437455852093,-6.991366400576913e-05,,-7.114902293882186e-05,,-6.725027424336595e-05,
0.04,0.05,40.437455852093,-8.15242077010163e-05,,-7.762751602931667e-05,,-8.326696463263047e-05,
0.04,0.06,40.437455852093,-8.594027474896232e-05,,-8.815653023489778e-05,,-9.16854713320196e-05,
0.04,0.07,40.437455852093,-8.852970463946606e-05,,-0.00011957797177164129,,-9.201445133176707e-05,
0.04,0.08,40.437455852093,-0.00010717431145266393,,-0.0001328118538804639,,-0.00011364382853599363,
0.04,0.09,40.437455852093,-0.00011498832128932085,,-0.00014808374708702088,,-0.00012019575711591694,
0.05,0.05,40.437455852093,-0.00010703705790945108,,-0.00010882949451705107,,-0.00010486295730666344,
0.05,0.06,40.437455852093,-0.00011059675534184632,,-0.00011333291887424632,,-0.00011095719897164842,
0.05,0.07,40.437455852093,-0.0001139294765086064,,-0.0001201429052710064,,-0.00011600194442074718,
0.05,0.08,40.437455852093,-0.00011821060561725533,,-0.00013270658363365536,,-0.00012523037631354632,
0.05,0.09,40.437455852093,-0.00013110961938903677,,-0.00014002446231493678,,-0.0001375203597196175,
0.06,0.06,40.437455852093,-0.00012159736133063511,,-0.0001281687674969351,,-0.00012064574834906305,
0.06,0.07,40.437455852093,-0.00012794100733385248,,-0.0001251477446273525,,-0.00013122235250614503,
0.06,0.08,40.437455852093,-0.00013852304620414594,,-0.00014418096090964593,,-0.0001400773604686199,
0.06,0.09,40.437455852093,-0.00013966489990119535,,-0.00015441658614019535,,-0.00014276131827449127,
0.07,0.07,40.437455852093,-0.00015549421235073785,,-0.00014858993923933786,,-0.00015525855743058918,
0.07,0.08,40.437455852093,-0.00014152823448606325,,-0.00014117571206826324,,-0.00014068063672625935,
0.07,0.09,40.437455852093,-0.00014931711381138853,,-0.00014581126243848853,,-0.0001511314064960694,
0.08,0.08,40.437455852093,-0.00015893457814570693,,-0.00015553307896000693,,-0.0001596996504435645,
0.08,0.09,40.437455852093,-0.00016433086195244192,,-0.00016183874730374192,,-0.00016577705371287723,
0.09,0.09,40.437455852093,-0.00016443375387471373,,-0.00016819509794711374,,-0.00016526835071430608,
0.11,0.11,40.437455852093,-0.00021846688930264837,,-0.00022318203322814836,,-0.00021785636594253896,
0.12,0.12,40.437455852093,-0.0002430307042554325,,-0.0002401120008718325,,-0.0002385170800483918,
0.13,0.13,40.437455852093,-0.0002644052104524976,,-0.00025473367194689763,,-0.0002634187137586505,
0.14,0.14,40.437455852093,-0.00028947485190121267,,-0.00027080529685861266,,-0.0002901643408429419,
0.15,0.15,40.437455852093,-0.00032800379292468907,,-0.0003310796066154891,,-0.00032778286383997366,
0.16,0.16,40.437455852093,-0.00030421293744238315,,-0.00032074177951168316,,-0.00030207149798472377,
0.17,0.17,40.437455852093,-0.0003391834299433883,,-0.0003491637140665883,,-0.0003344828823440605,
0.18,0.18,40.437455852093,-0.00034897779349639006,,-0.00033852147775509004,,-0.0003473723592951457,
0.19,0.19,40.437455852093,-0.0003642211426296163,,-0.0003680849218051163,,-0.00036241999764324845,
0.21,0.21,40.437455852093,-0.00039427643217931446,,-0.00040934598298021446,,-0.0003913915248307303,
0.22,0.22,40.437455852093,-0.00045232988313578717,,-0.00046027196603578717,,-0.0004503849416176803,
0.23,0.23,40.437455852093,-0.00042687424114141146,,-0.00041546820505731146,,-0.00042776012621144154,
0.24,0.24,40.437455852093,-0.000485515511272492,,-0.00046850902087709203,,-0.0004831956294473525,
0.25,0.25,40.437455852093,-0.00046375540918739647,,-0.0004542792423502965,,-0.00045743647851198836,
0.26,0.26,40.437455852093,-0.0005095264220079887,,-0.0005131774193677887,,-0.0005080262326206274,
0.27,0.27,40.437455852093,-0.0005169627742848263,,-0.0005115498072990263,,-0.0005142657513359028,
0.28,0.28,40.437455852093,-0.0005332883141246104,,-0.0005603487073307104,,-0.0005297804661825498,
0.29,0.29,40.437455852093,-0.0005870658977991338,,-0.0005480871615470338,,-0.0005853097567227956,
0.31,0.31,40.437455852093,-0.0006727995994872933,,-0.0006675420896125933,,-0.0006700830406920956,
0.32,0.32,40.437455852093,-0.0007180345535998347,,-0.0007037755935749347,,-0.0007170819891727478,
0.33,0.33,40.437455852093,-0.0008448726765944296,,-0.0008123352643520296,,-0.0008430036251428219,
0.34,0.34,40.437455852093,-0.0008821464240465473,,-0.0008641289027382474,,-0.0008778670892842537,
0.35,0.35,40.437455852093,-0.0009386446415630051,,-0.0009130179922174052,,-0.00093545510252791,
0.36,0.36,40.437455852093,-0.0008745796101883769,,-0.000863964729257877,,-0.0008659407384054669,
0.37,0.37,40.437455852093,-0.000896147329308498,,-0.000900974558073398,,-0.0008884773764410457,
