m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,7544.656481481482,-31.7466088210991,-107.97553388947131,8.109524915764439,51.81420979520556,-22.51851902303312,19.763010293502248
0.1,0.2,7544.656481481482,-14.07610341040612,-143.39395053146472,,,-224.9158756997552,-965.5219372411867
0.1,0.3,7544.656481481482,-78.05789542754394,-173.78344692171595,,,-309.0546004943653,
0.1,0.4,7544.656481481482,-44.906791166972596,-188.9812510866982,,,-284.7105288966422,
0.1,0.5,7544.656481481482,-43.716850948370535,-254.02543005840585,,,-276.3158896033065,
0.1,0.6,7544.656481481482,-77.80959735916807,-230.48132578918194,,,-314.4964913923195,
0.1,0.7,7544.656481481482,-87.41779108168492,-293.43926745849535,,,-320.81161602514163,
0.1,0.8,7544.656481481482,-87.23409912268227,-234.18635409449143,,,-322.10713375754955,
0.1,0.9,7544.656481481482,-105.65727899830813,-330.90049422402376,,,-331.5506467815266,
0.2,0.2,7544.656481481482,-55.07409807136756,-303.73819214911987,-8.055464379395886,-42.53024306081193,4.431574782002144,8.91632700499531
0.2,0.3,7544.656481481482,-114.94700844977379,-176.92720379035995,,,-227.67689675737225,-880.5954778841224
0.2,0.4,7544.656481481482,-90.52108582916881,-366.7020230234348,,,-282.19396508863656,-1181.7387291590248
0.2,0.5,7544.656481481482,-100.73376638535598,-351.8440970412637,,,-302.0392379039446,-1280.1217572614914
0.2,0.6,7544.656481481482,-113.04085514604083,-380.5689717854982,,,-331.0339925714377,
0.2,0.7,7544.656481481482,-147.09394170323856,-365.682612606106,,,-373.60338374751734,
0.2,0.8,7544.656481481482,-128.47660870780064,-529.3915822843395,,,-350.664170904747,
0.2,0.9,7544.656481481482,-112.11135720423442,-409.91229956617576,,,-353.25347197627895,
0.3,0.3,7544.656481481482,-144.2203208008138,-475.0782135736158,-34.13333733610364,-69.32203475817323,-46.24319859695254,30.36039126258629
0.3,0.4,7544.656481481482,-119.18633317393858,-365.80768787407055,,,-228.45902889048963,-919.5382358311238
0.3,0.5,7544.656481481482,-145.79299122851887,-534.5600907202536,,,-309.0040546214751,-1226.8568842498387
0.3,0.6,7544.656481481482,-151.82849351841196,-588.5742759728491,,,-345.0438626013131,-1432.6897684522073
0.3,0.7,7544.656481481482,-143.98038206217686,-586.4371586694401,,,-348.84710785387455,-1447.4417105144605
0.3,0.8,7544.656481481482,-170.78639082834403,-736.3894044310453,,,-382.02302521578997,-1591.477646657153
0.3,0.9,7544.656481481482,-171.25640908637075,-726.5240620797323,,,-410.54563467280576,
0.4,0.4,7544.656481481482,-219.8135897410388,-669.9084009318722,-62.32893085006066,-60.31226142848345,-51.58094927186568,30.00826726742025
0.4,0.5,7544.656481481482,-198.18777215422975,-785.1667792390372,,,-288.0790392489182,-1131.2649063607646
0.4,0.6,7544.656481481482,-207.88055236804624,-690.7794615242938,,,-331.4756866437715,-1345.0740909141862
0.4,0.7,7544.656481481482,-252.2408607478713,-865.8722463651854,,,-433.5425723419033,-1610.2036032497085
0.4,0.8,7544.656481481482,-248.68364529788994,-975.6780430331216,,,-440.23852330191676,-1836.3163243482918
0.4,0.9,7544.656481481482,-223.50413360451603,-893.9464129369549,,,-455.32699775258885,
0.5,0.5,7544.656481481482,-255.82472957962304,-1116.2090135656802,-76.75247201685673,-64.08700031417084,-27.76372700721305,-171.4841785551173
0.5,0.6,7544.656481481482,-235.79547438486858,-1240.3008374712388,-869.992786391032,-3753.9375111171057,-308.77040720486127,-1447.6569529229237
0.5,0.7,7544.656481481482,-288.1324941190106,-1274.0747846329136,,,-434.442376972396,-1782.7800184606672
0.5,0.8,7544.656481481482,-321.4183848465057,-1432.4243695334262,,,-504.6011947139996,-2145.6823495436574
0.5,0.9,7544.656481481482,-416.7946799523813,-1356.1511458756745,,,-630.5787086511247,
0.6,0.6,7544.656481481482,-424.34397950985027,-1803.9604851649915,-85.23892793799172,-103.92877585464657,-115.6836933338468,-295.6771666147888
0.6,0.7,7544.656481481482,-399.06743162016335,-1818.1696579439874,,,-453.9585477207314,-2003.3654593264487
0.6,0.8,7544.656481481482,-412.1052185307862,-1912.4406002880469,,,-574.0478472816777,-2491.4942674566
0.6,0.9,7544.656481481482,-465.8707173477392,-2128.284029658629,,,-666.2617256995541,-2995.8018993397222
0.7,0.7,7544.656481481482,-560.2661747887978,-2638.281514878894,-100.27286603910039,-89.64589305286995,-52.21857674383659,-389.8592569464263
0.7,0.8,7544.656481481482,-673.8717267521987,-2748.743703265098,,,-763.373629112694,-3081.648572697839
0.7,0.9,7544.656481481482,-702.2059363398268,-2702.5142764943676,,,-887.7042646848702,-3544.129561911388
0.8,0.8,7544.656481481482,-1005.7924511919591,-4665.559261781057,-196.21786622493514,-327.1739993012286,-165.14654475334532,-798.1491994610951
0.8,0.9,7544.656481481482,-1104.8431765598648,-5115.855403664282,,,-1250.1028695689567,-5636.848927703214
0.9,0.9,7544.656481481482,-2408.9732554830775,-13206.763697824304,-382.36954501565606,-729.2389920704984,-519.2644817877567,1589.969011219173
0.01,0.01,7544.656481481482,-1.6214418411155123,-67.91950214727694,-2.9394248010039803,1.1063042338514606,32.034764705616226,-48.620413204379474
0.01,0.02,7544.656481481482,1.304419959915009,8.13613553306186,,,-194.29722063198076,-861.4342365921849
0.01,0.03,7544.656481481482,-8.851540671151582,67.82009602635799,,,-215.44699457330333,
0.01,0.04,7544.656481481482,-7.06871378188734,-20.61561539452282,,,-227.88831399686586,
0.01,0.05,7544.656481481482,10.150122657711819,13.913973881073161,,,-215.02234050381918,
0.01,0.06,7544.656481481482,12.550479830983079,-32.93335530792319,,,-235.31717117322515,
0.01,0.07,7544.656481481482,-13.13137044003281,-139.5694071109118,,,-253.55415873127856,
0.01,0.08,7544.656481481482,16.78755202601252,8.179572637781803,,,-235.15548104425645,
0.01,0.09,7544.656481481482,-5.7414858824265025,20.188776617857002,,,-256.1377746343769,
0.02,0.02,7544.656481481482,-34.02276925694687,-41.827221818859584,-22.11313646794278,-46.04047492085567,-16.834516381846043,10.582003785345933
0.02,0.03,7544.656481481482,18.743704118755375,0.3629516586229329,,,-149.7128217908438,-739.1051311436366
0.02,0.04,7544.656481481482,-5.7559965611191615,9.270004504805229,,,-199.84819304999596,-838.1908713415814
0.02,0.05,7544.656481481482,-0.9265161613798512,-2.7168008393514356,,,-214.12236710961608,-947.9674130952765
0.02,0.06,7544.656481481482,-8.679372231116417,-4.331628582380517,,,-225.75826663537202,
0.02,0.07,7544.656481481482,-51.621456487813674,-2.6371339907734637,,,-249.42889676746552,
0.02,0.08,7544.656481481482,13.014870313971272,-54.02645130223209,,,-229.45224260599542,
0.02,0.09,7544.656481481482,-4.097910593638204,14.977518155897087,,,-234.81031878284952,
0.03,0.03,7544.656481481482,-9.337563363989005,-34.176388933316275,12.09580158750191,33.74184185196407,-7.005344660092078,16.814582966138914
0.03,0.04,7544.656481481482,-5.811425074658075,-37.87818848256097,,,-154.5833421011971,-650.6537026211524
0.03,0.05,7544.656481481482,-41.210689203513084,51.82613440174714,,,-228.80043868389265,-779.6383420833465
0.03,0.06,7544.656481481482,-21.721954032533745,-85.47311917434877,,,-206.72052737796713,-903.2039695283468
0.03,0.07,7544.656481481482,1.4086154347876914,-86.21285288025706,,,-206.66728555507547,-936.3321563884782
0.03,0.08,7544.656481481482,1.6563369438700306,24.205157664666785,,,-227.28280077702325,-917.709589398908
0.03,0.09,7544.656481481482,2.3653683720503977,-12.562321043092652,,,-216.6748695174815,
0.04,0.04,7544.656481481482,-23.91760413465164,-68.14564000528094,-2.3629238988343104,-45.402796305942275,-24.963785430208986,-14.367831459641138
0.04,0.05,7544.656481481482,-16.945383952570012,-61.3955926813494,,,-144.8528839067672,-552.9846779599177
0.04,0.06,7544.656481481482,-16.28354967185507,14.043342965644115,,,-178.23985085048878,-771.8333941007286
0.04,0.07,7544.656481481482,-13.143034459901429,-72.36841951851443,,,-205.0715317769018,-822.5626987506057
0.04,0.08,7544.656481481482,-1.669488751338605,-77.96590573185449,,,-207.18425288379967,-870.2427226157774
0.04,0.09,7544.656481481482,-1.1687615797752073,28.76416122183491,,,-216.00508469803367,-873.3786032204517
0.05,0.05,7544.656481481482,2.2109345631378687,-111.82924985399268,23.398055813867813,-73.18723875922433,-24.080010048242826,-36.22017821158761
0.05,0.06,7544.656481481482,-34.76707659285526,-80.01850382124599,-975.4086889638082,-4766.3478966039565,-132.65907429444465,-543.2712775756823
0.05,0.07,7544.656481481482,-16.107374642522615,-32.820092248507535,,,-167.35584973464586,-677.9215754938305
0.05,0.08,7544.656481481482,-21.178437656236582,-2.995059524649605,,,-197.50305587774437,-792.0478366638096
0.05,0.09,7544.656481481482,5.497747602980041,-60.180988532391666,,,-206.3514337220972,-920.3318064282107
0.06,0.06,7544.656481481482,-39.25122875733706,-51.29698447981036,-0.7394979652912923,-44.609149212718194,-29.34304744229874,34.75250139154764
