m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.5427901194551419,9.525986892242036e-07,7544.656481481482,144.7947830519579,553.6296167873888
0.1,0.2,,9.525986892242036e-07,7544.656481481482,,
0.1,0.3,,9.525986892242036e-07,7544.656481481482,,
0.1,0.4,,9.525986892242036e-07,7544.656481481482,,
0.1,0.5,,9.525986892242036e-07,7544.656481481482,,
0.1,0.6,,9.525986892242036e-07,7544.656481481482,,
0.1,0.7,,9.525986892242036e-07,7544.656481481482,,
0.1,0.8,,9.525986892242036e-07,7544.656481481482,,
0.1,0.9,,9.525986892242036e-07,7544.656481481482,,
0.2,0.2,0.5938248363839753,1.0716735253772291e-06,7544.656481481482,142.57112457485104,543.5098714067555
0.2,0.3,0.0,1.0716735253772291e-06,7544.656481481482,,
0.2,0.4,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.5,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.6,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.7,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.8,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.9,,1.0716735253772291e-06,7544.656481481482,,
0.3,0.3,0.6558318806163518,1.2247697432882618e-06,7544.656481481482,164.2412873581756,583.0731691371044
0.3,0.4,0.26410685686598384,1.2247697432882618e-06,7544.656481481482,332.9490329084425,1289.806407825392
0.3,0.5,,1.2247697432882618e-06,7544.656481481482,,
0.3,0.6,,1.2247697432882618e-06,7544.656481481482,,
0.3,0.7,,1.2247697432882618e-06,7544.656481481482,,
0.3,0.8,,1.2247697432882618e-06,7544.656481481482,,
0.3,0.9,,1.2247697432882618e-06,7544.656481481482,,
0.4,0.4,0.7329456680356207,1.4288980338363059e-06,7544.656481481482,171.94885593913466,605.3287802969186
0.4,0.5,0.44983333408021964,1.4288980338363059e-06,7544.656481481482,263.97892001066344,1014.8100383719292
0.4,0.6,0.0,1.4288980338363059e-06,7544.656481481482,,
0.4,0.7,,1.4288980338363059e-06,7544.656481481482,,
0.4,0.8,,1.4288980338363059e-06,7544.656481481482,,
0.4,0.9,,1.4288980338363059e-06,7544.656481481482,,
0.5,0.5,0.8317965657511863,1.7146776406035667e-06,7544.656481481482,194.76110987879622,617.8459859725931
0.5,0.6,0.6059517194651037,1.7146776406035667e-06,7544.656481481482,239.2025559268004,879.3593615759602
0.5,0.7,0.1797533801464694,1.7146776406035667e-06,7544.656481481482,720.8667173026363,3031.8525715316664
0.5,0.8,,1.7146776406035667e-06,7544.656481481482,,
0.5,0.9,,1.7146776406035667e-06,7544.656481481482,,
0.6,0.6,0.9638623164485162,2.1433470507544583e-06,7544.656481481482,217.71992461954017,689.5145759449039
0.6,0.7,0.7274341065221323,2.1433470507544583e-06,7544.656481481482,259.73289360865425,952.6629892099983
0.6,0.8,,2.1433470507544583e-06,7544.656481481482,,
0.6,0.9,,2.1433470507544583e-06,7544.656481481482,,
0.7,0.7,1.151332572383167,2.8577960676726117e-06,7544.656481481482,257.69343718861995,761.5142736235498
0.7,0.8,0.5,2.8577960676726117e-06,7544.656481481482,461.66334786598327,1769.1173272702258
0.7,0.9,,2.8577960676726117e-06,7544.656481481482,,
0.8,0.8,1.4454134627977873,4.2866941015089165e-06,7544.656481481482,330.96650483744247,963.436732773514
0.8,0.9,0.0,4.2866941015089165e-06,7544.656481481482,,
0.9,0.9,2.013196593022799,8.573388203017833e-06,7544.656481481482,481.7960628727138,
0.01,0.01,0.5039665605676084,8.659988083856399e-07,7544.656481481482,122.32077040697973,541.4511983913393
0.01,0.02,,8.659988083856399e-07,7544.656481481482,,
0.01,0.03,,8.659988083856399e-07,7544.656481481482,,
0.01,0.04,,8.659988083856399e-07,7544.656481481482,,
0.01,0.05,,8.659988083856399e-07,7544.656481481482,,
0.01,0.06,,8.659988083856399e-07,7544.656481481482,,
0.01,0.07,,8.659988083856399e-07,7544.656481481482,,
0.01,0.08,,8.659988083856399e-07,7544.656481481482,,
0.01,0.09,,8.659988083856399e-07,7544.656481481482,,
0.02,0.02,0.5079979177547899,8.748355309201871e-07,7544.656481481482,128.9692537530561,521.6692880977979
0.02,0.03,0.0,8.748355309201871e-07,7544.656481481482,,
0.02,0.04,,8.748355309201871e-07,7544.656481481482,,
0.02,0.05,,8.748355309201871e-07,7544.656481481482,,
0.02,0.06,,8.748355309201871e-07,7544.656481481482,,
0.02,0.07,,8.748355309201871e-07,7544.656481481482,,
0.02,0.08,,8.748355309201871e-07,7544.656481481482,,
0.02,0.09,,8.748355309201871e-07,7544.656481481482,,
0.03,0.03,0.5120957059628882,8.838544539193642e-07,7544.656481481482,119.69714474456339,532.3493946589856
0.03,0.04,0.1730428884236061,8.838544539193642e-07,7544.656481481482,369.5511690705173,1547.3175844357345
0.03,0.05,,8.838544539193642e-07,7544.656481481482,,
0.03,0.06,,8.838544539193642e-07,7544.656481481482,,
0.03,0.07,,8.838544539193642e-07,7544.656481481482,,
0.03,0.08,,8.838544539193642e-07,7544.656481481482,,
0.03,0.09,,8.838544539193642e-07,7544.656481481482,,
0.04,0.04,0.5162616161383375,8.930612711476911e-07,7544.656481481482,128.33667385663674,533.9510523866139
0.04,0.05,0.2615748101536632,8.930612711476911e-07,7544.656481481482,252.53977284838297,1139.1028334397079
0.04,0.06,0.0,8.930612711476911e-07,7544.656481481482,,
0.04,0.07,,8.930612711476911e-07,7544.656481481482,,
0.04,0.08,,8.930612711476911e-07,7544.656481481482,,
0.04,0.09,,8.930612711476911e-07,7544.656481481482,,
0.05,0.05,0.5204973982856399,9.024619161071406e-07,7544.656481481482,123.8532904178426,512.4054704753836
0.05,0.06,0.31640816154660273,9.024619161071406e-07,7544.656481481482,205.63793479080854,919.8985501066684
0.05,0.07,0.10713723670511006,9.024619161071406e-07,7544.656481481482,608.2805535581053,2782.3908211674
0.05,0.08,,9.024619161071406e-07,7544.656481481482,,
0.05,0.09,,9.024619161071406e-07,7544.656481481482,,
0.06,0.06,0.524804864117896,9.120625747891314e-07,7544.656481481482,121.58010900346117,526.7148569809102
0.06,0.07,0.35444524869283617,9.120625747891314e-07,7544.656481481482,201.93730504800163,825.175537545845
0.06,0.08,0.1799277590038721,9.120625747891314e-07,7544.656481481482,380.3019575060443,1472.867546354125
0.06,0.09,0.0,9.120625747891314e-07,7544.656481481482,,
0.07,0.07,0.5291858898538833,9.218696992492294e-07,7544.656481481482,139.10680546703162,553.151633524224
0.07,0.08,0.3829230968133445,9.218696992492294e-07,7544.656481481482,181.98573872012176,736.0336725575612
0.07,0.09,0.2331823088405454,9.218696992492294e-07,7544.656481481482,283.30819078788755,1278.0788125893878
0.08,0.08,0.5336424191713875,9.318900220671559e-07,7544.656481481482,132.4152845243557,564.5444172733676
0.08,0.09,0.40545881587335647,9.318900220671559e-07,7544.656481481482,174.4384425311912,705.6982160661266
0.09,0.09,0.5381764663272126,9.421305717602017e-07,7544.656481481482,125.00848197808463,550.9354923193912
0.11,0.11,0.5474855440539914,9.63302045282903e-07,7544.656481481482,128.73864159527008,531.5378507678083
0.12,0.12,0.5522649866788762,9.742486594338447e-07,7544.656481481482,133.15346768722247,557.0430991888073
0.13,0.13,0.5571307788498734,9.85446919887107e-07,7544.656481481482,127.25978395846866,560.7665978393577
0.14,0.14,0.5620853411934147,9.969056050020738e-07,7544.656481481482,133.8741165977261,571.5734895534173
0.15,0.15,0.5671311878330225,1.0086339062373921e-06,7544.656481481482,145.1296331029172,495.66293722190244
0.16,0.16,0.5722709310473791,1.0206414527402187e-06,7544.656481481482,143.59254601478634,545.6592404870332
0.17,0.17,0.5775072862152558,1.032938337712992e-06,7544.656481481482,128.75992079884514,535.8964919657618
0.18,0.18,0.5828430770684829,1.045535146709492e-06,7544.656481481482,140.95648844128672,526.9227882143159
0.19,0.19,0.5882812412759918,1.0584429880268933e-06,7544.656481481482,141.79357999502272,556.1556578412283
0.21,0.21,0.5994770461394302,1.0852390130402323e-06,7544.656481481482,144.72733915780088,524.3618874673667
0.22,0.22,0.605241187226804,1.099152333720235e-06,7544.656481481482,141.24362656040654,533.8065690430179
0.23,0.23,0.6111207164501729,1.1134270393529656e-06,7544.656481481482,141.22370967906207,555.0880211526486
0.24,0.24,0.6171192383963631,1.1280773951339255e-06,7544.656481481482,148.73262345603786,537.13457589355
0.25,0.25,0.623240513617734,1.1431184270690443e-06,7544.656481481482,149.23091700602595,560.7858116604511
0.26,0.26,0.6294884673770176,1.1585659733807882e-06,7544.656481481482,157.1134661819204,559.3365705922622
0.27,0.27,0.6358671990006552,1.174436740139429e-06,7544.656481481482,164.83360611641191,548.6507911764555
0.28,0.28,0.6423809918915998,1.190748361530255e-06,7544.656481481482,150.79250225768502,535.2788331020323
