m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,7544.656481481482,811.4598392658627,-34260.502403080085,-2105.8409765754895,-5816.6972989370115,-726.4468165779326,-42776.44748155316
0.1,0.2,7544.656481481482,-2497.6500598365055,-51298.21884532648,,,-15839.971039085658,-196839.56733573703
0.1,0.3,7544.656481481482,-6335.344474334852,-63490.66345001399,,,-19465.2273983106,
0.1,0.4,7544.656481481482,-6252.699549018254,-36742.85399731179,,,-19185.34142892294,
0.1,0.5,7544.656481481482,-11895.445054149048,-82750.47382382577,,,-23863.508229082352,
0.1,0.6,7544.656481481482,-8987.309775660347,-112686.66679871065,,,-23601.92199207662,
0.1,0.7,7544.656481481482,-15594.62340676399,-72369.76776997521,,,-29702.24068575117,
0.1,0.8,7544.656481481482,-18357.30331651942,-124806.26154492312,,,-30218.71302255929,
0.1,0.9,7544.656481481482,-16916.887155917375,-136211.40995091994,,,-29086.179358422545,
0.2,0.2,7544.656481481482,-5504.53285152766,-76064.34011382397,349.97425253080655,-36013.633537352725,-3767.6167244038334,6735.847871908132
0.2,0.3,7544.656481481482,-9697.81729567672,-97165.48426829849,,,-18554.006737943382,-194636.53646930505
0.2,0.4,7544.656481481482,-11185.661951050648,-79795.48321842175,,,-21397.817649887238,-211803.4185104769
0.2,0.5,7544.656481481482,-8143.1672033432715,-162301.6131789453,,,-21455.71142158172,-294903.1031583513
0.2,0.6,7544.656481481482,-13854.296938410478,-110376.28710806803,,,-27069.426405764956,
0.2,0.7,7544.656481481482,-16227.521422993465,-160190.74438836583,,,-29257.735988110482,
0.2,0.8,7544.656481481482,-20222.952593791168,-134914.23564978113,,,-35930.10319777969,
0.2,0.9,7544.656481481482,-21864.095823705175,-159122.61636091262,,,-35781.10374434539,
0.3,0.3,7544.656481481482,-19579.984091361468,-184454.6025510264,-2793.249810914682,-28421.270424607792,-10884.07391166297,-107747.93974746106
0.3,0.4,7544.656481481482,-11972.439755187466,-164825.2007549793,-80047.99145093608,-846752.0794515279,-19098.152703484295,-219461.89194895275
0.3,0.5,7544.656481481482,-17751.343299008608,-220511.84683720733,,,-30792.769985515002,-332592.52833538176
0.3,0.6,7544.656481481482,-18940.26791583331,-224601.4066310316,,,-29840.4089649077,-355031.96480569267
0.3,0.7,7544.656481481482,-28433.469608674983,-206221.52146259806,,,-40232.164177941384,-342974.44047792524
0.3,0.8,7544.656481481482,-28469.69755464964,-324612.6385133942,,,-39529.18736231528,-450310.84307983686
0.3,0.9,7544.656481481482,-18733.922617481312,-308160.7284462135,,,-32211.816201328667,
0.4,0.4,7544.656481481482,-22429.676618927908,-258470.22865700952,-6981.7190454213505,-64015.22455264229,-4934.886855188168,-12289.059152782836
0.4,0.5,7544.656481481482,-26179.434437548953,-363252.38387348835,-44373.32520104847,-515404.3203762432,-26848.620671403056,-378463.949532913
0.4,0.6,7544.656481481482,-31206.228000580973,-326292.3163530849,,,-37874.273844894844,-414024.82238292386
0.4,0.7,7544.656481481482,-30606.659054199372,-362671.29113960656,,,-43535.299995482645,-480767.8357530725
0.4,0.8,7544.656481481482,-55051.569897970345,-433543.71180124616,,,-70637.06411603901,-583310.3851008788
0.4,0.9,7544.656481481482,-41687.27537935176,-432468.891932363,,,-55460.48895612305,
0.5,0.5,7544.656481481482,-38126.31363970503,-529754.2427908892,-12113.459622073648,-59493.67595781744,-6670.0723170148485,-160974.6608606096
0.5,0.6,7544.656481481482,-56411.16568212665,-578086.2390485024,-21881.837207987155,-284755.1128061124,-55709.02390406972,-520910.99143572745
0.5,0.7,7544.656481481482,-64721.577725200084,-578203.1055462745,-463343.0746494873,-4948867.053258566,-69778.09907300436,-614001.5208806928
0.5,0.8,7544.656481481482,-53904.472620679575,-661148.5087239766,,,-66095.72077350346,-750455.9185660516
