m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.75,8.573388203017834e-07,7544.656481481482,82.43427540439703,358.13346350491696
0.1,0.2,0.75,8.573388203017834e-07,7544.656481481482,79.64935994156274,349.7146353293268
0.1,0.3,0.75,8.573388203017834e-07,7544.656481481482,85.19495059104814,342.5088747333482
0.1,0.4,0.75,8.573388203017834e-07,7544.656481481482,79.31765951205097,350.4342748318314
0.1,0.5,0.75,8.573388203017834e-07,7544.656481481482,83.54384099566118,343.4170082888921
0.1,0.6,0.75,8.573388203017834e-07,7544.656481481482,82.3902224768803,362.3797070477063
0.1,0.7,0.75,8.573388203017834e-07,7544.656481481482,80.81323787804513,339.99021980820993
0.1,0.8,0.75,8.573388203017834e-07,7544.656481481482,82.54329660750369,373.770191675383
0.1,0.9,0.75,8.573388203017834e-07,7544.656481481482,79.02198489447379,369.71211810089466
0.2,0.2,0.75,8.573388203017834e-07,7544.656481481482,84.00768642099959,347.46350624214654
0.2,0.3,0.75,8.573388203017834e-07,7544.656481481482,82.21553210284102,352.2533202231213
0.2,0.4,0.75,8.573388203017834e-07,7544.656481481482,88.20433834157338,329.4902754820004
0.2,0.5,0.75,8.573388203017834e-07,7544.656481481482,75.37967529689922,349.475936586189
0.2,0.6,0.75,8.573388203017834e-07,7544.656481481482,81.26777307973133,349.9881581811163
0.2,0.7,0.75,8.573388203017834e-07,7544.656481481482,82.42425043067176,336.27970531951405
0.2,0.8,0.75,8.573388203017834e-07,7544.656481481482,84.59424162626544,372.63348941745215
0.2,0.9,0.75,8.573388203017834e-07,7544.656481481482,79.0411186031895,341.4146743615643
0.3,0.3,0.75,8.573388203017834e-07,7544.656481481482,79.95752699062115,340.836650718616
0.3,0.4,0.75,8.573388203017834e-07,7544.656481481482,79.28417106518309,362.2744152515985
0.3,0.5,0.75,8.573388203017834e-07,7544.656481481482,78.79256674675513,352.239695893149
0.3,0.6,0.75,8.573388203017834e-07,7544.656481481482,80.62673036777012,345.34368613636747
0.3,0.7,0.75,8.573388203017834e-07,7544.656481481482,82.20086068396037,351.75461572814186
0.3,0.8,0.75,8.573388203017834e-07,7544.656481481482,79.07749934997267,338.02977246968385
0.3,0.9,0.75,8.573388203017834e-07,7544.656481481482,80.95696143612577,359.85513381116715
0.4,0.4,0.75,8.573388203017834e-07,7544.656481481482,79.08383663360466,350.20772619055094
0.4,0.5,0.75,8.573388203017834e-07,7544.656481481482,79.15114072576115,333.0006492657591
0.4,0.6,0.75,8.573388203017834e-07,7544.656481481482,80.51170718368806,342.6228937902869
0.4,0.7,0.75,8.573388203017834e-07,7544.656481481482,83.68935825212377,340.6171085317408
0.4,0.8,0.75,8.573388203017834e-07,7544.656481481482,83.9979674788328,378.5894293393743
0.4,0.9,0.75,8.573388203017834e-07,7544.656481481482,82.41467097542164,354.71575647950544
0.5,0.5,0.75,8.573388203017834e-07,7544.656481481482,83.518384560587,341.05194416351156
0.5,0.6,0.75,8.573388203017834e-07,7544.656481481482,82.00942816148842,362.25139578992025
0.5,0.7,0.75,8.573388203017834e-07,7544.656481481482,78.14297244144426,324.2781513651348
0.5,0.8,0.75,8.573388203017834e-07,7544.656481481482,85.72155288584761,366.71486176794883
0.5,0.9,0.75,8.573388203017834e-07,7544.656481481482,83.97257224134628,356.5220593681087
0.6,0.6,0.75,8.573388203017834e-07,7544.656481481482,80.40666403580563,338.4767089883998
0.6,0.7,0.75,8.573388203017834e-07,7544.656481481482,77.17745555794826,369.2740370067048
0.6,0.8,0.75,8.573388203017834e-07,7544.656481481482,77.01039064411417,357.2155459871632
0.6,0.9,0.75,8.573388203017834e-07,7544.656481481482,83.52431870793065,354.5364597117057
0.7,0.7,0.75,8.573388203017834e-07,7544.656481481482,80.88639709863436,360.3201345390967
0.7,0.8,0.75,8.573388203017834e-07,7544.656481481482,82.31001715129636,354.35471563871715
0.7,0.9,0.75,8.573388203017834e-07,7544.656481481482,83.55294113517758,357.6681412942225
0.8,0.8,0.75,8.573388203017834e-07,7544.656481481482,89.43998082287892,358.1724629869025
0.8,0.9,0.75,8.573388203017834e-07,7544.656481481482,79.86026243804001,388.9011648895108
0.9,0.9,0.75,8.573388203017834e-07,7544.656481481482,83.13872667173578,357.57069337174073
0.01,0.01,0.75,8.573388203017834e-07,7544.656481481482,82.44751099081326,352.0771143768157
0.01,0.02,0.75,8.573388203017834e-07,7544.656481481482,84.45512500938985,359.7233706874771
0.01,0.03,0.75,8.573388203017834e-07,7544.656481481482,81.91478837672278,352.0953220593107
0.01,0.04,0.75,8.573388203017834e-07,7544.656481481482,83.84975039531383,358.964437245274
0.01,0.05,0.75,8.573388203017834e-07,7544.656481481482,81.83809570024687,331.1003107978171
0.01,0.06,0.75,8.573388203017834e-07,7544.656481481482,81.94202963220873,362.6728954626936
0.01,0.07,0.75,8.573388203017834e-07,7544.656481481482,83.02164593134822,350.37496385124894
0.01,0.08,0.75,8.573388203017834e-07,7544.656481481482,82.14872232355681,373.81177259052055
0.01,0.09,0.75,8.573388203017834e-07,7544.656481481482,79.15514390111703,352.5208002125648
0.02,0.02,0.75,8.573388203017834e-07,7544.656481481482,80.52573259676635,367.4743514068668
0.02,0.03,0.75,8.573388203017834e-07,7544.656481481482,80.66728225819287,370.88872799548625
0.02,0.04,0.75,8.573388203017834e-07,7544.656481481482,85.22639566750938,363.3212353080361
0.02,0.05,0.75,8.573388203017834e-07,7544.656481481482,81.72707680690944,374.57106436254526
0.02,0.06,0.75,8.573388203017834e-07,7544.656481481482,87.23299925300485,354.20978839323834
0.02,0.07,0.75,8.573388203017834e-07,7544.656481481482,79.91497159604033,365.05936034809804
0.02,0.08,0.75,8.573388203017834e-07,7544.656481481482,90.61049383558047,361.3728281886347
0.02,0.09,0.75,8.573388203017834e-07,7544.656481481482,83.44838943382423,372.2556013681751
0.03,0.03,0.75,8.573388203017834e-07,7544.656481481482,79.18143656744634,338.81437394956293
0.03,0.04,0.75,8.573388203017834e-07,7544.656481481482,79.25642811494596,337.43939422101596
0.03,0.05,0.75,8.573388203017834e-07,7544.656481481482,84.67574934271539,374.20414369791376
0.03,0.06,0.75,8.573388203017834e-07,7544.656481481482,82.94443867150866,352.93684887785525
0.03,0.07,0.75,8.573388203017834e-07,7544.656481481482,85.79123697078903,330.6430258299548
