m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.6957936829567963,7.716049382716049e-07,7544.656481481482,9211.082612863609,88953.7957151169
0.1,0.2,1.6384797862360887,7.716049382716049e-07,7544.656481481482,1644.210548668375,14631.056506915309
0.1,0.3,2.5776802172773396,7.716049382716049e-07,7544.656481481482,410.8575242730629,
0.1,0.4,3.5129433857049017,7.716049382716049e-07,7544.656481481482,309.2360502612621,
0.1,0.5,4.4437238255549545,7.716049382716049e-07,7544.656481481482,178.9087788294187,
0.1,0.6,5.369354225688749,7.716049382716049e-07,7544.656481481482,123.86030669831737,
0.1,0.7,6.289006199146817,7.716049382716049e-07,7544.656481481482,80.16563439057913,
0.1,0.8,7.20163387054215,7.716049382716049e-07,7544.656481481482,64.46474765100862,
0.1,0.9,8.124460256902678,7.716049382716049e-07,7544.656481481482,67.106763288012,
0.2,0.2,0.6384797862360887,6.858710562414266e-07,7544.656481481482,8887.968837729208,96886.53448969917
0.2,0.3,1.07768021727734,6.858710562414266e-07,7544.656481481482,3008.196400772773,31936.65704398409
0.2,0.4,1.512943385704903,6.858710562414266e-07,7544.656481481482,1480.205798170932,18425.758898880234
0.2,0.5,1.9437238255549547,6.858710562414266e-07,7544.656481481482,878.7322609455521,10874.846555784336
0.2,0.6,2.3693542256887485,6.858710562414266e-07,7544.656481481482,616.3427559271856,
0.2,0.7,2.7890061991468182,6.858710562414266e-07,7544.656481481482,513.8138472278815,
0.2,0.8,3.223680689207993,6.858710562414266e-07,7544.656481481482,264.12597984911184,
0.2,0.9,4.401828373024444,6.858710562414266e-07,7544.656481481482,176.19346722674285,
0.3,0.3,0.5776802172773403,6.001371742112485e-07,7544.656481481482,9064.560128510693,128650.50073134039
0.3,0.4,0.8462767190382364,6.001371742112485e-07,7544.656481481482,5327.009717260884,57396.15966975314
0.3,0.5,1.110390492221622,6.001371742112485e-07,7544.656481481482,3014.6201471118575,31701.257338035022
0.3,0.6,1.369354225688749,6.001371742112485e-07,7544.656481481482,2227.6452161447532,21822.10358310182
0.3,0.7,1.640458799262465,6.001371742112485e-07,7544.656481481482,1419.376802891668,13906.661156049367
0.3,0.8,2.045994587032702,6.001371742112485e-07,7544.656481481482,969.5059223625988,
0.3,0.9,3.4099494362087515,6.001371742112485e-07,7544.656481481482,305.30249182146883,
0.4,0.4,0.5129433857049027,5.144032921810701e-07,7544.656481481482,14550.756400149607,153195.78202327638
0.4,0.5,0.6942122049418012,5.144032921810701e-07,7544.656481481482,8001.153130020672,82401.76426829313
0.4,0.6,0.8795437847470158,5.144032921810701e-07,7544.656481481482,4498.568779983944,52893.13965881358
0.4,0.7,1.1012194973732938,5.144032921810701e-07,7544.656481481482,3728.6012047578893,32295.708780110217
0.4,0.8,1.4835890505692235,5.144032921810701e-07,7544.656481481482,1775.0957051238984,17755.619029786045
0.4,0.9,2.829986971112398,5.144032921810701e-07,7544.656481481482,377.834657765446,
0.5,0.5,0.4437238255549546,4.286694101508917e-07,7544.656481481482,20561.633912676953,202994.49877254752
0.5,0.6,0.5847910971404157,4.286694101508917e-07,7544.656481481482,11496.806777671994,110758.60270267961
0.5,0.7,0.7665765271043028,4.286694101508917e-07,7544.656481481482,6190.379096069505,57360.69207654004
0.5,0.8,1.1061600259786581,4.286694101508917e-07,7544.656481481482,2971.3079968644297,35693.9548401057
0.5,0.9,2.289006199146819,4.286694101508917e-07,7544.656481481482,784.8352020492426,
0.6,0.6,0.36935422568874887,3.429355281207133e-07,7544.656481481482,21747.67087040934,334572.53612317465
0.6,0.7,0.5116199692419677,3.429355281207133e-07,7544.656481481482,12792.760054011938,170247.13239220518
0.6,0.8,0.7917477838308223,3.429355281207133e-07,7544.656481481482,6014.155133661495,62380.278442241404
0.6,0.9,1.7462739719496303,3.429355281207133e-07,7544.656481481482,1120.9768702156664,13400.313712152347
0.7,0.7,0.28900619914681797,2.572016460905351e-07,7544.656481481482,55241.076005737,490566.4604872667
