m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.75,8.573388203017834e-07,7544.656481481482,6327.92061310542,79839.93200929504
0.1,0.2,0.75,8.573388203017834e-07,7544.656481481482,5979.5996361342,72050.37037431155
0.1,0.3,0.75,8.573388203017834e-07,7544.656481481482,6506.901678357682,77670.52869982707
0.1,0.4,0.75,8.573388203017834e-07,7544.656481481482,6383.785757863551,73441.98351121454
0.1,0.5,0.75,8.573388203017834e-07,7544.656481481482,6141.022420009349,71492.0292999204
0.1,0.6,0.75,8.573388203017834e-07,7544.656481481482,6334.120808191014,71392.05375625192
0.1,0.7,0.75,8.573388203017834e-07,7544.656481481482,5882.9248611798785,68372.26605546176
0.1,0.8,0.75,8.573388203017834e-07,7544.656481481482,7067.435785592054,74912.17943910678
0.1,0.9,0.75,8.573388203017834e-07,7544.656481481482,5255.4910477992125,72798.80609898313
0.2,0.2,0.75,8.573388203017834e-07,7544.656481481482,6465.989366001854,66939.5559883725
0.2,0.3,0.75,8.573388203017834e-07,7544.656481481482,6411.924585594833,64909.790139921635
0.2,0.4,0.75,8.573388203017834e-07,7544.656481481482,6728.824928730515,65968.22140215317
0.2,0.5,0.75,8.573388203017834e-07,7544.656481481482,5319.568175005719,68941.0718486234
0.2,0.6,0.75,8.573388203017834e-07,7544.656481481482,5424.435603664223,65113.37806006131
0.2,0.7,0.75,8.573388203017834e-07,7544.656481481482,6271.785879356432,68120.87450015797
0.2,0.8,0.75,8.573388203017834e-07,7544.656481481482,5779.858773984092,73638.96747918549
0.2,0.9,0.75,8.573388203017834e-07,7544.656481481482,5498.165140369148,60784.269340143095
0.3,0.3,0.75,8.573388203017834e-07,7544.656481481482,6310.728541263831,64223.74584006318
0.3,0.4,0.75,8.573388203017834e-07,7544.656481481482,5881.989929410574,75981.61872351101
0.3,0.5,0.75,8.573388203017834e-07,7544.656481481482,5268.582928090214,74906.40933343924
0.3,0.6,0.75,8.573388203017834e-07,7544.656481481482,6281.151984594251,76257.37833016732
0.3,0.7,0.75,8.573388203017834e-07,7544.656481481482,6468.335493927043,71277.81522662684
0.3,0.8,0.75,8.573388203017834e-07,7544.656481481482,6832.071433321516,70736.4859585244
0.3,0.9,0.75,8.573388203017834e-07,7544.656481481482,6864.54261292721,73603.01616934586
0.4,0.4,0.75,8.573388203017834e-07,7544.656481481482,5866.045367413114,73604.12990924071
0.4,0.5,0.75,8.573388203017834e-07,7544.656481481482,6389.06643288306,70474.50661269613
0.4,0.6,0.75,8.573388203017834e-07,7544.656481481482,5591.292658627243,64086.8839476126
0.4,0.7,0.75,8.573388203017834e-07,7544.656481481482,7457.713274626411,66013.94281429885
0.4,0.8,0.75,8.573388203017834e-07,7544.656481481482,6037.32731112153,84319.64582771117
0.4,0.9,0.75,8.573388203017834e-07,7544.656481481482,7104.564199006189,70202.49798011474
0.5,0.5,0.75,8.573388203017834e-07,7544.656481481482,6307.567199616941,64176.5838076524
0.5,0.6,0.75,8.573388203017834e-07,7544.656481481482,6957.754760291644,70850.50178346613
