m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.75,8.573388203017834e-07,7544.656481481482,100.53788152101613,390.8312357751427
0.1,0.2,0.75,8.573388203017834e-07,7544.656481481482,102.54439656851822,423.0215762533528
0.1,0.3,0.75,8.573388203017834e-07,7544.656481481482,114.69012592350077,427.86766534233345
0.1,0.4,0.75,8.573388203017834e-07,7544.656481481482,128.60228684691194,427.00741748354307
0.1,0.5,0.75,8.573388203017834e-07,7544.656481481482,123.4694642286523,419.01114941507393
0.1,0.6,0.75,8.573388203017834e-07,7544.656481481482,123.44646796188273,423.8701896759577
0.1,0.7,0.75,8.573388203017834e-07,7544.656481481482,138.50303428415455,468.8086550132141
0.1,0.8,0.75,8.573388203017834e-07,7544.656481481482,156.01546504986294,474.83060222999006
0.1,0.9,0.75,8.573388203017834e-07,7544.656481481482,164.2512976521865,456.9610455072009
0.2,0.2,0.75,8.573388203017834e-07,7544.656481481482,121.58864295738448,435.195238208254
0.2,0.3,0.75,8.573388203017834e-07,7544.656481481482,135.2200031010909,463.3760684016319
0.2,0.4,0.75,8.573388203017834e-07,7544.656481481482,129.0416117100638,456.90900562274516
0.2,0.5,0.75,8.573388203017834e-07,7544.656481481482,139.22294896041916,471.9844285377132
0.2,0.6,0.75,8.573388203017834e-07,7544.656481481482,138.01636537022625,480.56865442813097
0.2,0.7,0.75,8.573388203017834e-07,7544.656481481482,172.96408040093317,466.07685994912276
0.2,0.8,0.75,8.573388203017834e-07,7544.656481481482,164.72963186351163,515.8570404892291
0.2,0.9,0.75,8.573388203017834e-07,7544.656481481482,180.089013231955,520.2136651171164
0.3,0.3,0.75,8.573388203017834e-07,7544.656481481482,159.88233663314557,501.38998099152116
0.3,0.4,0.75,8.573388203017834e-07,7544.656481481482,159.24381267331412,522.1328062836476
0.3,0.5,0.75,8.573388203017834e-07,7544.656481481482,146.47168317349062,535.2768607438479
0.3,0.6,0.75,8.573388203017834e-07,7544.656481481482,166.77098692023114,533.4603927832995
0.3,0.7,0.75,8.573388203017834e-07,7544.656481481482,169.08196551458835,561.7452983692849
0.3,0.8,0.75,8.573388203017834e-07,7544.656481481482,197.86532230469373,602.9892751044605
0.3,0.9,0.75,8.573388203017834e-07,7544.656481481482,190.88666405832723,579.4295255300897
0.4,0.4,0.75,8.573388203017834e-07,7544.656481481482,170.5601751945545,595.101420635663
0.4,0.5,0.75,8.573388203017834e-07,7544.656481481482,176.8916018668657,616.1196045334453
0.4,0.6,0.75,8.573388203017834e-07,7544.656481481482,181.48189641138308,618.6754736720912
0.4,0.7,0.75,8.573388203017834e-07,7544.656481481482,178.1077172595377,635.297685926336
0.4,0.8,0.75,8.573388203017834e-07,7544.656481481482,211.06042635885103,696.3096453171152
0.4,0.9,0.75,8.573388203017834e-07,7544.656481481482,213.79760312849493,679.9607126981358
0.5,0.5,0.75,8.573388203017834e-07,7544.656481481482,210.58173368325328,696.6296717191176
0.5,0.6,0.75,8.573388203017834e-07,7544.656481481482,206.43303995471408,736.4442763681668
0.5,0.7,0.75,8.573388203017834e-07,7544.656481481482,214.7755074918797,767.9118453647571
0.5,0.8,0.75,8.573388203017834e-07,7544.656481481482,228.87178104421642,779.9165380372116
0.5,0.9,0.75,8.573388203017834e-07,7544.656481481482,242.2677724106079,845.1262739115829
0.6,0.6,0.75,8.573388203017834e-07,7544.656481481482,247.76065846695502,955.1897744827447
0.6,0.7,0.75,8.573388203017834e-07,7544.656481481482,261.1960743898046,940.016176682425
0.6,0.8,0.75,8.573388203017834e-07,7544.656481481482,277.5631921695933,981.5211371231355
0.6,0.9,0.75,8.573388203017834e-07,7544.656481481482,315.4621302765612,999.2472343264643
0.7,0.7,0.75,8.573388203017834e-07,7544.656481481482,329.45057765378675,1201.3750119302247
0.7,0.8,0.75,8.573388203017834e-07,7544.656481481482,356.7725219619478,1179.2694391718135
0.7,0.9,0.75,8.573388203017834e-07,7544.656481481482,398.780851127985,1343.473668562607
0.8,0.8,0.75,8.573388203017834e-07,7544.656481481482,478.8009646781187,1805.4194460094031
0.8,0.9,0.75,8.573388203017834e-07,7544.656481481482,565.5062798680923,2014.607079262666
0.9,0.9,0.75,8.573388203017834e-07,7544.656481481482,836.2435104973416,3694.8674897175447
0.01,0.01,0.75,8.573388203017834e-07,7544.656481481482,85.6300996286117,379.9504222732723
0.01,0.02,0.75,8.573388203017834e-07,7544.656481481482,90.08780152191841,382.81150831907337
0.01,0.03,0.75,8.573388203017834e-07,7544.656481481482,89.38340477078214,328.5561162374065
0.01,0.04,0.75,8.573388203017834e-07,7544.656481481482,92.90075553988875,349.95551322478406
0.01,0.05,0.75,8.573388203017834e-07,7544.656481481482,86.73825663711102,348.757324347273
0.01,0.06,0.75,8.573388203017834e-07,7544.656481481482,89.67084618757342,346.3273450932838
0.01,0.07,0.75,8.573388203017834e-07,7544.656481481482,90.03512473630325,350.32364974907017
0.01,0.08,0.75,8.573388203017834e-07,7544.656481481482,81.08024286473263,358.48483792704764
0.01,0.09,0.75,8.573388203017834e-07,7544.656481481482,94.74886945092061,353.2575739760679
0.02,0.02,0.75,8.573388203017834e-07,7544.656481481482,81.64060110559114,368.8936456210881
0.02,0.03,0.75,8.573388203017834e-07,7544.656481481482,93.09365452017667,337.3434477244692
0.02,0.04,0.75,8.573388203017834e-07,7544.656481481482,86.43040304512552,354.42281984486607
0.02,0.05,0.75,8.573388203017834e-07,7544.656481481482,86.98004430286223,357.11940319139114
0.02,0.06,0.75,8.573388203017834e-07,7544.656481481482,83.82722836636718,365.7514563924395
0.02,0.07,0.75,8.573388203017834e-07,7544.656481481482,87.8754037464714,369.8595983692754
0.02,0.08,0.75,8.573388203017834e-07,7544.656481481482,94.56143451044245,362.1018231258908
0.02,0.09,0.75,8.573388203017834e-07,7544.656481481482,93.27924761990592,360.20136962069733
0.03,0.03,0.75,8.573388203017834e-07,7544.656481481482,88.80187437638804,361.8599695721079
0.03,0.04,0.75,8.573388203017834e-07,7544.656481481482,90.37145080083151,352.9345575262092
0.03,0.05,0.75,8.573388203017834e-07,7544.656481481482,94.19096654696375,375.1342383117401
0.03,0.06,0.75,8.573388203017834e-07,7544.656481481482,95.61732047919087,367.9614647842715
0.03,0.07,0.75,8.573388203017834e-07,7544.656481481482,87.58734422178392,368.82457795645684
0.03,0.08,0.75,8.573388203017834e-07,7544.656481481482,94.1788037000192,349.27515697983
0.03,0.09,0.75,8.573388203017834e-07,7544.656481481482,86.1125801733279,379.9682567944943
0.04,0.04,0.75,8.573388203017834e-07,7544.656481481482,93.77507533940553,373.24293275969814
0.04,0.05,0.75,8.573388203017834e-07,7544.656481481482,82.54322959059547,373.59871515326086
0.04,0.06,0.75,8.573388203017834e-07,7544.656481481482,92.47496343068488,352.3287636291837
0.04,0.07,0.75,8.573388203017834e-07,7544.656481481482,87.66975801744739,374.9915584803332
0.04,0.08,0.75,8.573388203017834e-07,7544.656481481482,95.69458556559982,370.71845388428625
0.04,0.09,0.75,8.573388203017834e-07,7544.656481481482,98.17485686039423,387.1617333535149
0.05,0.05,0.75,8.573388203017834e-07,7544.656481481482,93.03312242014161,399.4284905028059
0.05,0.06,0.75,8.573388203017834e-07,7544.656481481482,85.41495346335671,369.6606337440781
0.05,0.07,0.75,8.573388203017834e-07,7544.656481481482,89.22494814415707,380.1395279281443
0.05,0.08,0.75,8.573388203017834e-07,7544.656481481482,93.67658626862942,364.92994799744395
0.05,0.09,0.75,8.573388203017834e-07,7544.656481481482,89.33619765935715,383.09134807363444
0.06,0.06,0.75,8.573388203017834e-07,7544.656481481482,98.76549796345486,350.8889359416293
0.06,0.07,0.75,8.573388203017834e-07,7544.656481481482,92.03829142120738,375.05983671052275
0.06,0.08,0.75,8.573388203017834e-07,7544.656481481482,91.59386979581235,383.77798449995413
0.06,0.09,0.75,8.573388203017834e-07,7544.656481481482,101.03436874440845,383.0407357645723
0.07,0.07,0.75,8.573388203017834e-07,7544.656481481482,90.39507481517995,372.80191667039867
0.07,0.08,0.75,8.573388203017834e-07,7544.656481481482,104.67979731992585,348.90609043050705
0.07,0.09,0.75,8.573388203017834e-07,7544.656481481482,94.2967921331259,375.8015573898732
0.08,0.08,0.75,8.573388203017834e-07,7544.656481481482,95.3751136848483,392.73074335591366
0.08,0.09,0.75,8.573388203017834e-07,7544.656481481482,97.04051158373333,376.71107404270816
0.09,0.09,0.75,8.573388203017834e-07,7544.656481481482,94.66566531098564,411.6490863184142
0.11,0.11,0.75,8.573388203017834e-07,7544.656481481482,105.11173426399526,372.80894552380033
0.12,0.12,0.75,8.573388203017834e-07,7544.656481481482,101.35246524311137,400.5095792693922
0.13,0.13,0.75,8.573388203017834e-07,7544.656481481482,107.44221108593776,420.8308751752959
0.14,0.14,0.75,8.573388203017834e-07,7544.656481481482,107.63057503266441,404.1146661921637
0.15,0.15,0.75,8.573388203017834e-07,7544.656481481482,109.67361346068067,400.5939090878204
0.16,0.16,0.75,8.573388203017834e-07,7544.656481481482,119.14369537159882,422.3683017270696
0.17,0.17,0.75,8.573388203017834e-07,7544.656481481482,111.85761519337109,424.2949421590795
0.18,0.18,0.75,8.573388203017834e-07,7544.656481481482,108.5389239661576,440.6735713017472
0.19,0.19,0.75,8.573388203017834e-07,7544.656481481482,110.92092113220642,455.7265901948568
0.21,0.21,0.75,8.573388203017834e-07,7544.656481481482,123.93498049288127,467.8233796385336
0.22,0.22,0.75,8.573388203017834e-07,7544.656481481482,127.70221686675455,456.9026946272977
0.23,0.23,0.75,8.573388203017834e-07,7544.656481481482,127.1232575769948,459.8817420882826
0.24,0.24,0.75,8.573388203017834e-07,7544.656481481482,128.3901687997151,459.18867605052526
0.25,0.25,0.75,8.573388203017834e-07,7544.656481481482,147.212833077541,500.1662964805028
0.26,0.26,0.75,8.573388203017834e-07,7544.656481481482,129.55443378971884,478.45204161524305
0.27,0.27,0.75,8.573388203017834e-07,7544.656481481482,139.35628966988466,485.1871016296254
0.28,0.28,0.75,8.573388203017834e-07,7544.656481481482,142.5785042550688,478.23956064146654
0.29,0.29,0.75,8.573388203017834e-07,7544.656481481482,140.22621665419658,495.3508738726121
0.31,0.31,0.75,8.573388203017834e-07,7544.656481481482,141.06767623686522,501.5927486555609
0.32,0.32,0.75,8.573388203017834e-07,7544.656481481482,158.0403032798426,536.3798352585077
0.33,0.33,0.75,8.573388203017834e-07,7544.656481481482,148.9517054901783,533.6825517649197
0.34,0.34,0.75,8.573388203017834e-07,7544.656481481482,153.52196133928746,512.8236882256125
0.35,0.35,0.75,8.573388203017834e-07,7544.656481481482,156.52090063339122,541.0705520399262
0.36,0.36,0.75,8.573388203017834e-07,7544.656481481482,150.62343803930426,550.3207717282804
0.37,0.37,0.75,8.573388203017834e-07,7544.656481481482,170.1199316147482,543.350119504394
