m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.8069717828662295,9.525986892242036e-07,7544.656481481482,8796.235731322064,74251.18365152444
0.1,0.2,,9.525986892242036e-07,7544.656481481482,,
0.1,0.3,,9.525986892242036e-07,7544.656481481482,,
0.1,0.4,,9.525986892242036e-07,7544.656481481482,,
0.1,0.5,,9.525986892242036e-07,7544.656481481482,,
0.1,0.6,,9.525986892242036e-07,7544.656481481482,,
0.1,0.7,,9.525986892242036e-07,7544.656481481482,,
0.1,0.8,,9.525986892242036e-07,7544.656481481482,,
0.1,0.9,,9.525986892242036e-07,7544.656481481482,,
0.2,0.2,0.8739050240436923,1.0716735253772291e-06,7544.656481481482,9093.823023913561,82646.17821442874
0.2,0.3,0.34057138791833685,1.0716735253772291e-06,7544.656481481482,46295.650970948875,520254.70711459516
0.2,0.4,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.5,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.6,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.7,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.8,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.9,,1.0716735253772291e-06,7544.656481481482,,
0.3,0.3,0.9538617424956807,1.2247697432882618e-06,7544.656481481482,11813.66072545411,90564.31190996167
0.3,0.4,0.6213797386317867,1.2247697432882618e-06,7544.656481481482,23907.797536865542,222324.4984914203
0.3,0.5,0.16025324151645817,1.2247697432882618e-06,7544.656481481482,245932.41803535083,3454245.938445015
0.3,0.6,,1.2247697432882618e-06,7544.656481481482,,
0.3,0.7,,1.2247697432882618e-06,7544.656481481482,,
0.3,0.8,,1.2247697432882618e-06,7544.656481481482,,
0.3,0.9,,1.2247697432882618e-06,7544.656481481482,,
0.4,0.4,1.051404215356737,1.4288980338363059e-06,7544.656481481482,15335.855643861725,116737.40125965737
0.4,0.5,0.8305754872671981,1.4288980338363059e-06,7544.656481481482,24810.67469045328,161892.24178431262
0.4,0.6,0.5266041229989408,1.4288980338363059e-06,7544.656481481482,43278.932204821715,485153.26611512376
