m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.75,8.573388203017834e-07,7544.656481481482,8838.192790121446,79377.84224940152
0.1,0.2,0.75,8.573388203017834e-07,7544.656481481482,7606.514602522444,97652.3426940424
0.1,0.3,0.75,8.573388203017834e-07,7544.656481481482,12131.04324622541,104444.82954677918
0.1,0.4,0.75,8.573388203017834e-07,7544.656481481482,12845.30863502124,98494.85777521328
0.1,0.5,0.75,8.573388203017834e-07,7544.656481481482,10819.242397615271,104019.21403090561
0.1,0.6,0.75,8.573388203017834e-07,7544.656481481482,10222.216435412027,106882.54256397183
0.1,0.7,0.75,8.573388203017834e-07,7544.656481481482,12881.723261550895,122422.7649250413
0.1,0.8,0.75,8.573388203017834e-07,7544.656481481482,15458.460665958353,112371.37257603348
0.1,0.9,0.75,8.573388203017834e-07,7544.656481481482,17224.621313197425,122524.48248826854
0.2,0.2,0.75,8.573388203017834e-07,7544.656481481482,9504.074467201846,99994.81978234618
0.2,0.3,0.75,8.573388203017834e-07,7544.656481481482,14699.347551023087,116544.7669444011
0.2,0.4,0.75,8.573388203017834e-07,7544.656481481482,11807.256568505201,127259.23581964172
0.2,0.5,0.75,8.573388203017834e-07,7544.656481481482,14049.031495293184,132767.59697464723
0.2,0.6,0.75,8.573388203017834e-07,7544.656481481482,12950.561957514776,145773.9980225824
0.2,0.7,0.75,8.573388203017834e-07,7544.656481481482,18078.690260458134,133118.87982714374
0.2,0.8,0.75,8.573388203017834e-07,7544.656481481482,18800.66235914771,159237.3691190803
0.2,0.9,0.75,8.573388203017834e-07,7544.656481481482,18178.016874119,162335.72974408916
0.3,0.3,0.75,8.573388203017834e-07,7544.656481481482,16974.398121193863,160718.58998593074
0.3,0.4,0.75,8.573388203017834e-07,7544.656481481482,18123.24110967742,159139.87206687796
0.3,0.5,0.75,8.573388203017834e-07,7544.656481481482,14168.301251380724,164421.38505103238
0.3,0.6,0.75,8.573388203017834e-07,7544.656481481482,20693.84616634993,174718.29732222226
0.3,0.7,0.75,8.573388203017834e-07,7544.656481481482,20566.06422076912,179351.84289464087
0.3,0.8,0.75,8.573388203017834e-07,7544.656481481482,27953.704071014843,198279.79173675395
0.3,0.9,0.75,8.573388203017834e-07,7544.656481481482,26469.025080971533,193373.07835145458
0.4,0.4,0.75,8.573388203017834e-07,7544.656481481482,21589.122917109584,215942.3947261891
