m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.0,8.573388203017834e-07,7544.656481481482,68.22916434114846,254.3550347214919
0.1,0.2,1.0,8.573388203017834e-07,7544.656481481482,62.350964391641554,271.5234985143811
0.1,0.3,1.0,8.573388203017834e-07,7544.656481481482,63.377710364765136,268.1045877279337
0.1,0.4,1.0,8.573388203017834e-07,7544.656481481482,66.34033860398678,261.7881366649957
0.1,0.5,1.0,8.573388203017834e-07,7544.656481481482,62.36399861607287,264.87548544279866
0.1,0.6,1.0,8.573388203017834e-07,7544.656481481482,62.51242015112328,271.8078249255153
0.1,0.7,1.0,8.573388203017834e-07,7544.656481481482,62.334822318134904,251.26930301146402
0.1,0.8,1.0,8.573388203017834e-07,7544.656481481482,63.33251858338546,260.4164658932875
0.1,0.9,1.0,8.573388203017834e-07,7544.656481481482,59.41906460773106,267.74785328289295
0.2,0.2,1.0,8.573388203017834e-07,7544.656481481482,61.94388743523224,278.84961934524375
0.2,0.3,1.0,8.573388203017834e-07,7544.656481481482,67.41195275309761,262.39592999657776
0.2,0.4,1.0,8.573388203017834e-07,7544.656481481482,58.46293966894245,271.2057176503614
0.2,0.5,1.0,8.573388203017834e-07,7544.656481481482,61.58303416755636,263.06511580520595
0.2,0.6,1.0,8.573388203017834e-07,7544.656481481482,61.0782078711505,256.6812127665895
0.2,0.7,1.0,8.573388203017834e-07,7544.656481481482,61.18925268828977,267.4311296909872
0.2,0.8,1.0,8.573388203017834e-07,7544.656481481482,60.54854739963412,276.2957001240864
0.2,0.9,1.0,8.573388203017834e-07,7544.656481481482,56.40611171984488,258.8793345290612
0.3,0.3,1.0,8.573388203017834e-07,7544.656481481482,63.29908641339761,267.227992411779
0.3,0.4,1.0,8.573388203017834e-07,7544.656481481482,60.31775889638312,259.41356145069085
0.3,0.5,1.0,8.573388203017834e-07,7544.656481481482,62.31481793881869,259.8961542196147
0.3,0.6,1.0,8.573388203017834e-07,7544.656481481482,60.513861699661646,275.26248560406674
0.3,0.7,1.0,8.573388203017834e-07,7544.656481481482,61.63162936752222,272.07156726228806
0.3,0.8,1.0,8.573388203017834e-07,7544.656481481482,65.52558215256155,248.4299383063825
0.3,0.9,1.0,8.573388203017834e-07,7544.656481481482,70.47358102471469,246.2811093334433
0.4,0.4,1.0,8.573388203017834e-07,7544.656481481482,65.14408996633267,272.28974732174817
0.4,0.5,1.0,8.573388203017834e-07,7544.656481481482,59.53404696484603,251.15902975824585
0.4,0.6,1.0,8.573388203017834e-07,7544.656481481482,69.43020723483835,258.3501907079343
0.4,0.7,1.0,8.573388203017834e-07,7544.656481481482,63.73500875033561,273.16158828289076
0.4,0.8,1.0,8.573388203017834e-07,7544.656481481482,60.64939866077765,265.53841397329626
0.4,0.9,1.0,8.573388203017834e-07,7544.656481481482,58.68729161919118,257.9448589448999
0.5,0.5,1.0,8.573388203017834e-07,7544.656481481482,62.471483867074646,260.88511088098835
0.5,0.6,1.0,8.573388203017834e-07,7544.656481481482,59.60416483198342,257.5848723409168
0.5,0.7,1.0,8.573388203017834e-07,7544.656481481482,62.888133232939204,256.6922605989031
0.5,0.8,1.0,8.573388203017834e-07,7544.656481481482,61.62856849096772,252.85930286953146
0.5,0.9,1.0,8.573388203017834e-07,7544.656481481482,64.23486011006288,256.02090372859686
0.6,0.6,1.0,8.573388203017834e-07,7544.656481481482,60.972292958854084,265.2657800709226
0.6,0.7,1.0,8.573388203017834e-07,7544.656481481482,64.48789013172346,280.26839553529027
0.6,0.8,1.0,8.573388203017834e-07,7544.656481481482,59.93062866866075,264.8142986052232
0.6,0.9,1.0,8.573388203017834e-07,7544.656481481482,61.68171874747523,272.4241609457873
0.7,0.7,1.0,8.573388203017834e-07,7544.656481481482,61.868805501365955,271.52442849651044
0.7,0.8,1.0,8.573388203017834e-07,7544.656481481482,57.79315990131085,257.8302339425966
0.7,0.9,1.0,8.573388203017834e-07,7544.656481481482,59.968891652378574,272.0661506923812
0.8,0.8,1.0,8.573388203017834e-07,7544.656481481482,59.50953627199189,257.02210131599725
0.8,0.9,1.0,8.573388203017834e-07,7544.656481481482,63.45139226280111,282.024483272751
0.9,0.9,1.0,8.573388203017834e-07,7544.656481481482,61.96801509734204,256.28371790311746
0.01,0.01,1.0,8.573388203017834e-07,7544.656481481482,55.60469282582312,273.8130121012037
0.01,0.02,1.0,8.573388203017834e-07,7544.656481481482,54.08156823003116,262.265613114681
0.01,0.03,1.0,8.573388203017834e-07,7544.656481481482,67.761147049689,268.29579310911066
0.01,0.04,1.0,8.573388203017834e-07,7544.656481481482,63.608960203690394,264.26689181155797
0.01,0.05,1.0,8.573388203017834e-07,7544.656481481482,63.22519345320698,276.760162834749
0.01,0.06,1.0,8.573388203017834e-07,7544.656481481482,66.57055595963536,264.486320124547
0.01,0.07,1.0,8.573388203017834e-07,7544.656481481482,61.928159575536206,275.19571269720257
0.01,0.08,1.0,8.573388203017834e-07,7544.656481481482,60.85835706649367,270.3175120484912
0.01,0.09,1.0,8.573388203017834e-07,7544.656481481482,64.00900184253568,247.46007827357326
0.02,0.02,1.0,8.573388203017834e-07,7544.656481481482,55.25118770435692,292.2705884757659
0.02,0.03,1.0,8.573388203017834e-07,7544.656481481482,59.415237098019915,272.61381565103505
0.02,0.04,1.0,8.573388203017834e-07,7544.656481481482,62.894264136891664,266.248505126212
0.02,0.05,1.0,8.573388203017834e-07,7544.656481481482,62.702276479890365,268.91582328529705
0.02,0.06,1.0,8.573388203017834e-07,7544.656481481482,64.45811794412303,260.82217368147576
0.02,0.07,1.0,8.573388203017834e-07,7544.656481481482,59.0628932848048,261.6170737041053
0.02,0.08,1.0,8.573388203017834e-07,7544.656481481482,61.67011474316518,269.2823079835004
0.02,0.09,1.0,8.573388203017834e-07,7544.656481481482,61.41944996137268,261.15396266880146
0.03,0.03,1.0,8.573388203017834e-07,7544.656481481482,60.61643905112677,284.92500779537613
0.03,0.04,1.0,8.573388203017834e-07,7544.656481481482,58.64810232544084,258.92903798712103
0.03,0.05,1.0,8.573388203017834e-07,7544.656481481482,61.34132889246978,272.1534672808591
0.03,0.06,1.0,8.573388203017834e-07,7544.656481481482,54.052216341822934,266.21688652443123
0.03,0.07,1.0,8.573388203017834e-07,7544.656481481482,60.18126841056722,264.0976366444818
0.03,0.08,1.0,8.573388203017834e-07,7544.656481481482,60.0709567988246,261.56736332300744
0.03,0.09,1.0,8.573388203017834e-07,7544.656481481482,61.920300969083094,253.526428931929
0.04,0.04,1.0,8.573388203017834e-07,7544.656481481482,59.79128933973366,250.69720000808354
0.04,0.05,1.0,8.573388203017834e-07,7544.656481481482,58.78150059261365,266.68061585969485
0.04,0.06,1.0,8.573388203017834e-07,7544.656481481482,61.3211606125763,268.282663689508
0.04,0.07,1.0,8.573388203017834e-07,7544.656481481482,58.23634092388828,271.53751293651317
0.04,0.08,1.0,8.573388203017834e-07,7544.656481481482,59.66101384407922,263.0010566354578
0.04,0.09,1.0,8.573388203017834e-07,7544.656481481482,60.79853090424904,264.4585001137956
0.05,0.05,1.0,8.573388203017834e-07,7544.656481481482,61.15136698826027,259.0395532388971
0.05,0.06,1.0,8.573388203017834e-07,7544.656481481482,60.55693066683869,263.0215458259013
0.05,0.07,1.0,8.573388203017834e-07,7544.656481481482,58.756839250601026,251.2406515843721
0.05,0.08,1.0,8.573388203017834e-07,7544.656481481482,61.57119850875999,272.9596426582808
0.05,0.09,1.0,8.573388203017834e-07,7544.656481481482,63.665152956534975,266.9645624222893
0.06,0.06,1.0,8.573388203017834e-07,7544.656481481482,64.55083812335175,260.3821270984455
0.06,0.07,1.0,8.573388203017834e-07,7544.656481481482,62.757119205776824,265.52767824598993
0.06,0.08,1.0,8.573388203017834e-07,7544.656481481482,62.309506569252264,271.9188408824898
0.06,0.09,1.0,8.573388203017834e-07,7544.656481481482,63.40062020725299,252.76848306889252
0.07,0.07,1.0,8.573388203017834e-07,7544.656481481482,58.042450528218225,264.31357200915613
0.07,0.08,1.0,8.573388203017834e-07,7544.656481481482,61.66859477871908,266.83394025256223
0.07,0.09,1.0,8.573388203017834e-07,7544.656481481482,59.363541451242696,270.1016200899549
0.08,0.08,1.0,8.573388203017834e-07,7544.656481481482,62.66500736610599,256.70105048845824
0.08,0.09,1.0,8.573388203017834e-07,7544.656481481482,60.39086692800058,270.4015792395733
0.09,0.09,1.0,8.573388203017834e-07,7544.656481481482,62.17885383955989,274.3294418678461
0.11,0.11,1.0,8.573388203017834e-07,7544.656481481482,63.6699366524927,268.20177077414763
0.12,0.12,1.0,8.573388203017834e-07,7544.656481481482,61.269093184945376,266.4778855387096
0.13,0.13,1.0,8.573388203017834e-07,7544.656481481482,63.75508494056065,257.2910323115569
0.14,0.14,1.0,8.573388203017834e-07,7544.656481481482,60.80969841941285,279.7117790622002
0.15,0.15,1.0,8.573388203017834e-07,7544.656481481482,58.17134756314092,273.89818253796665
0.16,0.16,1.0,8.573388203017834e-07,7544.656481481482,65.04042135246814,265.0090149627304
0.17,0.17,1.0,8.573388203017834e-07,7544.656481481482,58.790690358239544,262.6595907409234
0.18,0.18,1.0,8.573388203017834e-07,7544.656481481482,60.732253633526526,262.2878373556094
0.19,0.19,1.0,8.573388203017834e-07,7544.656481481482,57.16476853331756,259.4235309625016
0.21,0.21,1.0,8.573388203017834e-07,7544.656481481482,55.417184399377334,278.6003185981563
0.22,0.22,1.0,8.573388203017834e-07,7544.656481481482,62.544221209498104,256.7297396941139
0.23,0.23,1.0,8.573388203017834e-07,7544.656481481482,63.168841643719624,277.43129072136765
0.24,0.24,1.0,8.573388203017834e-07,7544.656481481482,60.909626745922544,269.8243167328375
0.25,0.25,1.0,8.573388203017834e-07,7544.656481481482,66.12977772046978,263.86454894686835
0.26,0.26,1.0,8.573388203017834e-07,7544.656481481482,58.74630496983742,266.84104908423933
0.27,0.27,1.0,8.573388203017834e-07,7544.656481481482,58.48404735956523,258.1238452133888
0.28,0.28,1.0,8.573388203017834e-07,7544.656481481482,55.884458130155295,274.27021566865017
0.29,0.29,1.0,8.573388203017834e-07,7544.656481481482,56.749679115027384,274.45924929154944
0.31,0.31,1.0,8.573388203017834e-07,7544.656481481482,60.708050905365546,259.7780642671369
0.32,0.32,1.0,8.573388203017834e-07,7544.656481481482,60.32095645500394,270.65672423156064
0.33,0.33,1.0,8.573388203017834e-07,7544.656481481482,60.414321634826294,262.5813611458647
0.34,0.34,1.0,8.573388203017834e-07,7544.656481481482,60.33512082109378,265.0657362212691
0.35,0.35,1.0,8.573388203017834e-07,7544.656481481482,60.77434279011043,279.049217968265
0.36,0.36,1.0,8.573388203017834e-07,7544.656481481482,63.43453984702127,274.9962724418614
0.37,0.37,1.0,8.573388203017834e-07,7544.656481481482,62.47474672496283,256.635222858267
0.38,0.38,1.0,8.573388203017834e-07,7544.656481481482,59.44885076835679,253.62629459063737
0.39,0.39,1.0,8.573388203017834e-07,7544.656481481482,62.9143462085418,251.53943631883143
0.41,0.41,1.0,8.573388203017834e-07,7544.656481481482,62.28087181217685,268.9994872964235
0.42,0.42,1.0,8.573388203017834e-07,7544.656481481482,61.31912759151806,251.58008596839184
0.43,0.43,1.0,8.573388203017834e-07,7544.656481481482,57.82839720262881,268.34741772417124
0.44,0.44,1.0,8.573388203017834e-07,7544.656481481482,59.8175446807569,274.0667939938058
0.45,0.45,1.0,8.573388203017834e-07,7544.656481481482,63.223607484167054,274.88415722216035
0.46,0.46,1.0,8.573388203017834e-07,7544.656481481482,62.50005356455716,270.5013250492864
0.47,0.47,1.0,8.573388203017834e-07,7544.656481481482,64.57187455667062,262.61088451029065
0.48,0.48,1.0,8.573388203017834e-07,7544.656481481482,59.763641172072724,268.09733184014783
0.49,0.49,1.0,8.573388203017834e-07,7544.656481481482,68.69381406771427,265.95935885845006
0.51,0.51,1.0,8.573388203017834e-07,7544.656481481482,60.65567776864858,258.9238661760365
0.52,0.52,1.0,8.573388203017834e-07,7544.656481481482,61.202051499248846,258.3975427099751
0.53,0.53,1.0,8.573388203017834e-07,7544.656481481482,59.50081541618493,255.6484528265745
0.54,0.54,1.0,8.573388203017834e-07,7544.656481481482,63.10636910535845,282.8566139100286
0.55,0.55,1.0,8.573388203017834e-07,7544.656481481482,62.0185291435461,266.5718475123834
0.56,0.56,1.0,8.573388203017834e-07,7544.656481481482,63.380459587710774,272.9001677790783
0.57,0.57,1.0,8.573388203017834e-07,7544.656481481482,65.36833000519385,255.5877952710521
0.58,0.58,1.0,8.573388203017834e-07,7544.656481481482,62.82495191370303,260.53304690977365
0.59,0.59,1.0,8.573388203017834e-07,7544.656481481482,62.561858315824374,271.4392065209365
0.61,0.61,1.0,8.573388203017834e-07,7544.656481481482,63.373951585951914,266.6829931516221
0.62,0.62,1.0,8.573388203017834e-07,7544.656481481482,58.97636853279193,253.28149446617087
0.63,0.63,1.0,8.573388203017834e-07,7544.656481481482,62.89450895772563,253.28787387673148
0.64,0.64,1.0,8.573388203017834e-07,7544.656481481482,59.15639603698823,275.42090139890314
0.65,0.65,1.0,8.573388203017834e-07,7544.656481481482,65.74532306410877,264.35107206801877
0.66,0.66,1.0,8.573388203017834e-07,7544.656481481482,60.02274024198053,251.08531197434593
0.67,0.67,1.0,8.573388203017834e-07,7544.656481481482,59.233418041195044,262.17190039578657
0.68,0.68,1.0,8.573388203017834e-07,7544.656481481482,58.71449987400012,258.9100098164975
0.69,0.69,1.0,8.573388203017834e-07,7544.656481481482,57.706605580609356,264.51629524668203
0.71,0.71,1.0,8.573388203017834e-07,7544.656481481482,65.29590381798181,262.84053070496367
0.72,0.72,1.0,8.573388203017834e-07,7544.656481481482,63.047922840802045,249.21404986552483
0.73,0.73,1.0,8.573388203017834e-07,7544.656481481482,61.242383104388836,265.27170804979687
0.74,0.74,1.0,8.573388203017834e-07,7544.656481481482,62.50749923911167,279.58373997021164
0.75,0.75,1.0,8.573388203017834e-07,7544.656481481482,59.21746665885295,268.5340577825006
0.76,0.76,1.0,8.573388203017834e-07,7544.656481481482,63.11536111987621,256.9449186608592
0.77,0.77,1.0,8.573388203017834e-07,7544.656481481482,64.18221397942676,276.1105829963142
0.78,0.78,1.0,8.573388203017834e-07,7544.656481481482,60.83850054332963,277.6580610159368
0.79,0.79,1.0,8.573388203017834e-07,7544.656481481482,60.887278925607546,257.62572582441953
0.81,0.81,1.0,8.573388203017834e-07,7544.656481481482,60.421503216151166,255.91680848165345
0.82,0.82,1.0,8.573388203017834e-07,7544.656481481482,59.97512803569532,262.4326965049613
0.83,0.83,1.0,8.573388203017834e-07,7544.656481481482,59.24915919539648,279.56259701461727
0.84,0.84,1.0,8.573388203017834e-07,7544.656481481482,60.67625780227816,264.0484281302147
0.85,0.85,1.0,8.573388203017834e-07,7544.656481481482,61.39155625506113,280.77978048942725
0.86,0.86,1.0,8.573388203017834e-07,7544.656481481482,59.81800383571727,268.7397824142869
0.87,0.87,1.0,8.573388203017834e-07,7544.656481481482,60.11384555901022,261.168755243512
0.88,0.88,1.0,8.573388203017834e-07,7544.656481481482,60.409505442246164,261.9842169563006
0.89,0.89,1.0,8.573388203017834e-07,7544.656481481482,62.62887936970563,272.7678955669674
0.91,0.91,1.0,8.573388203017834e-07,7544.656481481482,60.39747782303062,262.02209517122805
0.92,0.92,1.0,8.573388203017834e-07,7544.656481481482,65.29856763146559,249.37798087466606
0.93,0.93,1.0,8.573388203017834e-07,7544.656481481482,65.24412476991512,274.81005192799495
0.94,0.94,1.0,8.573388203017834e-07,7544.656481481482,63.564423706061035,269.4765483288323
0.95,0.95,1.0,8.573388203017834e-07,7544.656481481482,61.89318601366598,272.00611430634893
0.96,0.96,1.0,8.573388203017834e-07,7544.656481481482,61.58825751295876,251.50643406820737
0.97,0.97,1.0,8.573388203017834e-07,7544.656481481482,69.6436517869024,273.45088894951135
0.98,0.98,1.0,8.573388203017834e-07,7544.656481481482,57.082042948744736,282.6423143781942
0.99,0.99,1.0,8.573388203017834e-07,7544.656481481482,58.97598583170648,251.6869790238701
