m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.9347016640011662,7.716049382716049e-07,7544.656481481482,3468.3767736024197,47673.697438612166
0.1,0.2,1.8648397251631903,7.716049382716049e-07,7544.656481481482,1219.530598540845,13108.455113149354
0.1,0.3,2.789728043577632,7.716049382716049e-07,7544.656481481482,426.0318653291004,
0.1,0.4,3.708513066862316,7.716049382716049e-07,7544.656481481482,268.1001347377291,
0.1,0.5,4.620114506958276,7.716049382716049e-07,7544.656481481482,165.02875208420994,
0.1,0.6,5.523137163611585,7.716049382716049e-07,7544.656481481482,139.79444817101088,
0.1,0.7,6.415735221843628,7.716049382716049e-07,7544.656481481482,85.97772335718493,
0.1,0.8,7.295394529120346,7.716049382716049e-07,7544.656481481482,66.53224939878545,
0.1,0.9,8.195987029498752,7.716049382716049e-07,7544.656481481482,52.842892042064065,
0.2,0.2,0.86483972516319,6.858710562414266e-07,7544.656481481482,5491.565822362728,48861.66023559479
0.2,0.3,1.289728043577631,6.858710562414266e-07,7544.656481481482,2190.49119468834,26117.53586113889
0.2,0.4,1.7085130668623156,6.858710562414266e-07,7544.656481481482,989.8742009767736,14411.260631778772
0.2,0.5,2.1201145069582776,6.858710562414266e-07,7544.656481481482,960.4981452738881,
0.2,0.6,2.5231371636115854,6.858710562414266e-07,7544.656481481482,522.8244639230792,
0.2,0.7,2.915735221843628,6.858710562414266e-07,7544.656481481482,461.71938906419905,
0.2,0.8,3.3359931249441237,6.858710562414266e-07,7544.656481481482,332.18106414256664,
0.2,0.9,4.536418382828267,6.858710562414266e-07,7544.656481481482,146.97977858647326,
0.3,0.3,0.7897280435776313,6.001371742112485e-07,7544.656481481482,4860.532091671836,61854.2397852099
0.3,0.4,1.0418464001956487,6.001371742112485e-07,7544.656481481482,3387.3467027065326,41638.96735824239
0.3,0.5,1.2867811736249446,6.001371742112485e-07,7544.656481481482,2263.1088942232773,26467.52538251004
0.3,0.6,1.5238551221072782,6.001371742112485e-07,7544.656481481482,1777.3325293526696,18491.436287287295
0.3,0.7,1.7804540248006582,6.001371742112485e-07,7544.656481481482,1013.5889590403032,12497.538839824922
0.3,0.8,2.1802663867405028,6.001371742112485e-07,7544.656481481482,1006.7640762234926,
0.3,0.9,3.555753648618441,6.001371742112485e-07,7544.656481481482,269.4071185775303,
0.4,0.4,0.7085130668623149,5.144032921810701e-07,7544.656481481482,7278.45037070588,81637.33137931106
0.4,0.5,0.8719887568651661,5.144032921810701e-07,7544.656481481482,5636.595901544896,47862.078601154855
0.4,0.6,1.040004453643959,5.144032921810701e-07,7544.656481481482,3064.5341267095487,36999.62258310675
0.4,0.7,1.2474029062976228,5.144032921810701e-07,7544.656481481482,2341.5327560227543,25679.06126676096
0.4,0.8,1.621924354411025,5.144032921810701e-07,7544.656481481482,1323.6545683892368,18163.82314531017
0.4,0.9,2.970877397374573,5.144032921810701e-07,7544.656481481482,385.4381934359734,
0.5,0.5,0.6201145069582774,4.286694101508917e-07,7544.656481481482,7462.136830500394,112127.88457163528
0.5,0.6,0.7441312242084209,4.286694101508917e-07,7544.656481481482,6564.904756558323,60766.521064021545
0.5,0.7,0.9109181462991321,4.286694101508917e-07,7544.656481481482,4340.891890882292,48456.522794602584
0.5,0.8,1.24047842129593,4.286694101508917e-07,7544.656481481482,2365.677659765457,24711.69288046316
0.5,0.9,2.41573522184363,4.286694101508917e-07,7544.656481481482,735.3547918784317,
0.6,0.6,0.5231371636115855,3.429355281207133e-07,7544.656481481482,12157.55555352299,148474.93706887274
0.6,0.7,0.6491258279171362,3.429355281207133e-07,7544.656481481482,9659.43989665454,96158.63443165117
0.6,0.8,0.9168332207542781,3.429355281207133e-07,7544.656481481482,4497.210236681847,45734.84141401533
0.6,0.9,1.8573740195087889,3.429355281207133e-07,7544.656481481482,1000.9855050091992,13680.424682397008
0.7,0.7,0.4157352218436286,2.572016460905351e-07,7544.656481481482,16096.766130027003,270360.4226973364
0.7,0.8,0.6073740195087886,2.572016460905351e-07,7544.656481481482,9583.89873768643,119446.90480327971
0.7,0.9,1.2953945291203475,2.572016460905351e-07,7544.656481481482,1814.1818631532842,26156.524974420183
0.8,0.8,0.29539452912034764,1.714677640603566e-07,7544.656481481482,33989.65154626443,491914.98513743863
0.8,0.9,0.7293182678690189,1.714677640603566e-07,7544.656481481482,5940.050243408417,85217.0225325847
0.9,0.9,0.1585650787404291,8.57338820301783e-08,7544.656481481482,143071.71728063095,2139062.1878918526
