m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.067878827641591,9.525986892242036e-07,7544.656481481482,4330.962481735917,41584.30981606946
0.1,0.2,0.0,9.525986892242036e-07,7544.656481481482,,
0.1,0.3,,9.525986892242036e-07,7544.656481481482,,
0.1,0.4,,9.525986892242036e-07,7544.656481481482,,
0.1,0.5,,9.525986892242036e-07,7544.656481481482,,
0.1,0.6,,9.525986892242036e-07,7544.656481481482,,
0.1,0.7,,9.525986892242036e-07,7544.656481481482,,
0.1,0.8,,9.525986892242036e-07,7544.656481481482,,
0.1,0.9,,9.525986892242036e-07,7544.656481481482,,
0.2,0.2,1.146720406193046,1.0716735253772291e-06,7544.656481481482,6156.445238818906,53191.64554359533
0.2,0.3,0.6558318735740907,1.0716735253772291e-06,7544.656481481482,14302.011571137526,171023.5326835236
0.2,0.4,0.0,1.0716735253772291e-06,7544.656481481482,,
0.2,0.5,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.6,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.7,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.8,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.9,,1.0716735253772291e-06,7544.656481481482,,
0.3,0.3,1.2397322437062515,1.2247697432882618e-06,7544.656481481482,7870.870257179344,57365.71244657755
0.3,0.4,0.9476175694143071,1.2247697432882618e-06,7544.656481481482,12709.578033913722,106547.00829357313
0.3,0.5,0.5828996559875119,1.2247697432882618e-06,7544.656481481482,23783.859355768334,294794.0002081947
0.3,0.6,0.0,1.2247697432882618e-06,7544.656481481482,,
0.3,0.7,,1.2247697432882618e-06,7544.656481481482,,
0.3,0.8,,1.2247697432882618e-06,7544.656481481482,,
0.3,0.9,,1.2247697432882618e-06,7544.656481481482,,
0.4,0.4,1.3516519438896402,1.4288980338363059e-06,7544.656481481482,11151.120367421965,61674.66377223923
0.4,0.5,1.1695594588372513,1.4288980338363059e-06,7544.656481481482,11788.54509777986,88390.2730118567
0.4,0.6,0.939892178874537,1.4288980338363059e-06,7544.656481481482,17125.242838216487,137591.31833036826
0.4,0.7,0.5565492766542918,1.4288980338363059e-06,7544.656481481482,48736.14357422744,342119.3637316823
0.4,0.8,,1.4288980338363059e-06,7544.656481481482,,
0.4,0.9,,1.4288980338363059e-06,7544.656481481482,,
0.5,0.5,1.4898801256447494,1.7146776406035667e-06,7544.656481481482,12996.545263951364,79401.7359301969
0.5,0.6,1.3619804581563222,1.7146776406035667e-06,7544.656481481482,14340.684539494865,95034.43738600695
0.5,0.7,1.1419580257817248,1.7146776406035667e-06,7544.656481481482,27792.81024116018,155050.69599328333
0.5,0.8,0.5258403076416316,1.7146776406035667e-06,7544.656481481482,73243.5407493731,751040.10991969
0.5,0.9,,1.7146776406035667e-06,7544.656481481482,,
0.6,0.6,1.666896033685178,2.1433470507544583e-06,7544.656481481482,18203.80223356867,90338.94014595341
0.6,0.7,1.0,2.1433470507544583e-06,7544.656481481482,36655.810466501,261216.0887200573
0.6,0.8,1.1504947316609875,2.1433470507544583e-06,7544.656481481482,29962.487213918736,223339.70106950458
0.6,0.9,,2.1433470507544583e-06,7544.656481481482,,
0.7,0.7,1.9062193738198776,2.8577960676726117e-06,7544.656481481482,23831.916952558095,135380.26978196425
0.7,0.8,1.6989129250349178,2.8577960676726117e-06,7544.656481481482,29579.67442829036,155342.79806477006
0.7,0.9,0.0,2.8577960676726117e-06,7544.656481481482,,
0.8,0.8,2.260867816817828,4.2866941015089165e-06,7544.656481481482,38181.882893139176,
0.8,0.9,1.672376735673487,4.2866941015089165e-06,7544.656481481482,66176.78243485565,412122.01636983006
0.9,0.9,2.900477097889386,8.573388203017833e-06,7544.656481481482,107214.99382191809,
