m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.9095647993081502,7.716049382716049e-07,7544.656481481482,32.26023646714319,138.093493026977
0.1,0.2,2.8101304969712415,7.716049382716049e-07,7544.656481481482,22.96625999777815,
0.1,0.3,3.699706179357965,7.716049382716049e-07,7544.656481481482,18.10056948319735,
0.1,0.4,4.575557117651626,7.716049382716049e-07,7544.656481481482,13.148863244103627,
0.1,0.5,5.433780830483028,7.716049382716049e-07,7544.656481481482,11.57713229004408,
0.1,0.6,6.268530136416277,7.716049382716049e-07,7544.656481481482,9.942169940041914,
0.1,0.7,7.07045861030067,7.716049382716049e-07,7544.656481481482,8.561237303585289,
0.1,0.8,7.823214990557688,7.716049382716049e-07,7544.656481481482,7.1996489253927995,
0.1,0.9,8.68108832519859,7.716049382716049e-07,7544.656481481482,7.321899605136072,
0.2,0.2,1.8101304969712413,6.858710562414266e-07,7544.656481481482,31.924381655376855,150.9316126978712
0.2,0.3,2.1997061793579644,6.858710562414266e-07,7544.656481481482,29.66121829785747,
0.2,0.4,2.575557117651626,6.858710562414266e-07,7544.656481481482,24.732149356754945,
0.2,0.5,2.9337808304830277,6.858710562414266e-07,7544.656481481482,20.43550598416329,
0.2,0.6,3.268530136416277,6.858710562414266e-07,7544.656481481482,18.02133742647629,
0.2,0.7,3.575836803801503,6.858710562414266e-07,7544.656481481482,17.489572893790122,
0.2,0.8,3.9704599551232875,6.858710562414266e-07,7544.656481481482,15.009260126465172,
0.2,0.9,5.230080940978918,6.858710562414266e-07,7544.656481481482,11.463327537720467,
0.3,0.3,1.699706179357965,6.001371742112485e-07,7544.656481481482,34.19608944840242,151.5996651355252
0.3,0.4,1.9088904509849591,6.001371742112485e-07,7544.656481481482,34.09439208604766,135.8904759854303
0.3,0.5,2.101049174760391,6.001371742112485e-07,7544.656481481482,29.348044439866694,
0.3,0.6,2.2850424732827324,6.001371742112485e-07,7544.656481481482,25.63309657555083,
0.3,0.7,2.4985990964541287,6.001371742112485e-07,7544.656481481482,23.60255567540164,
0.3,0.8,2.8771120023427614,6.001371742112485e-07,7544.656481481482,19.95917250393302,
0.3,0.9,4.282067215305558,6.001371742112485e-07,7544.656481481482,14.925890400381888,
0.4,0.4,1.5755571176516256,5.144032921810701e-07,7544.656481481482,39.22621976414319,185.19568273609588
0.4,0.5,1.6946183296263162,5.144032921810701e-07,7544.656481481482,37.45411935683177,166.24972581825958
0.4,0.6,1.8136258392169444,5.144032921810701e-07,7544.656481481482,30.363561515104468,149.69394838104637
0.4,0.7,1.9790049893762511,5.144032921810701e-07,7544.656481481482,32.1895831144192,139.68152269644423
0.4,0.8,2.3272746158823994,5.144032921810701e-07,7544.656481481482,26.537632021391502,
0.4,0.9,3.67439041890566,5.144032921810701e-07,7544.656481481482,17.70251725734804,
0.5,0.5,1.433780830483027,4.286694101508917e-07,7544.656481481482,43.547638503337744,187.69923230026956
0.5,0.6,1.5124860248224745,4.286694101508917e-07,7544.656481481482,39.894824551207186,176.29313180572527
0.5,0.7,1.6326197279579056,4.286694101508917e-07,7544.656481481482,36.78797290024927,162.73326328263968
0.5,0.8,1.9294518950676753,4.286694101508917e-07,7544.656481481482,30.700068385413978,139.13841867744824
0.5,0.9,3.07045861030067,4.286694101508917e-07,7544.656481481482,19.82245213040789,
0.6,0.6,1.268530136416278,3.429355281207133e-07,7544.656481481482,48.525463164392086,211.60595624923164
0.6,0.7,1.3448557771330518,3.429355281207133e-07,7544.656481481482,46.300518426572566,196.01546077156263
0.6,0.8,1.5704586103006695,3.429355281207133e-07,7544.656481481482,39.72461493295158,166.83921208377566
0.6,0.9,2.454458592793241,3.429355281207133e-07,7544.656481481482,27.018104053360915,
0.7,0.7,1.0704586103006692,2.572016460905351e-07,7544.656481481482,60.47339702314493,257.4957975926058
0.7,0.8,1.204458592793241,2.572016460905351e-07,7544.656481481482,51.318052645609626,218.2649507586073
0.7,0.9,1.823214990557691,2.572016460905351e-07,7544.656481481482,33.22684378977325,154.9613008447836
0.8,0.8,0.823214990557691,1.714677640603566e-07,7544.656481481482,78.30055748372938,341.12769813899513
0.8,0.9,1.1721065788577625,1.714677640603566e-07,7544.656481481482,52.499243453843576,237.38936063305778
0.9,0.9,0.4940287080441789,8.57338820301783e-08,7544.656481481482,123.2078906242938,580.9287006446209
0.01,0.01,1.9913157536841377,8.487654320987657e-07,7544.656481481482,31.267631240759563,129.9674724132318
0.01,0.02,2.982555430077965,8.487654320987657e-07,7544.656481481482,19.14773931457456,
0.01,0.03,3.9737176844607256,8.487654320987657e-07,7544.656481481482,14.334466879504566,
0.01,0.04,4.964801136140165,8.487654320987657e-07,7544.656481481482,13.140505405349796,
0.01,0.05,5.955804367157967,8.487654320987657e-07,7544.656481481482,9.736386301179039,
0.01,0.06,6.946725920936476,8.487654320987657e-07,7544.656481481482,8.199985058684756,
0.01,0.07,7.937564300863371,8.487654320987657e-07,7544.656481481482,6.939248320459053,
0.01,0.08,8.928317968810918,8.487654320987657e-07,7544.656481481482,7.0070013381342084,
0.01,0.09,9.918985343586185,8.487654320987657e-07,7544.656481481482,5.950275608626116,
0.02,0.02,1.9825554300779649,8.40192043895748e-07,7544.656481481482,30.39951542106101,127.64556811464946
0.02,0.03,2.473717684460726,8.40192043895748e-07,7544.656481481482,24.313853399054345,
0.02,0.04,2.9648011361401645,8.40192043895748e-07,7544.656481481482,19.524878029705135,
0.02,0.05,3.455804367157969,8.40192043895748e-07,7544.656481481482,17.31278433620574,
0.02,0.06,3.9467259209364793,8.40192043895748e-07,7544.656481481482,15.699621947844223,
0.02,0.07,4.437564300863365,8.40192043895748e-07,7544.656481481482,13.89182019072091,
0.02,0.08,4.928317968810917,8.40192043895748e-07,7544.656481481482,12.010603106998532,
0.02,0.09,5.418985343586186,8.40192043895748e-07,7544.656481481482,10.963935046138577,
0.03,0.03,1.9737176844607265,8.316186556927297e-07,7544.656481481482,29.122498117589878,134.54864605730202
0.03,0.04,2.298134469473497,8.316186556927297e-07,7544.656481481482,28.1660791360492,
0.03,0.05,2.622471033824637,8.316186556927297e-07,7544.656481481482,23.682953829182285,
0.03,0.06,2.946725920936479,8.316186556927297e-07,7544.656481481482,19.559162860790813,
0.03,0.07,3.2708976341966998,8.316186556927297e-07,7544.656481481482,18.23089328056767,
0.03,0.08,3.5949846354775845,8.316186556927297e-07,7544.656481481482,18.274112017809667,
0.03,0.09,3.918985343586184,8.316186556927297e-07,7544.656481481482,16.163930277706942,
0.04,0.04,1.964801136140164,8.230452674897117e-07,7544.656481481482,31.518608488593447,137.45842281320608
0.04,0.05,2.20580436715797,8.230452674897117e-07,7544.656481481482,28.835225214308508,
0.04,0.06,2.446725920936479,8.230452674897117e-07,7544.656481481482,25.509877883194328,
0.04,0.07,2.6875643008633654,8.230452674897117e-07,7544.656481481482,23.407065179519915,
0.04,0.08,2.928317968810916,8.230452674897117e-07,7544.656481481482,21.080820545401615,
0.04,0.09,3.1689853435861837,8.230452674897117e-07,7544.656481481482,19.126013054982455,
0.05,0.05,1.95580436715797,8.144718792866941e-07,7544.656481481482,29.772454915504902,132.45027846107948
0.05,0.06,2.146725920936478,8.144718792866941e-07,7544.656481481482,29.868413820794217,
0.05,0.07,2.337564300863367,8.144718792866941e-07,7544.656481481482,27.870040204888152,
0.05,0.08,2.5283179688109167,8.144718792866941e-07,7544.656481481482,25.659756296833898,
0.05,0.09,2.718985343586183,8.144718792866941e-07,7544.656481481482,22.18030118618835,
0.06,0.06,1.9467259209364776,8.058984910836764e-07,7544.656481481482,31.90494385015748,128.58435177819086
0.06,0.07,2.104230967530033,8.058984910836764e-07,7544.656481481482,26.917096059363878,
0.06,0.08,2.261651302144251,8.058984910836764e-07,7544.656481481482,28.51967015234378,
0.06,0.09,2.4189853435861832,8.058984910836764e-07,7544.656481481482,26.058633729734343,
0.07,0.07,1.9375643008633656,7.973251028806586e-07,7544.656481481482,32.05937509356084,137.93668005816727
0.07,0.08,2.071175111668061,7.973251028806586e-07,7544.656481481482,30.056208387837337,
0.07,0.09,2.20469962930047,7.973251028806586e-07,7544.656481481482,28.23020767473658,
0.08,0.08,1.9283179688109167,7.887517146776405e-07,7544.656481481482,32.761064802386905,134.2360500128416
0.08,0.09,2.0439853435861832,7.887517146776405e-07,7544.656481481482,29.488526656469016,
0.09,0.09,1.918985343586183,7.801783264746228e-07,7544.656481481482,30.554919344923643,147.7566307615259
0.11,0.11,1.9000546637077282,7.630315500685872e-07,7544.656481481482,34.068480680360445,148.04260626887336
0.12,0.12,1.8904532163461254,7.544581618655695e-07,7544.656481481482,33.202075286482376,134.18623686794467
0.13,0.13,1.8807586867468644,7.458847736625516e-07,7544.656481481482,31.556352888311366,142.81688836150718
0.14,0.14,1.870969252436353,7.373113854595336e-07,7544.656481481482,33.86948931123446,142.93116475040563
0.15,0.15,1.8610830368876068,7.287379972565157e-07,7544.656481481482,36.05365305662844,136.9373113023871
0.16,0.16,1.8510981073612989,7.201646090534981e-07,7544.656481481482,31.03105539432656,136.9770950274649
0.17,0.17,1.8410124726379327,7.115912208504803e-07,7544.656481481482,31.62122025443279,140.55494968620206
0.18,0.18,1.8308240806344924,7.030178326474626e-07,7544.656481481482,32.67837588611116,146.3253789547149
0.19,0.19,1.820530815898414,6.944444444444448e-07,7544.656481481482,32.872049808037616,143.7491813476412
0.21,0.21,1.7996208736137405,6.772976680384088e-07,7544.656481481482,33.18883583791153,156.56015607567377
0.22,0.22,1.7889996238836343,6.68724279835391e-07,7544.656481481482,33.33932408100969,149.88679187898995
0.23,0.23,1.7782643510564888,6.601508916323734e-07,7544.656481481482,31.322871739521055,153.47990318206703
0.24,0.24,1.7674125803795062,6.515775034293553e-07,7544.656481481482,36.88583036233141,146.73141210750418
0.25,0.25,1.7564417556472545,6.430041152263374e-07,7544.656481481482,34.12973178892405,150.04923118167028
0.26,0.26,1.7453492355874618,6.344307270233195e-07,7544.656481481482,33.17628814649503,144.00103457516337
0.27,0.27,1.7341322900441,6.258573388203017e-07,7544.656481481482,36.55495940722633,158.47453539931107
0.28,0.28,1.722788095943956,6.172839506172841e-07,7544.656481481482,40.53136716593627,161.2559757692717
0.29,0.29,1.711313733031793,6.08710562414266e-07,7544.656481481482,34.50618946537551,155.55014249999846
0.31,0.31,1.6879623065010638,5.915637860082305e-07,7544.656481481482,36.59168292261977,164.35562155227504
0.32,0.32,1.6760788745066837,5.829903978052127e-07,7544.656481481482,32.0279142839282,153.31267373060837
0.33,0.33,1.6640525265218362,5.744170096021948e-07,7544.656481481482,35.094614373163935,161.8705258901541
0.34,0.34,1.6518797831027674,5.65843621399177e-07,7544.656481481482,38.1722470503262,167.6259820667549
0.35,0.35,1.639557036172042,5.572702331961592e-07,7544.656481481482,37.883608397602295,163.93576352602705
0.36,0.36,1.6270805425986328,5.486968449931414e-07,7544.656481481482,39.466954050598396,166.64353172397742
0.37,0.37,1.6144464173724318,5.401234567901236e-07,7544.656481481482,37.68231099905766,168.21899765118505
0.38,0.38,1.6016506263420462,5.315500685871056e-07,7544.656481481482,38.65363214213993,176.91164680522505
0.39,0.39,1.5886889784819094,5.22976680384088e-07,7544.656481481482,39.33139686349414,184.66515888807172
0.41,0.41,1.5622505138069964,5.058299039780522e-07,7544.656481481482,40.10117061287929,172.48534083722282
0.42,0.42,1.5487644536183611,4.972565157750344e-07,7544.656481481482,44.22280355762727,172.0869272368492
0.43,0.43,1.5350940304476355,4.886831275720165e-07,7544.656481481482,40.51321796793919,178.5501979694012
