m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.0,8.573388203017834e-07,7544.656481481482,869.684149760498,
0.1,0.2,2.0,8.573388203017834e-07,7544.656481481482,920.4866658389878,
0.1,0.3,2.0,8.573388203017834e-07,7544.656481481482,952.2061885074569,
0.1,0.4,2.0,8.573388203017834e-07,7544.656481481482,965.5361021263161,
0.1,0.5,2.0,8.573388203017834e-07,7544.656481481482,970.9469129433248,
0.1,0.6,2.0,8.573388203017834e-07,7544.656481481482,884.5453773228294,
0.1,0.7,2.0,8.573388203017834e-07,7544.656481481482,807.5450470584608,
0.1,0.8,2.0,8.573388203017834e-07,7544.656481481482,974.3441522191682,
0.1,0.9,2.0,8.573388203017834e-07,7544.656481481482,928.6879546332424,
0.2,0.2,2.0,8.573388203017834e-07,7544.656481481482,1149.3916141486766,
0.2,0.3,2.0,8.573388203017834e-07,7544.656481481482,835.8328251663218,
0.2,0.4,2.0,8.573388203017834e-07,7544.656481481482,928.5024011763029,
0.2,0.5,2.0,8.573388203017834e-07,7544.656481481482,899.8154199107603,
0.2,0.6,2.0,8.573388203017834e-07,7544.656481481482,891.6141270468486,
0.2,0.7,2.0,8.573388203017834e-07,7544.656481481482,949.3142030243621,
0.2,0.8,2.0,8.573388203017834e-07,7544.656481481482,929.8011663850558,
0.2,0.9,2.0,8.573388203017834e-07,7544.656481481482,988.6678429083994,
0.3,0.3,2.0,8.573388203017834e-07,7544.656481481482,735.6652242791358,
0.3,0.4,2.0,8.573388203017834e-07,7544.656481481482,820.277014296168,
0.3,0.5,2.0,8.573388203017834e-07,7544.656481481482,796.2439018829032,
0.3,0.6,2.0,8.573388203017834e-07,7544.656481481482,813.9234142134061,
0.3,0.7,2.0,8.573388203017834e-07,7544.656481481482,897.1175036688325,
0.3,0.8,2.0,8.573388203017834e-07,7544.656481481482,789.3588983544846,
0.3,0.9,2.0,8.573388203017834e-07,7544.656481481482,819.219497286307,
0.4,0.4,2.0,8.573388203017834e-07,7544.656481481482,830.647328436967,
0.4,0.5,2.0,8.573388203017834e-07,7544.656481481482,792.0497489911394,
0.4,0.6,2.0,8.573388203017834e-07,7544.656481481482,1110.6627954559956,
0.4,0.7,2.0,8.573388203017834e-07,7544.656481481482,831.4464201337472,
0.4,0.8,2.0,8.573388203017834e-07,7544.656481481482,790.1096644162586,
0.4,0.9,2.0,8.573388203017834e-07,7544.656481481482,1246.1219708608176,
0.5,0.5,2.0,8.573388203017834e-07,7544.656481481482,735.4749846921811,
0.5,0.6,2.0,8.573388203017834e-07,7544.656481481482,905.7602693195951,
0.5,0.7,2.0,8.573388203017834e-07,7544.656481481482,915.19739816977,
0.5,0.8,2.0,8.573388203017834e-07,7544.656481481482,807.5562127879342,
0.5,0.9,2.0,8.573388203017834e-07,7544.656481481482,889.6237586131859,
0.6,0.6,2.0,8.573388203017834e-07,7544.656481481482,791.6242446093992,
0.6,0.7,2.0,8.573388203017834e-07,7544.656481481482,988.9261737282902,
0.6,0.8,2.0,8.573388203017834e-07,7544.656481481482,871.959482725883,
0.6,0.9,2.0,8.573388203017834e-07,7544.656481481482,931.7933566281745,
0.7,0.7,2.0,8.573388203017834e-07,7544.656481481482,947.7266886760358,
0.7,0.8,2.0,8.573388203017834e-07,7544.656481481482,826.4913871297989,
0.7,0.9,2.0,8.573388203017834e-07,7544.656481481482,927.9700299068254,
0.8,0.8,2.0,8.573388203017834e-07,7544.656481481482,822.4650877592198,
0.8,0.9,2.0,8.573388203017834e-07,7544.656481481482,930.6924495798025,
0.9,0.9,2.0,8.573388203017834e-07,7544.656481481482,906.8608515062252,
0.01,0.01,2.0,8.573388203017834e-07,7544.656481481482,1116.6043331343078,
0.01,0.02,2.0,8.573388203017834e-07,7544.656481481482,860.4348740435167,
0.01,0.03,2.0,8.573388203017834e-07,7544.656481481482,864.9624851286509,
0.01,0.04,2.0,8.573388203017834e-07,7544.656481481482,897.1902947703909,
0.01,0.05,2.0,8.573388203017834e-07,7544.656481481482,765.4889384362511,
0.01,0.06,2.0,8.573388203017834e-07,7544.656481481482,796.4781603965216,
0.01,0.07,2.0,8.573388203017834e-07,7544.656481481482,797.0668532221298,
0.01,0.08,2.0,8.573388203017834e-07,7544.656481481482,870.3421049188787,
0.01,0.09,2.0,8.573388203017834e-07,7544.656481481482,857.3320552771348,
0.02,0.02,2.0,8.573388203017834e-07,7544.656481481482,835.2550113734382,
0.02,0.03,2.0,8.573388203017834e-07,7544.656481481482,845.5358106262241,
0.02,0.04,2.0,8.573388203017834e-07,7544.656481481482,1042.8446096695686,
0.02,0.05,2.0,8.573388203017834e-07,7544.656481481482,1031.2134204478284,
0.02,0.06,2.0,8.573388203017834e-07,7544.656481481482,942.3830018992819,
0.02,0.07,2.0,8.573388203017834e-07,7544.656481481482,1114.3714336291807,
0.02,0.08,2.0,8.573388203017834e-07,7544.656481481482,888.6266675753914,
