m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.0,8.573388203017834e-07,7544.656481481482,54.713739014988214,
0.1,0.2,2.0,8.573388203017834e-07,7544.656481481482,61.316988425583986,
0.1,0.3,2.0,8.573388203017834e-07,7544.656481481482,65.59277893725856,
0.1,0.4,2.0,8.573388203017834e-07,7544.656481481482,71.37417914342912,
0.1,0.5,2.0,8.573388203017834e-07,7544.656481481482,78.20503193736764,
0.1,0.6,2.0,8.573388203017834e-07,7544.656481481482,87.55122874759321,
0.1,0.7,2.0,8.573388203017834e-07,7544.656481481482,104.11778662397249,
0.1,0.8,2.0,8.573388203017834e-07,7544.656481481482,106.8024804873086,
0.1,0.9,2.0,8.573388203017834e-07,7544.656481481482,125.31109692960908,
0.2,0.2,2.0,8.573388203017834e-07,7544.656481481482,72.08017661973881,
0.2,0.3,2.0,8.573388203017834e-07,7544.656481481482,78.81673099869425,
0.2,0.4,2.0,8.573388203017834e-07,7544.656481481482,84.1799919576733,
0.2,0.5,2.0,8.573388203017834e-07,7544.656481481482,96.75986023394353,
0.2,0.6,2.0,8.573388203017834e-07,7544.656481481482,105.31283193711812,
0.2,0.7,2.0,8.573388203017834e-07,7544.656481481482,110.42246433019449,
0.2,0.8,2.0,8.573388203017834e-07,7544.656481481482,115.77915128682906,
0.2,0.9,2.0,8.573388203017834e-07,7544.656481481482,135.8612033323654,
0.3,0.3,2.0,8.573388203017834e-07,7544.656481481482,97.10668294414096,
0.3,0.4,2.0,8.573388203017834e-07,7544.656481481482,101.65527323094281,
0.3,0.5,2.0,8.573388203017834e-07,7544.656481481482,105.81482041024053,
0.3,0.6,2.0,8.573388203017834e-07,7544.656481481482,114.56521205954452,
0.3,0.7,2.0,8.573388203017834e-07,7544.656481481482,121.70916601595586,
0.3,0.8,2.0,8.573388203017834e-07,7544.656481481482,130.64922243933606,
0.3,0.9,2.0,8.573388203017834e-07,7544.656481481482,135.50453719760228,
0.4,0.4,2.0,8.573388203017834e-07,7544.656481481482,119.07663124458439,
0.4,0.5,2.0,8.573388203017834e-07,7544.656481481482,115.59169571001824,
0.4,0.6,2.0,8.573388203017834e-07,7544.656481481482,127.6413810574576,
0.4,0.7,2.0,8.573388203017834e-07,7544.656481481482,129.19717640515833,
0.4,0.8,2.0,8.573388203017834e-07,7544.656481481482,141.89900341697125,
0.4,0.9,2.0,8.573388203017834e-07,7544.656481481482,149.29681724634236,
0.5,0.5,2.0,8.573388203017834e-07,7544.656481481482,140.65855789603467,
0.5,0.6,2.0,8.573388203017834e-07,7544.656481481482,141.46538837208223,
0.5,0.7,2.0,8.573388203017834e-07,7544.656481481482,158.5488846384582,
0.5,0.8,2.0,8.573388203017834e-07,7544.656481481482,149.95517852873863,
0.5,0.9,2.0,8.573388203017834e-07,7544.656481481482,170.61955619176203,
0.6,0.6,2.0,8.573388203017834e-07,7544.656481481482,164.76476654942363,
0.6,0.7,2.0,8.573388203017834e-07,7544.656481481482,162.52322355069273,
0.6,0.8,2.0,8.573388203017834e-07,7544.656481481482,170.2641035187993,
0.6,0.9,2.0,8.573388203017834e-07,7544.656481481482,180.65635123703925,
0.7,0.7,2.0,8.573388203017834e-07,7544.656481481482,212.0071268747309,
0.7,0.8,2.0,8.573388203017834e-07,7544.656481481482,208.11072850455238,
0.7,0.9,2.0,8.573388203017834e-07,7544.656481481482,239.5312751520763,
0.8,0.8,2.0,8.573388203017834e-07,7544.656481481482,272.1270370638595,
0.8,0.9,2.0,8.573388203017834e-07,7544.656481481482,314.83461948624546,
0.9,0.9,2.0,8.573388203017834e-07,7544.656481481482,469.1103719663728,
0.01,0.01,2.0,8.573388203017834e-07,7544.656481481482,34.114908077660566,
0.01,0.02,2.0,8.573388203017834e-07,7544.656481481482,34.957061223377835,
0.01,0.03,2.0,8.573388203017834e-07,7544.656481481482,34.712716291068865,
0.01,0.04,2.0,8.573388203017834e-07,7544.656481481482,34.084329741178884,
0.01,0.05,2.0,8.573388203017834e-07,7544.656481481482,37.85123624865108,
0.01,0.06,2.0,8.573388203017834e-07,7544.656481481482,37.111900789975266,
0.01,0.07,2.0,8.573388203017834e-07,7544.656481481482,38.156140261807224,
0.01,0.08,2.0,8.573388203017834e-07,7544.656481481482,36.20955548170881,
0.01,0.09,2.0,8.573388203017834e-07,7544.656481481482,40.00263761501138,
0.02,0.02,2.0,8.573388203017834e-07,7544.656481481482,37.65913258212044,
0.02,0.03,2.0,8.573388203017834e-07,7544.656481481482,36.727441547362815,
0.02,0.04,2.0,8.573388203017834e-07,7544.656481481482,40.16763626172463,
0.02,0.05,2.0,8.573388203017834e-07,7544.656481481482,39.76472150651133,
0.02,0.06,2.0,8.573388203017834e-07,7544.656481481482,39.51596954238268,
0.02,0.07,2.0,8.573388203017834e-07,7544.656481481482,39.45732969837978,
0.02,0.08,2.0,8.573388203017834e-07,7544.656481481482,38.46930310062423,
0.02,0.09,2.0,8.573388203017834e-07,7544.656481481482,37.889964837578006,
0.03,0.03,2.0,8.573388203017834e-07,7544.656481481482,38.28737153688118,
0.03,0.04,2.0,8.573388203017834e-07,7544.656481481482,39.5092669913053,
