m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.091734574410594,9.525986892242036e-07,7544.656481481482,53.91425879805267,
0.1,0.2,1.1467204006373655,9.525986892242036e-07,7544.656481481482,78.64215049603523,280.8929991604389
0.1,0.3,0.0,9.525986892242036e-07,7544.656481481482,,
0.1,0.4,,9.525986892242036e-07,7544.656481481482,,
0.1,0.5,,9.525986892242036e-07,7544.656481481482,,
0.1,0.6,,9.525986892242036e-07,7544.656481481482,,
0.1,0.7,,9.525986892242036e-07,7544.656481481482,,
0.1,0.8,,9.525986892242036e-07,7544.656481481482,,
0.1,0.9,,9.525986892242036e-07,7544.656481481482,,
0.2,0.2,2.1957034347255657,1.0716735253772291e-06,7544.656481481482,70.18836861633706,
0.2,0.3,1.7873901856317849,1.0716735253772291e-06,7544.656481481482,82.39094004943756,206.42933536926472
0.2,0.4,1.351651942392443,1.0716735253772291e-06,7544.656481481482,93.29396502964576,263.4781222694553
0.2,0.5,0.8317965641677488,1.0716735253772291e-06,7544.656481481482,134.1806118799673,426.85261835068604
0.2,0.6,0.0,1.0716735253772291e-06,7544.656481481482,,
0.2,0.7,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.8,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.9,,1.0716735253772291e-06,7544.656481481482,,
0.3,0.3,2.3152271442985195,1.2247697432882618e-06,7544.656481481482,96.83715618869986,
0.3,0.4,2.098935712798195,1.2247697432882618e-06,7544.656481481482,103.00457857107145,
0.3,0.5,1.8847752157086266,1.2247697432882618e-06,7544.656481481482,109.57556476293693,236.97396940341235
0.3,0.6,1.6538596199166304,1.2247697432882618e-06,7544.656481481482,122.52869874374143,270.7211424473446
0.3,0.7,1.3417092459390996,1.2247697432882618e-06,7544.656481481482,132.42569090187976,301.16278398358156
0.3,0.8,0.6555876770041492,1.2247697432882618e-06,7544.656481481482,199.87101079301092,669.5368785987278
0.3,0.9,,1.2247697432882618e-06,7544.656481481482,,
0.4,0.4,2.455171134975177,1.4288980338363059e-06,7544.656481481482,116.1405185935991,
0.4,0.5,2.337355079671674,1.4288980338363059e-06,7544.656481481482,112.78654224318434,
0.4,0.6,2.2143565033183177,1.4288980338363059e-06,7544.656481481482,121.1960200152064,
0.4,0.7,2.0253591891370695,1.4288980338363059e-06,7544.656481481482,133.65258415135523,
0.4,0.8,1.5736412697537372,1.4288980338363059e-06,7544.656481481482,150.8872866821959,320.92751694632545
0.4,0.9,,1.4288980338363059e-06,7544.656481481482,,
0.5,0.5,2.6230812603996645,1.7146776406035667e-06,7544.656481481482,135.05311624022053,
0.5,0.6,2.5512438364419507,1.7146776406035667e-06,7544.656481481482,139.22374328418337,
